"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_no_training_experience","Faculty Issues: Expertise/training",29,297,9.76430976430976,103,0.281553398058252,"No_Training"
"2","2_No_formal_training_self_taught","Faculty Issues: Expertise/training",125,297,42.0875420875421,469,0.266524520255864,"SelfDtaught"
"3","3_short_workshop","Faculty Issues: Expertise/training",88,297,29.6296296296296,231,0.380952380952381,"Short_workshops"
"4","4_some_undergraduate_courses","Faculty Issues: Expertise/training",8,297,2.69360269360269,31,0.258064516129032,"Some_undergraduate_coursework"
"5","6_undergraduate_certificate","Faculty Issues: Expertise/training",1,297,0.336700336700337,5,0.2,"Undergraduate_certificate"
"6","7_undergraduate_degree","Faculty Issues: Expertise/training",0,297,0,10,0,"Undergraduate_degree"
"7","8_post_graduate_degree","Faculty Issues: Expertise/training",33,297,11.1111111111111,148,0.222972972972973,"PostDgraduate_certificate"
"8","9_graduate.course_or_degree","Faculty Issues: Expertise/training",13,297,4.37710437710438,55,0.236363636363636,"Graduate_course_or_degree"
"9","1_no_training_experience","Faculty Issues: Time",10,90,11.1111111111111,103,0.0970873786407767,"No_Training"
"10","2_No_formal_training_self_taught","Faculty Issues: Time",40,90,44.4444444444444,469,0.0852878464818763,"SelfDtaught"
"11","3_short_workshop","Faculty Issues: Time",20,90,22.2222222222222,231,0.0865800865800866,"Short_workshops"
"12","4_some_undergraduate_courses","Faculty Issues: Time",4,90,4.44444444444444,31,0.129032258064516,"Some_undergraduate_coursework"
"13","6_undergraduate_certificate","Faculty Issues: Time",0,90,0,5,0,"Undergraduate_certificate"
"14","7_undergraduate_degree","Faculty Issues: Time",2,90,2.22222222222222,10,0.2,"Undergraduate_degree"
"15","8_post_graduate_degree","Faculty Issues: Time",12,90,13.3333333333333,148,0.0810810810810811,"PostDgraduate_certificate"
"16","9_graduate.course_or_degree","Faculty Issues: Time",2,90,2.22222222222222,55,0.0363636363636364,"Graduate_course_or_degree"
"17","1_no_training_experience","Faculty Issues: Differences of opinion",1,17,5.88235294117647,103,0.00970873786407767,"No_Training"
"18","2_No_formal_training_self_taught","Faculty Issues: Differences of opinion",10,17,58.8235294117647,469,0.0213219616204691,"SelfDtaught"
"19","3_short_workshop","Faculty Issues: Differences of opinion",1,17,5.88235294117647,231,0.00432900432900433,"Short_workshops"
"20","4_some_undergraduate_courses","Faculty Issues: Differences of opinion",0,17,0,31,0,"Some_undergraduate_coursework"
"21","6_undergraduate_certificate","Faculty Issues: Differences of opinion",0,17,0,5,0,"Undergraduate_certificate"
"22","7_undergraduate_degree","Faculty Issues: Differences of opinion",0,17,0,10,0,"Undergraduate_degree"
"23","8_post_graduate_degree","Faculty Issues: Differences of opinion",3,17,17.6470588235294,148,0.0202702702702703,"PostDgraduate_certificate"
"24","9_graduate.course_or_degree","Faculty Issues: Differences of opinion",2,17,11.7647058823529,55,0.0363636363636364,"Graduate_course_or_degree"
"25","1_no_training_experience","Faculty Issues: Content development",1,13,7.69230769230769,103,0.00970873786407767,"No_Training"
"26","2_No_formal_training_self_taught","Faculty Issues: Content development",4,13,30.7692307692308,469,0.00852878464818763,"SelfDtaught"
"27","3_short_workshop","Faculty Issues: Content development",5,13,38.4615384615385,231,0.0216450216450216,"Short_workshops"
"28","4_some_undergraduate_courses","Faculty Issues: Content development",0,13,0,31,0,"Some_undergraduate_coursework"
"29","6_undergraduate_certificate","Faculty Issues: Content development",0,13,0,5,0,"Undergraduate_certificate"
"30","7_undergraduate_degree","Faculty Issues: Content development",0,13,0,10,0,"Undergraduate_degree"
"31","8_post_graduate_degree","Faculty Issues: Content development",2,13,15.3846153846154,148,0.0135135135135135,"PostDgraduate_certificate"
"32","9_graduate.course_or_degree","Faculty Issues: Content development",1,13,7.69230769230769,55,0.0181818181818182,"Graduate_course_or_degree"
"33","1_no_training_experience","Faculty Issues: Too few faculty",1,9,11.1111111111111,103,0.00970873786407767,"No_Training"
"34","2_No_formal_training_self_taught","Faculty Issues: Too few faculty",7,9,77.7777777777778,469,0.0149253731343284,"SelfDtaught"
"35","3_short_workshop","Faculty Issues: Too few faculty",0,9,0,231,0,"Short_workshops"
"36","4_some_undergraduate_courses","Faculty Issues: Too few faculty",0,9,0,31,0,"Some_undergraduate_coursework"
"37","6_undergraduate_certificate","Faculty Issues: Too few faculty",0,9,0,5,0,"Undergraduate_certificate"
"38","7_undergraduate_degree","Faculty Issues: Too few faculty",0,9,0,10,0,"Undergraduate_degree"
"39","8_post_graduate_degree","Faculty Issues: Too few faculty",0,9,0,148,0,"PostDgraduate_certificate"
"40","9_graduate.course_or_degree","Faculty Issues: Too few faculty",1,9,11.1111111111111,55,0.0181818181818182,"Graduate_course_or_degree"
"41","1_no_training_experience","Faculities Issues: Access to computer labs",2,48,4.16666666666667,103,0.0194174757281553,"No_Training"
"42","2_No_formal_training_self_taught","Faculities Issues: Access to computer labs",29,48,60.4166666666667,469,0.0618336886993603,"SelfDtaught"
"43","3_short_workshop","Faculities Issues: Access to computer labs",12,48,25,231,0.051948051948052,"Short_workshops"
"44","4_some_undergraduate_courses","Faculities Issues: Access to computer labs",1,48,2.08333333333333,31,0.032258064516129,"Some_undergraduate_coursework"
"45","6_undergraduate_certificate","Faculities Issues: Access to computer labs",0,48,0,5,0,"Undergraduate_certificate"
"46","7_undergraduate_degree","Faculities Issues: Access to computer labs",0,48,0,10,0,"Undergraduate_degree"
"47","8_post_graduate_degree","Faculities Issues: Access to computer labs",4,48,8.33333333333333,148,0.027027027027027,"PostDgraduate_certificate"
"48","9_graduate.course_or_degree","Faculities Issues: Access to computer labs",0,48,0,55,0,"Graduate_course_or_degree"
"49","1_no_training_experience","Faculities Issues: Inadaquate computers",0,6,0,103,0,"No_Training"
"50","2_No_formal_training_self_taught","Faculities Issues: Inadaquate computers",5,6,83.3333333333333,469,0.0106609808102345,"SelfDtaught"
"51","3_short_workshop","Faculities Issues: Inadaquate computers",1,6,16.6666666666667,231,0.00432900432900433,"Short_workshops"
"52","4_some_undergraduate_courses","Faculities Issues: Inadaquate computers",0,6,0,31,0,"Some_undergraduate_coursework"
"53","6_undergraduate_certificate","Faculities Issues: Inadaquate computers",0,6,0,5,0,"Undergraduate_certificate"
"54","7_undergraduate_degree","Faculities Issues: Inadaquate computers",0,6,0,10,0,"Undergraduate_degree"
"55","8_post_graduate_degree","Faculities Issues: Inadaquate computers",0,6,0,148,0,"PostDgraduate_certificate"
"56","9_graduate.course_or_degree","Faculities Issues: Inadaquate computers",0,6,0,55,0,"Graduate_course_or_degree"
"57","1_no_training_experience","Resource Issues: Access to software",1,49,2.04081632653061,103,0.00970873786407767,"No_Training"
"58","2_No_formal_training_self_taught","Resource Issues: Access to software",27,49,55.1020408163265,469,0.0575692963752665,"SelfDtaught"
"59","3_short_workshop","Resource Issues: Access to software",10,49,20.4081632653061,231,0.0432900432900433,"Short_workshops"
"60","4_some_undergraduate_courses","Resource Issues: Access to software",2,49,4.08163265306122,31,0.0645161290322581,"Some_undergraduate_coursework"
"61","6_undergraduate_certificate","Resource Issues: Access to software",0,49,0,5,0,"Undergraduate_certificate"
"62","7_undergraduate_degree","Resource Issues: Access to software",0,49,0,10,0,"Undergraduate_degree"
"63","8_post_graduate_degree","Resource Issues: Access to software",7,49,14.2857142857143,148,0.0472972972972973,"PostDgraduate_certificate"
"64","9_graduate.course_or_degree","Resource Issues: Access to software",2,49,4.08163265306122,55,0.0363636363636364,"Graduate_course_or_degree"
"65","1_no_training_experience","Resource Issues: Funding",2,28,7.14285714285714,103,0.0194174757281553,"No_Training"
"66","2_No_formal_training_self_taught","Resource Issues: Funding",14,28,50,469,0.0298507462686567,"SelfDtaught"
"67","3_short_workshop","Resource Issues: Funding",8,28,28.5714285714286,231,0.0346320346320346,"Short_workshops"
"68","4_some_undergraduate_courses","Resource Issues: Funding",1,28,3.57142857142857,31,0.032258064516129,"Some_undergraduate_coursework"
"69","6_undergraduate_certificate","Resource Issues: Funding",0,28,0,5,0,"Undergraduate_certificate"
"70","7_undergraduate_degree","Resource Issues: Funding",0,28,0,10,0,"Undergraduate_degree"
"71","8_post_graduate_degree","Resource Issues: Funding",2,28,7.14285714285714,148,0.0135135135135135,"PostDgraduate_certificate"
"72","9_graduate.course_or_degree","Resource Issues: Funding",1,28,3.57142857142857,55,0.0181818181818182,"Graduate_course_or_degree"
"73","1_no_training_experience","Resource Issues: Software/license fees",0,7,0,103,0,"No_Training"
"74","2_No_formal_training_self_taught","Resource Issues: Software/license fees",6,7,85.7142857142857,469,0.0127931769722814,"SelfDtaught"
"75","3_short_workshop","Resource Issues: Software/license fees",1,7,14.2857142857143,231,0.00432900432900433,"Short_workshops"
"76","4_some_undergraduate_courses","Resource Issues: Software/license fees",0,7,0,31,0,"Some_undergraduate_coursework"
"77","6_undergraduate_certificate","Resource Issues: Software/license fees",0,7,0,5,0,"Undergraduate_certificate"
"78","7_undergraduate_degree","Resource Issues: Software/license fees",0,7,0,10,0,"Undergraduate_degree"
"79","8_post_graduate_degree","Resource Issues: Software/license fees",0,7,0,148,0,"PostDgraduate_certificate"
"80","9_graduate.course_or_degree","Resource Issues: Software/license fees",0,7,0,55,0,"Graduate_course_or_degree"
"81","1_no_training_experience","Student Issues: Lack of background skills/knowledge",20,202,9.9009900990099,103,0.194174757281553,"No_Training"
"82","2_No_formal_training_self_taught","Student Issues: Lack of background skills/knowledge",90,202,44.5544554455446,469,0.191897654584222,"SelfDtaught"
"83","3_short_workshop","Student Issues: Lack of background skills/knowledge",42,202,20.7920792079208,231,0.181818181818182,"Short_workshops"
"84","4_some_undergraduate_courses","Student Issues: Lack of background skills/knowledge",3,202,1.48514851485149,31,0.0967741935483871,"Some_undergraduate_coursework"
"85","6_undergraduate_certificate","Student Issues: Lack of background skills/knowledge",0,202,0,5,0,"Undergraduate_certificate"
"86","7_undergraduate_degree","Student Issues: Lack of background skills/knowledge",3,202,1.48514851485149,10,0.3,"Undergraduate_degree"
"87","8_post_graduate_degree","Student Issues: Lack of background skills/knowledge",31,202,15.3465346534653,148,0.209459459459459,"PostDgraduate_certificate"
"88","9_graduate.course_or_degree","Student Issues: Lack of background skills/knowledge",13,202,6.43564356435644,55,0.236363636363636,"Graduate_course_or_degree"
"89","1_no_training_experience","Student Issues: Lack of interest",4,102,3.92156862745098,103,0.0388349514563107,"No_Training"
"90","2_No_formal_training_self_taught","Student Issues: Lack of interest",42,102,41.1764705882353,469,0.0895522388059701,"SelfDtaught"
"91","3_short_workshop","Student Issues: Lack of interest",28,102,27.4509803921569,231,0.121212121212121,"Short_workshops"
"92","4_some_undergraduate_courses","Student Issues: Lack of interest",3,102,2.94117647058824,31,0.0967741935483871,"Some_undergraduate_coursework"
"93","6_undergraduate_certificate","Student Issues: Lack of interest",1,102,0.980392156862745,5,0.2,"Undergraduate_certificate"
"94","7_undergraduate_degree","Student Issues: Lack of interest",2,102,1.96078431372549,10,0.2,"Undergraduate_degree"
"95","8_post_graduate_degree","Student Issues: Lack of interest",15,102,14.7058823529412,148,0.101351351351351,"PostDgraduate_certificate"
"96","9_graduate.course_or_degree","Student Issues: Lack of interest",7,102,6.86274509803922,55,0.127272727272727,"Graduate_course_or_degree"
"97","1_no_training_experience","Student Issues: Intimidated by topic",1,33,3.03030303030303,103,0.00970873786407767,"No_Training"
"98","2_No_formal_training_self_taught","Student Issues: Intimidated by topic",20,33,60.6060606060606,469,0.0426439232409382,"SelfDtaught"
"99","3_short_workshop","Student Issues: Intimidated by topic",4,33,12.1212121212121,231,0.0173160173160173,"Short_workshops"
"100","4_some_undergraduate_courses","Student Issues: Intimidated by topic",0,33,0,31,0,"Some_undergraduate_coursework"
"101","6_undergraduate_certificate","Student Issues: Intimidated by topic",0,33,0,5,0,"Undergraduate_certificate"
"102","7_undergraduate_degree","Student Issues: Intimidated by topic",0,33,0,10,0,"Undergraduate_degree"
"103","8_post_graduate_degree","Student Issues: Intimidated by topic",5,33,15.1515151515152,148,0.0337837837837838,"PostDgraduate_certificate"
"104","9_graduate.course_or_degree","Student Issues: Intimidated by topic",3,33,9.09090909090909,55,0.0545454545454545,"Graduate_course_or_degree"
"105","1_no_training_experience","Student Issues: Varying student backrounds",2,22,9.09090909090909,103,0.0194174757281553,"No_Training"
"106","2_No_formal_training_self_taught","Student Issues: Varying student backrounds",7,22,31.8181818181818,469,0.0149253731343284,"SelfDtaught"
"107","3_short_workshop","Student Issues: Varying student backrounds",6,22,27.2727272727273,231,0.025974025974026,"Short_workshops"
"108","4_some_undergraduate_courses","Student Issues: Varying student backrounds",1,22,4.54545454545455,31,0.032258064516129,"Some_undergraduate_coursework"
"109","6_undergraduate_certificate","Student Issues: Varying student backrounds",0,22,0,5,0,"Undergraduate_certificate"
"110","7_undergraduate_degree","Student Issues: Varying student backrounds",0,22,0,10,0,"Undergraduate_degree"
"111","8_post_graduate_degree","Student Issues: Varying student backrounds",4,22,18.1818181818182,148,0.027027027027027,"PostDgraduate_certificate"
"112","9_graduate.course_or_degree","Student Issues: Varying student backrounds",2,22,9.09090909090909,55,0.0363636363636364,"Graduate_course_or_degree"
"113","1_no_training_experience","Student Issues: Lack of basic computing skills",0,17,0,103,0,"No_Training"
"114","2_No_formal_training_self_taught","Student Issues: Lack of basic computing skills",14,17,82.3529411764706,469,0.0298507462686567,"SelfDtaught"
"115","3_short_workshop","Student Issues: Lack of basic computing skills",2,17,11.7647058823529,231,0.00865800865800866,"Short_workshops"
"116","4_some_undergraduate_courses","Student Issues: Lack of basic computing skills",0,17,0,31,0,"Some_undergraduate_coursework"
"117","6_undergraduate_certificate","Student Issues: Lack of basic computing skills",0,17,0,5,0,"Undergraduate_certificate"
"118","7_undergraduate_degree","Student Issues: Lack of basic computing skills",0,17,0,10,0,"Undergraduate_degree"
"119","8_post_graduate_degree","Student Issues: Lack of basic computing skills",1,17,5.88235294117647,148,0.00675675675675676,"PostDgraduate_certificate"
"120","9_graduate.course_or_degree","Student Issues: Lack of basic computing skills",0,17,0,55,0,"Graduate_course_or_degree"
"121","1_no_training_experience","Student Issues: Career prospects",0,7,0,103,0,"No_Training"
"122","2_No_formal_training_self_taught","Student Issues: Career prospects",2,7,28.5714285714286,469,0.00426439232409382,"SelfDtaught"
"123","3_short_workshop","Student Issues: Career prospects",2,7,28.5714285714286,231,0.00865800865800866,"Short_workshops"
"124","4_some_undergraduate_courses","Student Issues: Career prospects",1,7,14.2857142857143,31,0.032258064516129,"Some_undergraduate_coursework"
"125","6_undergraduate_certificate","Student Issues: Career prospects",0,7,0,5,0,"Undergraduate_certificate"
"126","7_undergraduate_degree","Student Issues: Career prospects",0,7,0,10,0,"Undergraduate_degree"
"127","8_post_graduate_degree","Student Issues: Career prospects",1,7,14.2857142857143,148,0.00675675675675676,"PostDgraduate_certificate"
"128","9_graduate.course_or_degree","Student Issues: Career prospects",1,7,14.2857142857143,55,0.0181818181818182,"Graduate_course_or_degree"
"129","1_no_training_experience","Curriculum Issues: Lack of integration",9,85,10.5882352941176,103,0.087378640776699,"No_Training"
"130","2_No_formal_training_self_taught","Curriculum Issues: Lack of integration",33,85,38.8235294117647,469,0.070362473347548,"SelfDtaught"
"131","3_short_workshop","Curriculum Issues: Lack of integration",24,85,28.2352941176471,231,0.103896103896104,"Short_workshops"
"132","4_some_undergraduate_courses","Curriculum Issues: Lack of integration",2,85,2.35294117647059,31,0.0645161290322581,"Some_undergraduate_coursework"
"133","6_undergraduate_certificate","Curriculum Issues: Lack of integration",1,85,1.17647058823529,5,0.2,"Undergraduate_certificate"
"134","7_undergraduate_degree","Curriculum Issues: Lack of integration",0,85,0,10,0,"Undergraduate_degree"
"135","8_post_graduate_degree","Curriculum Issues: Lack of integration",10,85,11.7647058823529,148,0.0675675675675676,"PostDgraduate_certificate"
"136","9_graduate.course_or_degree","Curriculum Issues: Lack of integration",6,85,7.05882352941176,55,0.109090909090909,"Graduate_course_or_degree"
"137","1_no_training_experience","Curriculum Issues: Too much content",6,73,8.21917808219178,103,0.058252427184466,"No_Training"
"138","2_No_formal_training_self_taught","Curriculum Issues: Too much content",34,73,46.5753424657534,469,0.0724946695095949,"SelfDtaught"
"139","3_short_workshop","Curriculum Issues: Too much content",17,73,23.2876712328767,231,0.0735930735930736,"Short_workshops"
"140","4_some_undergraduate_courses","Curriculum Issues: Too much content",2,73,2.73972602739726,31,0.0645161290322581,"Some_undergraduate_coursework"
"141","6_undergraduate_certificate","Curriculum Issues: Too much content",1,73,1.36986301369863,5,0.2,"Undergraduate_certificate"
"142","7_undergraduate_degree","Curriculum Issues: Too much content",1,73,1.36986301369863,10,0.1,"Undergraduate_degree"
"143","8_post_graduate_degree","Curriculum Issues: Too much content",11,73,15.0684931506849,148,0.0743243243243243,"PostDgraduate_certificate"
"144","9_graduate.course_or_degree","Curriculum Issues: Too much content",1,73,1.36986301369863,55,0.0181818181818182,"Graduate_course_or_degree"
"145","1_no_training_experience","Curriculum Issues: Quickly changing technologies",3,52,5.76923076923077,103,0.029126213592233,"No_Training"
"146","2_No_formal_training_self_taught","Curriculum Issues: Quickly changing technologies",26,52,50,469,0.0554371002132196,"SelfDtaught"
"147","3_short_workshop","Curriculum Issues: Quickly changing technologies",15,52,28.8461538461538,231,0.0649350649350649,"Short_workshops"
"148","4_some_undergraduate_courses","Curriculum Issues: Quickly changing technologies",1,52,1.92307692307692,31,0.032258064516129,"Some_undergraduate_coursework"
"149","6_undergraduate_certificate","Curriculum Issues: Quickly changing technologies",0,52,0,5,0,"Undergraduate_certificate"
"150","7_undergraduate_degree","Curriculum Issues: Quickly changing technologies",1,52,1.92307692307692,10,0.1,"Undergraduate_degree"
"151","8_post_graduate_degree","Curriculum Issues: Quickly changing technologies",6,52,11.5384615384615,148,0.0405405405405405,"PostDgraduate_certificate"
