"","No_Training","SelfDtaught","Short_workshops","Some_undergraduate_coursework","Undergraduate_certificate","Undergraduate_degree","PostDgraduate_certificate","Graduate_course_or_degree"
"Faculty Issues: Expertise/training"," 29","125"," 88","  8","  1","  0"," 33"," 13"
"Faculty Issues: Time","10","40","20"," 4"," 0"," 2","12"," 2"
"Faculty Issues: Differences of opinion"," 1","10"," 1"," 0"," 0"," 0"," 3"," 2"
"Faculty Issues: Content development","1","4","5","0","0","0","2","1"
"Faculty Issues: Too few faculty","1","7","0","0","0","0","0","1"
"Faculities Issues: Access to computer labs"," 2","29","12"," 1"," 0"," 0"," 4"," 0"
"Faculities Issues: Inadaquate computers","0","5","1","0","0","0","0","0"
"Resource Issues: Access to software"," 1","27","10"," 2"," 0"," 0"," 7"," 2"
"Resource Issues: Funding"," 2","14"," 8"," 1"," 0"," 0"," 2"," 1"
"Resource Issues: Software/license fees","0","6","1","0","0","0","0","0"
"Student Issues: Lack of background skills/knowledge","20","90","42"," 3"," 0"," 3","31","13"
"Student Issues: Lack of interest"," 4","42","28"," 3"," 1"," 2","15"," 7"
"Student Issues: Intimidated by topic"," 1","20"," 4"," 0"," 0"," 0"," 5"," 3"
"Student Issues: Varying student backrounds","2","7","6","1","0","0","4","2"
"Student Issues: Lack of basic computing skills"," 0","14"," 2"," 0"," 0"," 0"," 1"," 0"
"Student Issues: Career prospects","0","2","2","1","0","0","1","1"
"Curriculum Issues: Lack of integration"," 9","33","24"," 2"," 1"," 0","10"," 6"
"Curriculum Issues: Too much content"," 6","34","17"," 2"," 1"," 1","11"," 1"
"Curriculum Issues: Quickly changing technologies"," 3","26","15"," 1"," 0"," 1"," 6"," 0"
"Curriculum Issues: Access to bioinformatics lesson plans/curriculum"," 0","16"," 9"," 0"," 1"," 0"," 4"," 6"
"Curriculum Issues: Difficulty establishing relevance","1","5","1","1","0","0","3","1"
"Curriculum Issues: Influence from professional schools","0","4","4","0","0","0","1","2"
"Institutional Issues: Lack of inter-departmental cooperation","0","8","4","0","0","0","2","1"
"Institutional Issues: Lack of IT support","0","5","4","0","0","0","3","0"
