Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
Formal Training,Faculty Issues: Expertise/training,55.0,297.0,18.51851851851852,249.0,0.22088353413654618,Formal_Training,55.0,194.0,9.80664716461897e-4,0.05152657552953747,0.2322649062414641,0.20950216203162828
No Training,Faculty Issues: Expertise/training,29.0,297.0,9.764309764309765,103.0,0.2815533980582524,No_Training,29.0,74.0,9.80664716461897e-4,0.08685745755513284,0.30600841037960047,0.25709838573690436
Self Taught,Faculty Issues: Expertise/training,125.0,297.0,42.08754208754209,469.0,0.26652452025586354,SelfDTaught,125.0,344.0,9.80664716461897e-4,0.04001502151489048,0.2771895046681478,0.2558595358435793
Workshops and Bootcamps,Faculty Issues: Expertise/training,88.0,297.0,29.629629629629626,231.0,0.38095238095238093,Workshops_and_Bootcamps,88.0,143.0,9.80664716461897e-4,0.06262380850823546,0.4048090699078992,0.35709569199686264
Formal Training,Faculty Issues: Time,20.0,90.0,22.22222222222222,249.0,0.08032128514056225,Formal_Training,20.0,229.0,0.9663241044985718,0.03375839647016777,0.08303280292933074,0.07760976735179376
No Training,Faculty Issues: Time,10.0,90.0,11.11111111111111,103.0,0.0970873786407767,No_Training,10.0,93.0,0.9663241044985718,0.057178627733982676,0.10263870172174588,0.09153605555980751
Self Taught,Faculty Issues: Time,40.0,90.0,44.44444444444444,469.0,0.08528784648187633,SelfDTaught,40.0,429.0,0.9663241044985718,0.025278277009158568,0.08744377629075979,0.08313191667299287
Workshops and Bootcamps,Faculty Issues: Time,20.0,90.0,22.22222222222222,231.0,0.08658008658008658,Workshops_and_Bootcamps,20.0,211.0,0.9663241044985718,0.03626488851206112,0.08971990376727801,0.08344026939289514
Formal Training,Student Issues: Lack of background skills/knowledge,50.0,202.0,24.752475247524753,249.0,0.20080321285140562,Formal_Training,50.0,199.0,0.9633951355293361,0.04975773591027534,0.21079472608640068,0.19081169961641056
No Training,Student Issues: Lack of background skills/knowledge,20.0,202.0,9.900990099009901,103.0,0.1941747572815534,No_Training,20.0,83.0,0.9633951355293361,0.07639172166656132,0.20900810129447792,0.17934141326862887
Self Taught,Student Issues: Lack of background skills/knowledge,90.0,202.0,44.554455445544555,469.0,0.19189765458422176,SelfDTaught,90.0,379.0,0.9633951355293361,0.03563934277792187,0.1987367608742281,0.18505854829421542
Workshops and Bootcamps,Student Issues: Lack of background skills/knowledge,42.0,202.0,20.792079207920793,231.0,0.18181818181818182,Workshops_and_Bootcamps,42.0,189.0,0.9633951355293361,0.04973769656084162,0.19086139937469848,0.17277496426166516
Formal Training,Curriculum Issues: Lack of integration,19.0,85.0,22.35294117647059,249.0,0.07630522088353414,Formal_Training,19.0,230.0,0.47986066995709115,0.032975378474892625,0.07882141442177897,0.07378902734528932
No Training,Curriculum Issues: Lack of integration,9.0,85.0,10.588235294117647,103.0,0.08737864077669903,No_Training,9.0,94.0,0.47986066995709115,0.054535265962336675,0.09214385819088379,0.08261342336251427
Self Taught,Curriculum Issues: Lack of integration,33.0,85.0,38.82352941176471,469.0,0.07036247334754797,SelfDTaught,33.0,436.0,0.47986066995709115,0.02314669779607072,0.07199113225430774,0.0687338144407882
Workshops and Bootcamps,Curriculum Issues: Lack of integration,24.0,85.0,28.235294117647058,231.0,0.1038961038961039,Workshops_and_Bootcamps,24.0,207.0,0.47986066995709115,0.03934784163227288,0.10798419133841797,0.09980801645378984
Formal Training,Curriculum Issues: Too much content,16.0,73.0,21.91780821917808,249.0,0.0642570281124498,Formal_Training,16.0,233.0,0.9334192248810026,0.03045699291061304,0.06621410396212773,0.062299952262771845
No Training,Curriculum Issues: Too much content,6.0,73.0,8.21917808219178,103.0,0.05825242718446602,No_Training,6.0,97.0,0.9334192248810026,0.04523282853982257,0.06088734923532947,0.05561750513360257
Self Taught,Curriculum Issues: Too much content,34.0,73.0,46.57534246575342,469.0,0.07249466950959488,SelfDTaught,34.0,435.0,0.9334192248810026,0.023467828940974142,0.0741959620127785,0.07079337700641125
Workshops and Bootcamps,Curriculum Issues: Too much content,17.0,73.0,23.28767123287671,231.0,0.0735930735930736,Workshops_and_Bootcamps,17.0,214.0,0.9334192248810026,0.03367142283686964,0.07607105709189084,0.07111509009425636
