"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","Formal Training","Faculty Issues: Expertise/training",55,297,18.5185185185185,249,0.220883534136546,"Formal_Training"
"2","No Training","Faculty Issues: Expertise/training",29,297,9.76430976430976,103,0.281553398058252,"No_Training"
"3","Self Taught","Faculty Issues: Expertise/training",125,297,42.0875420875421,469,0.266524520255864,"SelfDTaught"
"4","Workshops and Bootcamps","Faculty Issues: Expertise/training",88,297,29.6296296296296,231,0.380952380952381,"Workshops_and_Bootcamps"
"5","Formal Training","Faculty Issues: Time",20,90,22.2222222222222,249,0.0803212851405622,"Formal_Training"
"6","No Training","Faculty Issues: Time",10,90,11.1111111111111,103,0.0970873786407767,"No_Training"
"7","Self Taught","Faculty Issues: Time",40,90,44.4444444444444,469,0.0852878464818763,"SelfDTaught"
"8","Workshops and Bootcamps","Faculty Issues: Time",20,90,22.2222222222222,231,0.0865800865800866,"Workshops_and_Bootcamps"
"9","Formal Training","Faculty Issues: Differences of opinion",5,17,29.4117647058824,249,0.0200803212851406,"Formal_Training"
"10","No Training","Faculty Issues: Differences of opinion",1,17,5.88235294117647,103,0.00970873786407767,"No_Training"
"11","Self Taught","Faculty Issues: Differences of opinion",10,17,58.8235294117647,469,0.0213219616204691,"SelfDTaught"
"12","Workshops and Bootcamps","Faculty Issues: Differences of opinion",1,17,5.88235294117647,231,0.00432900432900433,"Workshops_and_Bootcamps"
"13","Formal Training","Faculty Issues: Content development",3,13,23.0769230769231,249,0.0120481927710843,"Formal_Training"
"14","No Training","Faculty Issues: Content development",1,13,7.69230769230769,103,0.00970873786407767,"No_Training"
"15","Self Taught","Faculty Issues: Content development",4,13,30.7692307692308,469,0.00852878464818763,"SelfDTaught"
"16","Workshops and Bootcamps","Faculty Issues: Content development",5,13,38.4615384615385,231,0.0216450216450216,"Workshops_and_Bootcamps"
"17","Formal Training","Faculty Issues: Too few faculty",1,9,11.1111111111111,249,0.00401606425702811,"Formal_Training"
"18","No Training","Faculty Issues: Too few faculty",1,9,11.1111111111111,103,0.00970873786407767,"No_Training"
"19","Self Taught","Faculty Issues: Too few faculty",7,9,77.7777777777778,469,0.0149253731343284,"SelfDTaught"
"20","Workshops and Bootcamps","Faculty Issues: Too few faculty",0,9,0,231,0,"Workshops_and_Bootcamps"
"21","Formal Training","Faculities Issues: Access to computer labs",5,48,10.4166666666667,249,0.0200803212851406,"Formal_Training"
"22","No Training","Faculities Issues: Access to computer labs",2,48,4.16666666666667,103,0.0194174757281553,"No_Training"
"23","Self Taught","Faculities Issues: Access to computer labs",29,48,60.4166666666667,469,0.0618336886993603,"SelfDTaught"
"24","Workshops and Bootcamps","Faculities Issues: Access to computer labs",12,48,25,231,0.051948051948052,"Workshops_and_Bootcamps"
"25","Formal Training","Faculities Issues: Inadaquate computers",0,6,0,249,0,"Formal_Training"
"26","No Training","Faculities Issues: Inadaquate computers",0,6,0,103,0,"No_Training"
"27","Self Taught","Faculities Issues: Inadaquate computers",5,6,83.3333333333333,469,0.0106609808102345,"SelfDTaught"
"28","Workshops and Bootcamps","Faculities Issues: Inadaquate computers",1,6,16.6666666666667,231,0.00432900432900433,"Workshops_and_Bootcamps"
"29","Formal Training","Resource Issues: Access to software",11,49,22.4489795918367,249,0.0441767068273092,"Formal_Training"
"30","No Training","Resource Issues: Access to software",1,49,2.04081632653061,103,0.00970873786407767,"No_Training"
"31","Self Taught","Resource Issues: Access to software",27,49,55.1020408163265,469,0.0575692963752665,"SelfDTaught"
"32","Workshops and Bootcamps","Resource Issues: Access to software",10,49,20.4081632653061,231,0.0432900432900433,"Workshops_and_Bootcamps"
"33","Formal Training","Resource Issues: Funding",4,28,14.2857142857143,249,0.0160642570281124,"Formal_Training"
"34","No Training","Resource Issues: Funding",2,28,7.14285714285714,103,0.0194174757281553,"No_Training"
"35","Self Taught","Resource Issues: Funding",14,28,50,469,0.0298507462686567,"SelfDTaught"
"36","Workshops and Bootcamps","Resource Issues: Funding",8,28,28.5714285714286,231,0.0346320346320346,"Workshops_and_Bootcamps"
"37","Formal Training","Resource Issues: Software/license fees",0,7,0,249,0,"Formal_Training"
"38","No Training","Resource Issues: Software/license fees",0,7,0,103,0,"No_Training"
"39","Self Taught","Resource Issues: Software/license fees",6,7,85.7142857142857,469,0.0127931769722814,"SelfDTaught"
"40","Workshops and Bootcamps","Resource Issues: Software/license fees",1,7,14.2857142857143,231,0.00432900432900433,"Workshops_and_Bootcamps"
