"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_no_training_experience","Faculty Issues: Expertise/training",44,175,25.1428571428571,103,0.427184466019417,"No_Training"
"2","2_No_formal_training_self_taught","Faculty Issues: Expertise/training",75,175,42.8571428571429,469,0.159914712153518,"SelfDtaught"
"3","3_short_workshop","Faculty Issues: Expertise/training",37,175,21.1428571428571,231,0.16017316017316,"Short_workshops"
"4","4_some_undergraduate_courses","Faculty Issues: Expertise/training",6,175,3.42857142857143,31,0.193548387096774,"Some_undergraduate_coursework"
"5","6_undergraduate_certificate","Faculty Issues: Expertise/training",1,175,0.571428571428571,5,0.2,"Undergraduate_certificate"
"6","7_undergraduate_degree","Faculty Issues: Expertise/training",1,175,0.571428571428571,10,0.1,"Undergraduate_degree"
"7","8_post_graduate_degree","Faculty Issues: Expertise/training",10,175,5.71428571428571,148,0.0675675675675676,"PostDgraduate_certificate"
"8","9_graduate.course_or_degree","Faculty Issues: Expertise/training",1,175,0.571428571428571,55,0.0181818181818182,"Graduate_course_or_degree"
"9","1_no_training_experience","Faculty Issues: Time",15,135,11.1111111111111,103,0.145631067961165,"No_Training"
"10","2_No_formal_training_self_taught","Faculty Issues: Time",66,135,48.8888888888889,469,0.140724946695096,"SelfDtaught"
"11","3_short_workshop","Faculty Issues: Time",22,135,16.2962962962963,231,0.0952380952380952,"Short_workshops"
"12","4_some_undergraduate_courses","Faculty Issues: Time",7,135,5.18518518518519,31,0.225806451612903,"Some_undergraduate_coursework"
"13","6_undergraduate_certificate","Faculty Issues: Time",1,135,0.740740740740741,5,0.2,"Undergraduate_certificate"
"14","7_undergraduate_degree","Faculty Issues: Time",0,135,0,10,0,"Undergraduate_degree"
"15","8_post_graduate_degree","Faculty Issues: Time",23,135,17.037037037037,148,0.155405405405405,"PostDgraduate_certificate"
"16","9_graduate.course_or_degree","Faculty Issues: Time",1,135,0.740740740740741,55,0.0181818181818182,"Graduate_course_or_degree"
"17","1_no_training_experience","Faculty Issues: Curriculum design/integration",3,32,9.375,103,0.029126213592233,"No_Training"
"18","2_No_formal_training_self_taught","Faculty Issues: Curriculum design/integration",17,32,53.125,469,0.0362473347547974,"SelfDtaught"
"19","3_short_workshop","Faculty Issues: Curriculum design/integration",6,32,18.75,231,0.025974025974026,"Short_workshops"
"20","4_some_undergraduate_courses","Faculty Issues: Curriculum design/integration",2,32,6.25,31,0.0645161290322581,"Some_undergraduate_coursework"
"21","6_undergraduate_certificate","Faculty Issues: Curriculum design/integration",0,32,0,5,0,"Undergraduate_certificate"
"22","7_undergraduate_degree","Faculty Issues: Curriculum design/integration",0,32,0,10,0,"Undergraduate_degree"
"23","8_post_graduate_degree","Faculty Issues: Curriculum design/integration",4,32,12.5,148,0.027027027027027,"PostDgraduate_certificate"
"24","9_graduate.course_or_degree","Faculty Issues: Curriculum design/integration",0,32,0,55,0,"Graduate_course_or_degree"
"25","1_no_training_experience","Faculty Issues: Lack of interest",0,9,0,103,0,"No_Training"
"26","2_No_formal_training_self_taught","Faculty Issues: Lack of interest",4,9,44.4444444444444,469,0.00852878464818763,"SelfDtaught"
"27","3_short_workshop","Faculty Issues: Lack of interest",4,9,44.4444444444444,231,0.0173160173160173,"Short_workshops"
"28","4_some_undergraduate_courses","Faculty Issues: Lack of interest",0,9,0,31,0,"Some_undergraduate_coursework"
"29","6_undergraduate_certificate","Faculty Issues: Lack of interest",0,9,0,5,0,"Undergraduate_certificate"
"30","7_undergraduate_degree","Faculty Issues: Lack of interest",0,9,0,10,0,"Undergraduate_degree"
"31","8_post_graduate_degree","Faculty Issues: Lack of interest",0,9,0,148,0,"PostDgraduate_certificate"
"32","9_graduate.course_or_degree","Faculty Issues: Lack of interest",1,9,11.1111111111111,55,0.0181818181818182,"Graduate_course_or_degree"
"33","1_no_training_experience","Faculty Issues: New Faculty",0,4,0,103,0,"No_Training"
"34","2_No_formal_training_self_taught","Faculty Issues: New Faculty",0,4,0,469,0,"SelfDtaught"
"35","3_short_workshop","Faculty Issues: New Faculty",1,4,25,231,0.00432900432900433,"Short_workshops"
"36","4_some_undergraduate_courses","Faculty Issues: New Faculty",1,4,25,31,0.032258064516129,"Some_undergraduate_coursework"
"37","6_undergraduate_certificate","Faculty Issues: New Faculty",0,4,0,5,0,"Undergraduate_certificate"
"38","7_undergraduate_degree","Faculty Issues: New Faculty",0,4,0,10,0,"Undergraduate_degree"
"39","8_post_graduate_degree","Faculty Issues: New Faculty",0,4,0,148,0,"PostDgraduate_certificate"
"40","9_graduate.course_or_degree","Faculty Issues: New Faculty",2,4,50,55,0.0363636363636364,"Graduate_course_or_degree"
"41","1_no_training_experience","Curriculum Issues: No space",9,102,8.82352941176471,103,0.087378640776699,"No_Training"
"42","2_No_formal_training_self_taught","Curriculum Issues: No space",52,102,50.9803921568627,469,0.110874200426439,"SelfDtaught"
"43","3_short_workshop","Curriculum Issues: No space",18,102,17.6470588235294,231,0.0779220779220779,"Short_workshops"
"44","4_some_undergraduate_courses","Curriculum Issues: No space",4,102,3.92156862745098,31,0.129032258064516,"Some_undergraduate_coursework"
"45","6_undergraduate_certificate","Curriculum Issues: No space",0,102,0,5,0,"Undergraduate_certificate"
"46","7_undergraduate_degree","Curriculum Issues: No space",0,102,0,10,0,"Undergraduate_degree"
"47","8_post_graduate_degree","Curriculum Issues: No space",18,102,17.6470588235294,148,0.121621621621622,"PostDgraduate_certificate"
"48","9_graduate.course_or_degree","Curriculum Issues: No space",1,102,0.980392156862745,55,0.0181818181818182,"Graduate_course_or_degree"
"49","1_no_training_experience","Curriculum Issues: Incompatible with current curriculum",8,52,15.3846153846154,103,0.0776699029126214,"No_Training"
"50","2_No_formal_training_self_taught","Curriculum Issues: Incompatible with current curriculum",25,52,48.0769230769231,469,0.0533049040511727,"SelfDtaught"
"51","3_short_workshop","Curriculum Issues: Incompatible with current curriculum",10,52,19.2307692307692,231,0.0432900432900433,"Short_workshops"
"52","4_some_undergraduate_courses","Curriculum Issues: Incompatible with current curriculum",0,52,0,31,0,"Some_undergraduate_coursework"
"53","6_undergraduate_certificate","Curriculum Issues: Incompatible with current curriculum",1,52,1.92307692307692,5,0.2,"Undergraduate_certificate"
"54","7_undergraduate_degree","Curriculum Issues: Incompatible with current curriculum",1,52,1.92307692307692,10,0.1,"Undergraduate_degree"
"55","8_post_graduate_degree","Curriculum Issues: Incompatible with current curriculum",6,52,11.5384615384615,148,0.0405405405405405,"PostDgraduate_certificate"
"56","9_graduate.course_or_degree","Curriculum Issues: Incompatible with current curriculum",1,52,1.92307692307692,55,0.0181818181818182,"Graduate_course_or_degree"
"57","1_no_training_experience","Curriculum Issues: Time needed to develop",2,33,6.06060606060606,103,0.0194174757281553,"No_Training"
"58","2_No_formal_training_self_taught","Curriculum Issues: Time needed to develop",15,33,45.4545454545455,469,0.0319829424307036,"SelfDtaught"
"59","3_short_workshop","Curriculum Issues: Time needed to develop",5,33,15.1515151515152,231,0.0216450216450216,"Short_workshops"
"60","4_some_undergraduate_courses","Curriculum Issues: Time needed to develop",2,33,6.06060606060606,31,0.0645161290322581,"Some_undergraduate_coursework"
"61","6_undergraduate_certificate","Curriculum Issues: Time needed to develop",0,33,0,5,0,"Undergraduate_certificate"
"62","7_undergraduate_degree","Curriculum Issues: Time needed to develop",0,33,0,10,0,"Undergraduate_degree"
"63","8_post_graduate_degree","Curriculum Issues: Time needed to develop",9,33,27.2727272727273,148,0.0608108108108108,"PostDgraduate_certificate"
"64","9_graduate.course_or_degree","Curriculum Issues: Time needed to develop",0,33,0,55,0,"Graduate_course_or_degree"
"65","1_no_training_experience","Curriculum Issues: No control",4,25,16,103,0.0388349514563107,"No_Training"
"66","2_No_formal_training_self_taught","Curriculum Issues: No control",12,25,48,469,0.0255863539445629,"SelfDtaught"
"67","3_short_workshop","Curriculum Issues: No control",2,25,8,231,0.00865800865800866,"Short_workshops"
"68","4_some_undergraduate_courses","Curriculum Issues: No control",1,25,4,31,0.032258064516129,"Some_undergraduate_coursework"
"69","6_undergraduate_certificate","Curriculum Issues: No control",0,25,0,5,0,"Undergraduate_certificate"
"70","7_undergraduate_degree","Curriculum Issues: No control",0,25,0,10,0,"Undergraduate_degree"
"71","8_post_graduate_degree","Curriculum Issues: No control",2,25,8,148,0.0135135135135135,"PostDgraduate_certificate"
"72","9_graduate.course_or_degree","Curriculum Issues: No control",4,25,16,55,0.0727272727272727,"Graduate_course_or_degree"
"73","1_no_training_experience","Curriculum Issues: Covered elsewhere",1,15,6.66666666666667,103,0.00970873786407767,"No_Training"
"74","2_No_formal_training_self_taught","Curriculum Issues: Covered elsewhere",8,15,53.3333333333333,469,0.0170575692963753,"SelfDtaught"
"75","3_short_workshop","Curriculum Issues: Covered elsewhere",4,15,26.6666666666667,231,0.0173160173160173,"Short_workshops"
"76","4_some_undergraduate_courses","Curriculum Issues: Covered elsewhere",0,15,0,31,0,"Some_undergraduate_coursework"
"77","6_undergraduate_certificate","Curriculum Issues: Covered elsewhere",0,15,0,5,0,"Undergraduate_certificate"
"78","7_undergraduate_degree","Curriculum Issues: Covered elsewhere",0,15,0,10,0,"Undergraduate_degree"
"79","8_post_graduate_degree","Curriculum Issues: Covered elsewhere",2,15,13.3333333333333,148,0.0135135135135135,"PostDgraduate_certificate"
"80","9_graduate.course_or_degree","Curriculum Issues: Covered elsewhere",0,15,0,55,0,"Graduate_course_or_degree"
"81","1_no_training_experience","Curriculum Issues: Class size",1,8,12.5,103,0.00970873786407767,"No_Training"
"82","2_No_formal_training_self_taught","Curriculum Issues: Class size",3,8,37.5,469,0.00639658848614072,"SelfDtaught"
"83","3_short_workshop","Curriculum Issues: Class size",3,8,37.5,231,0.012987012987013,"Short_workshops"
"84","4_some_undergraduate_courses","Curriculum Issues: Class size",0,8,0,31,0,"Some_undergraduate_coursework"
"85","6_undergraduate_certificate","Curriculum Issues: Class size",0,8,0,5,0,"Undergraduate_certificate"
"86","7_undergraduate_degree","Curriculum Issues: Class size",0,8,0,10,0,"Undergraduate_degree"
"87","8_post_graduate_degree","Curriculum Issues: Class size",1,8,12.5,148,0.00675675675675676,"PostDgraduate_certificate"
"88","9_graduate.course_or_degree","Curriculum Issues: Class size",0,8,0,55,0,"Graduate_course_or_degree"
"89","1_no_training_experience","Curriculum Issues: Plan for future coverage",0,9,0,103,0,"No_Training"
"90","2_No_formal_training_self_taught","Curriculum Issues: Plan for future coverage",3,9,33.3333333333333,469,0.00639658848614072,"SelfDtaught"
"91","3_short_workshop","Curriculum Issues: Plan for future coverage",1,9,11.1111111111111,231,0.00432900432900433,"Short_workshops"
"92","4_some_undergraduate_courses","Curriculum Issues: Plan for future coverage",0,9,0,31,0,"Some_undergraduate_coursework"
"93","6_undergraduate_certificate","Curriculum Issues: Plan for future coverage",0,9,0,5,0,"Undergraduate_certificate"
"94","7_undergraduate_degree","Curriculum Issues: Plan for future coverage",0,9,0,10,0,"Undergraduate_degree"
"95","8_post_graduate_degree","Curriculum Issues: Plan for future coverage",1,9,11.1111111111111,148,0.00675675675675676,"PostDgraduate_certificate"
"96","9_graduate.course_or_degree","Curriculum Issues: Plan for future coverage",4,9,44.4444444444444,55,0.0727272727272727,"Graduate_course_or_degree"
"97","1_no_training_experience","Curriculum Issues: Too much content",0,5,0,103,0,"No_Training"
