Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
No Training,Faculty Issues: Expertise/training,44.0,175.0,25.142857142857146,79.0,0.5569620253164557,No_Training,44.0,35.0,1.1095011140958159e-6,0.10953875853202744,0.6179709541191039,0.4959530965138075
Self Taught,Faculty Issues: Expertise/training,75.0,175.0,42.857142857142854,225.0,0.3333333333333333,SelfDTaught,75.0,150.0,1.1095011140958159e-6,0.06159572552665234,0.3538652418422174,0.3128014248244492
Workshops and Bootcamps,Faculty Issues: Expertise/training,37.0,175.0,21.142857142857142,94.0,0.39361702127659576,Workshops_and_Bootcamps,37.0,57.0,1.1095011140958159e-6,0.09876307436551693,0.43249184842046945,0.35474219413272207
Formal Training,Faculty Issues: Expertise/training,19.0,175.0,10.857142857142858,108.0,0.17592592592592593,Formal_Training,19.0,89.0,1.1095011140958159e-6,0.07180989002032638,0.18855914731839077,0.1632927045334611
No Training,Faculty Issues: Time,15.0,135.0,11.11111111111111,79.0,0.189873417721519,No_Training,15.0,64.0,0.24110196989774924,0.08648545420792356,0.20629470649517537,0.17345212894786263
Self Taught,Faculty Issues: Time,66.0,135.0,48.888888888888886,225.0,0.29333333333333333,SelfDTaught,66.0,159.0,0.24110196989774924,0.05949011983903457,0.31078376848611683,0.27588289818054984
Workshops and Bootcamps,Faculty Issues: Time,22.0,135.0,16.296296296296298,94.0,0.23404255319148937,Workshops_and_Bootcamps,22.0,72.0,0.24110196989774924,0.08559214283321945,0.25407475683330666,0.21401034954967205
Formal Training,Faculty Issues: Time,32.0,135.0,23.703703703703706,108.0,0.2962962962962963,Formal_Training,32.0,76.0,0.24110196989774924,0.08611806104566766,0.321812758828346,0.2707798337642466
No Training,Curriculum Issues: No space,9.0,102.0,8.823529411764707,79.0,0.11392405063291139,No_Training,9.0,70.0,0.16203331762179643,0.07006122536319745,0.12190570921859212,0.10594239204723066
Self Taught,Curriculum Issues: No space,52.0,102.0,50.98039215686274,225.0,0.2311111111111111,SelfDTaught,52.0,173.0,0.16203331762179643,0.05508064753494912,0.24384086076363268,0.21838136145858952
Workshops and Bootcamps,Curriculum Issues: No space,18.0,102.0,17.647058823529413,94.0,0.19148936170212766,Workshops_and_Bootcamps,18.0,76.0,0.16203331762179643,0.0795425224703636,0.20672090855815473,0.1762578148461006
Formal Training,Curriculum Issues: No space,23.0,102.0,22.54901960784314,108.0,0.21296296296296297,Formal_Training,23.0,85.0,0.16203331762179643,0.0772121843036305,0.2294062985091065,0.19651962741681944
No Training,Curriculum Issues: Incompatible with current curriculum,8.0,52.0,15.384615384615385,79.0,0.10126582278481013,No_Training,8.0,71.0,0.890105260722207,0.06652450044019559,0.10800248105723499,0.09452916451238526
Self Taught,Curriculum Issues: Incompatible with current curriculum,25.0,52.0,48.07692307692308,225.0,0.1111111111111111,SelfDTaught,25.0,200.0,0.890105260722207,0.04106381701776822,0.11567375744641868,0.10654846477580353
Workshops and Bootcamps,Curriculum Issues: Incompatible with current curriculum,10.0,52.0,19.230769230769234,94.0,0.10638297872340426,Workshops_and_Bootcamps,10.0,84.0,0.890105260722207,0.06232983161660408,0.11301381187410682,0.09975214557270169
Formal Training,Curriculum Issues: Incompatible with current curriculum,9.0,52.0,17.307692307692307,108.0,0.08333333333333333,Formal_Training,9.0,99.0,0.890105260722207,0.05212562913957699,0.08767713576163141,0.07898953090503524
