"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","No Training","Faculty Issues: Expertise/training",44,175,25.1428571428571,79,0.556962025316456,"No_Training"
"2","Self Taught","Faculty Issues: Expertise/training",75,175,42.8571428571429,225,0.333333333333333,"SelfDTaught"
"3","Workshops and Bootcamps","Faculty Issues: Expertise/training",37,175,21.1428571428571,94,0.393617021276596,"Workshops_and_Bootcamps"
"4","Formal Training","Faculty Issues: Expertise/training",19,175,10.8571428571429,108,0.175925925925926,"Formal_Training"
"5","No Training","Faculty Issues: Time",15,135,11.1111111111111,79,0.189873417721519,"No_Training"
"6","Self Taught","Faculty Issues: Time",66,135,48.8888888888889,225,0.293333333333333,"SelfDTaught"
"7","Workshops and Bootcamps","Faculty Issues: Time",22,135,16.2962962962963,94,0.234042553191489,"Workshops_and_Bootcamps"
"8","Formal Training","Faculty Issues: Time",32,135,23.7037037037037,108,0.296296296296296,"Formal_Training"
"9","No Training","Faculty Issues: Curriculum design/integration",3,32,9.375,79,0.0379746835443038,"No_Training"
"10","Self Taught","Faculty Issues: Curriculum design/integration",17,32,53.125,225,0.0755555555555556,"SelfDTaught"
"11","Workshops and Bootcamps","Faculty Issues: Curriculum design/integration",6,32,18.75,94,0.0638297872340425,"Workshops_and_Bootcamps"
"12","Formal Training","Faculty Issues: Curriculum design/integration",6,32,18.75,108,0.0555555555555556,"Formal_Training"
"13","No Training","Faculty Issues: Lack of interest",0,9,0,79,0,"No_Training"
"14","Self Taught","Faculty Issues: Lack of interest",4,9,44.4444444444444,225,0.0177777777777778,"SelfDTaught"
"15","Workshops and Bootcamps","Faculty Issues: Lack of interest",4,9,44.4444444444444,94,0.0425531914893617,"Workshops_and_Bootcamps"
"16","Formal Training","Faculty Issues: Lack of interest",1,9,11.1111111111111,108,0.00925925925925926,"Formal_Training"
"17","No Training","Faculty Issues: New Faculty",0,4,0,79,0,"No_Training"
"18","Self Taught","Faculty Issues: New Faculty",0,4,0,225,0,"SelfDTaught"
"19","Workshops and Bootcamps","Faculty Issues: New Faculty",1,4,25,94,0.0106382978723404,"Workshops_and_Bootcamps"
"20","Formal Training","Faculty Issues: New Faculty",3,4,75,108,0.0277777777777778,"Formal_Training"
