"","Formal_Training","No_Training","SelfDTaught","Workshops_and_Bootcamps"
"Faculty Issues: Expertise/training","19","44","75","37"
"Faculty Issues: Time","32","15","66","22"
"Faculty Issues: Curriculum design/integration"," 6"," 3","17"," 6"
"Faculty Issues: Lack of interest","1","0","4","4"
"Faculty Issues: New Faculty","3","0","0","1"
"Curriculum Issues: No space","23"," 9","52","18"
"Curriculum Issues: Incompatible with current curriculum"," 9"," 8","25","10"
"Curriculum Issues: Time needed to develop","11"," 2","15"," 5"
"Curriculum Issues: No control"," 7"," 4","12"," 2"
"Curriculum Issues: Covered elsewhere","2","1","8","4"
"Curriculum Issues: Class size","1","1","3","3"
"Curriculum Issues: Plan for future coverage","5","0","3","1"
"Curriculum Issues: Too much content","2","0","2","1"
"Curriculum Issues: Content requires several courses","0","0","0","1"
"Resource Issues: Access to exercises"," 4"," 1","30"," 4"
"Resource Issues: Access to lesson plans"," 6"," 2","24"," 3"
"Resource Issues: Access to intro content"," 5"," 1","10"," 0"
"Resource Issues: Unable to vet content"," 2"," 0","11"," 4"
"Resource Issues: Funding","6","0","0","4"
"Resource Issues: No appropriate textbook","1","2","5","1"
"Resource Issues: No access to online exercises","1","0","3","1"
"Resource Issues: No qualified TAs","1","0","0","0"
"Student Issues: Background knowledge","12"," 4","26"," 9"
"Student Issues: Interest in topic","5","1","5","2"
"Facilities: Access to equipment","4","1","9","4"
"Institutional: Inertia","0","1","2","0"
"State Restrictions","1","0","1","0"
"Accreditation","0","0","1","0"
