Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Yes,Faculty Issues: Expertise/training,48.0,119.0,40.33613445378151,354.0,0.13559322033898305,MinorityDServing,48.0,306.0,0.13620674645528483,0.03566354660313439,0.14042895547161144,0.13075748520635466
2_No,Faculty Issues: Expertise/training,71.0,119.0,59.66386554621849,399.0,0.17794486215538846,NonDMinorityDServing,71.0,328.0,0.13620674645528483,0.03752795020686364,0.1846227680819231,0.17126695622885382
1_Yes,Faculty Issues: Time,26.0,61.0,42.62295081967213,354.0,0.07344632768361582,MinorityDServing,26.0,328.0,0.5601333518268803,0.027174827366359226,0.07544221895911113,0.07145043640812052
2_No,Faculty Issues: Time,35.0,61.0,57.377049180327866,399.0,0.08771929824561403,NonDMinorityDServing,35.0,364.0,0.5601333518268803,0.02775705982791602,0.09015412805508034,0.08528446843614772
1_Yes,Faculty Issues: Too few faculty,6.0,33.0,18.181818181818183,354.0,0.01694915254237288,MinorityDServing,6.0,348.0,0.0013039388084401852,0.01344647488849704,0.017177058896415204,0.016721246188330558
2_No,Faculty Issues: Too few faculty,27.0,33.0,81.81818181818183,399.0,0.06766917293233082,NonDMinorityDServing,27.0,372.0,0.0013039388084401852,0.024645753445337662,0.06933693068427096,0.06600141518039068
1_Yes,Faculty Issues: Lack of interest,11.0,24.0,45.83333333333333,354.0,0.031073446327683617,MinorityDServing,11.0,343.0,0.9999999999999982,0.018075345218765224,0.03163510959719327,0.030511783058173963
2_No,Faculty Issues: Lack of interest,13.0,24.0,54.166666666666664,399.0,0.03258145363408521,NonDMinorityDServing,13.0,386.0,0.9999999999999982,0.017420237671828608,0.03314903030008464,0.03201387696808578
1_Yes,Curriculum Issues: No space,16.0,36.0,44.44444444444444,354.0,0.04519774011299435,MinorityDServing,16.0,338.0,0.884552219664934,0.02164021341480868,0.046175828854906606,0.044219651371082094
2_No,Curriculum Issues: No space,20.0,36.0,55.55555555555556,399.0,0.05012531328320802,NonDMinorityDServing,20.0,379.0,0.884552219664934,0.021410329463958835,0.051198512755085655,0.04905211381133038
1_Yes,Curriculum Issues: Incompatible with current curriculum,9.0,20.0,45.0,354.0,0.025423728813559324,MinorityDServing,9.0,345.0,0.9999999999999982,0.016397362591467922,0.025840610913342405,0.025006846713776242
2_No,Curriculum Issues: Incompatible with current curriculum,11.0,20.0,55.00000000000001,399.0,0.02756892230576441,NonDMinorityDServing,11.0,388.0,0.9999999999999982,0.01606574808621903,0.028011837666537365,0.027126006944991454
1_Yes,Curriculum Issues: Integration needed at every level,11.0,18.0,61.111111111111114,354.0,0.031073446327683617,MinorityDServing,11.0,343.0,0.33001486645589234,0.018075345218765224,0.03163510959719327,0.030511783058173963
2_No,Curriculum Issues: Integration needed at every level,7.0,18.0,38.88888888888889,399.0,0.017543859649122806,NonDMinorityDServing,7.0,392.0,0.33001486645589234,0.012881926028991837,0.01776985835138582,0.017317860946859793
1_Yes,Curriculum Issues: Bioinformatics curriculum is under development,8.0,18.0,44.44444444444444,354.0,0.022598870056497175,MinorityDServing,8.0,346.0,0.9999999999999983,0.015481970688060356,0.02294874510029515,0.0222489950126992
2_No,Curriculum Issues: Bioinformatics curriculum is under development,10.0,18.0,55.55555555555556,399.0,0.02506265664160401,NonDMinorityDServing,10.0,389.0,0.9999999999999983,0.015337816872273079,0.02544706307950559,0.02467825020370243
