"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Yes","Faculty Issues: Expertise/training",48,119,40.3361344537815,354,0.135593220338983,"MinorityDServing"
"2","2_No","Faculty Issues: Expertise/training",71,119,59.6638655462185,399,0.177944862155388,"NotDMinorityDServing"
"3","1_Yes","Faculty Issues: Time",26,61,42.6229508196721,354,0.0734463276836158,"MinorityDServing"
"4","2_No","Faculty Issues: Time",35,61,57.3770491803279,399,0.087719298245614,"NotDMinorityDServing"
"5","1_Yes","Faculty Issues: Too few faculty",6,33,18.1818181818182,354,0.0169491525423729,"MinorityDServing"
"6","2_No","Faculty Issues: Too few faculty",27,33,81.8181818181818,399,0.0676691729323308,"NotDMinorityDServing"
"7","1_Yes","Faculty Issues: Lack of interest",11,24,45.8333333333333,354,0.0310734463276836,"MinorityDServing"
"8","2_No","Faculty Issues: Lack of interest",13,24,54.1666666666667,399,0.0325814536340852,"NotDMinorityDServing"
"9","1_Yes","Curriculum Issues: No space",16,36,44.4444444444444,354,0.0451977401129944,"MinorityDServing"
"10","2_No","Curriculum Issues: No space",20,36,55.5555555555556,399,0.050125313283208,"NotDMinorityDServing"
"11","1_Yes","Curriculum Issues: Incompatible with current curriculum",9,20,45,354,0.0254237288135593,"MinorityDServing"
"12","2_No","Curriculum Issues: Incompatible with current curriculum",11,20,55,399,0.0275689223057644,"NotDMinorityDServing"
"13","1_Yes","Curriculum Issues: Integration needed at every level",11,18,61.1111111111111,354,0.0310734463276836,"MinorityDServing"
"14","2_No","Curriculum Issues: Integration needed at every level",7,18,38.8888888888889,399,0.0175438596491228,"NotDMinorityDServing"
"15","1_Yes","Curriculum Issues: Bioinformatics curriculum is under development",8,18,44.4444444444444,354,0.0225988700564972,"MinorityDServing"
"16","2_No","Curriculum Issues: Bioinformatics curriculum is under development",10,18,55.5555555555556,399,0.025062656641604,"NotDMinorityDServing"
"17","1_Yes","Curriculum Issues: Not required for life sci/pre-med majors",5,12,41.6666666666667,354,0.0141242937853107,"MinorityDServing"
"18","2_No","Curriculum Issues: Not required for life sci/pre-med majors",7,12,58.3333333333333,399,0.0175438596491228,"NotDMinorityDServing"
"19","1_Yes","Curriculum Issues: Class size",0,1,0,354,0,"MinorityDServing"
"20","2_No","Curriculum Issues: Class size",1,1,100,399,0.0025062656641604,"NotDMinorityDServing"
"21","1_Yes","Curriculum Issues: Too few seats",1,3,33.3333333333333,354,0.00282485875706215,"MinorityDServing"
"22","2_No","Curriculum Issues: Too few seats",2,3,66.6666666666667,399,0.0050125313283208,"NotDMinorityDServing"
"23","1_Yes","Student Issues: Lack of interest",12,28,42.8571428571429,354,0.0338983050847458,"MinorityDServing"
"24","2_No","Student Issues: Lack of interest",16,28,57.1428571428571,399,0.0401002506265664,"NotDMinorityDServing"
"25","1_Yes","Student Issues: Background knowledge",10,21,47.6190476190476,354,0.0282485875706215,"MinorityDServing"
"26","2_No","Student Issues: Background knowledge",11,21,52.3809523809524,399,0.0275689223057644,"NotDMinorityDServing"
"27","1_Yes","Institutional: Institutional inertia",13,20,65,354,0.0367231638418079,"MinorityDServing"
"28","2_No","Institutional: Institutional inertia",7,20,35,399,0.0175438596491228,"NotDMinorityDServing"
"29","1_Yes","Institutional: Inter-departmental cooperation",6,14,42.8571428571429,354,0.0169491525423729,"MinorityDServing"
"30","2_No","Institutional: Inter-departmental cooperation",8,14,57.1428571428571,399,0.0200501253132832,"NotDMinorityDServing"
"31","1_Yes","Institutional: IT support",5,6,83.3333333333333,354,0.0141242937853107,"MinorityDServing"
"32","2_No","Institutional: IT support",1,6,16.6666666666667,399,0.0025062656641604,"NotDMinorityDServing"
"33","1_Yes","Institutional: State regulation",2,2,100,354,0.00564971751412429,"MinorityDServing"
"34","2_No","Institutional: State regulation",0,2,0,399,0,"NotDMinorityDServing"
"35","1_Yes","Resource Issues: Funding",9,19,47.3684210526316,354,0.0254237288135593,"MinorityDServing"
"36","2_No","Resource Issues: Funding",10,19,52.6315789473684,399,0.025062656641604,"NotDMinorityDServing"
"37","1_Yes","Resource Issues: Access to software",5,10,50,354,0.0141242937853107,"MinorityDServing"
"38","2_No","Resource Issues: Access to software",5,10,50,399,0.012531328320802,"NotDMinorityDServing"
"39","1_Yes","Resource Issues: Access to bioinformatics lesson plans/curricula",2,3,66.6666666666667,354,0.00564971751412429,"MinorityDServing"
"40","2_No","Resource Issues: Access to bioinformatics lesson plans/curricula",1,3,33.3333333333333,399,0.0025062656641604,"NotDMinorityDServing"
"41","1_Yes","Facilities: Access to computer(s)/labs",11,18,61.1111111111111,354,0.0310734463276836,"MinorityDServing"
"42","2_No","Facilities: Access to computer(s)/labs",7,18,38.8888888888889,399,0.0175438596491228,"NotDMinorityDServing"
"43","1_Yes","Facilities: Servers",3,3,100,354,0.00847457627118644,"MinorityDServing"
"44","2_No","Facilities: Servers",0,3,0,399,0,"NotDMinorityDServing"
