Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Yes,Faculty Issues: Expertise/training,6.0,21.0,28.57142857142857,354.0,0.01694915254237288,MinorityDServing,6.0,348.0,0.13477859282146532,0.01344647488849704,0.017177058896415204,0.016721246188330558
2_No,Faculty Issues: Expertise/training,15.0,21.0,71.42857142857143,399.0,0.03759398496240601,NonDMinorityDServing,15.0,384.0,0.13477859282146532,0.018663796444286528,0.038295631445273925,0.0368923384795381
1_Yes,Facilities Issues: Access to computer labs,73.0,127.0,57.48031496062992,354.0,0.2062146892655367,MinorityDServing,73.0,281.0,0.012599993362970284,0.04214613830596967,0.21490584208004457,0.19752353645102885
2_No,Facilities Issues: Access to computer labs,54.0,127.0,42.51968503937008,399.0,0.13533834586466165,NonDMinorityDServing,54.0,345.0,0.012599993362970284,0.03356565874957544,0.1398810665976869,0.1307956251316364
1_Yes,Facilities Issues: Inadaquate computers,11.0,20.0,55.00000000000001,354.0,0.031073446327683617,MinorityDServing,11.0,343.0,0.6181962749182421,0.018075345218765224,0.03163510959719327,0.030511783058173963
2_No,Facilities Issues: Inadaquate computers,9.0,20.0,45.0,399.0,0.022556390977443608,NonDMinorityDServing,9.0,390.0,0.6181962749182421,0.014569421429635564,0.022885024543525614,0.022227757411361602
1_Yes,Resource Issues: Access to operating systems,19.0,41.0,46.34146341463415,354.0,0.05367231638418079,MinorityDServing,19.0,335.0,0.9999999999999998,0.023476989297607956,0.054932380781510026,0.05241225198685155
2_No,Resource Issues: Access to operating systems,22.0,41.0,53.65853658536586,399.0,0.05513784461152882,NonDMinorityDServing,22.0,377.0,0.9999999999999998,0.0223960156862264,0.05637271264435333,0.053902976578704305
1_Yes,Resource Issues: Apropriate software,19.0,37.0,51.35135135135135,354.0,0.05367231638418079,MinorityDServing,19.0,335.0,0.7088111112312672,0.023476989297607956,0.054932380781510026,0.05241225198685155
2_No,Resource Issues: Apropriate software,18.0,37.0,48.64864864864865,399.0,0.045112781954887216,NonDMinorityDServing,18.0,381.0,0.7088111112312672,0.020365144121524122,0.046031510261121386,0.044194053648653045
1_Yes,Resource Issues: Access to high-performance computing,27.0,51.0,52.94117647058824,354.0,0.07627118644067797,MinorityDServing,27.0,327.0,0.46333227791346476,0.027650243254788983,0.07838010329909408,0.07416226958226187
2_No,Resource Issues: Access to high-performance computing,24.0,51.0,47.05882352941176,399.0,0.06015037593984962,NonDMinorityDServing,24.0,375.0,0.46333227791346476,0.023329745555358158,0.06155366890558545,0.05874708297411379
1_Yes,Institutional Issues: Access to IT support,53.0,105.0,50.476190476190474,354.0,0.1497175141242938,MinorityDServing,53.0,301.0,0.5084194032794471,0.03716758818986776,0.15528215303407625,0.14415287521451134
2_No,Institutional Issues: Access to IT support,52.0,105.0,49.523809523809526,399.0,0.13032581453634084,NonDMinorityDServing,52.0,347.0,0.5084194032794471,0.03303354303232699,0.13463093793905012,0.12602069113363157
