"","MinorityDServing","NonDMinorityDServing"
"Faculty Issues: Expertise/training"," 6","15"
"Faculty Issues: Time","3","3"
"Faculty Issues: No interest in topic","0","0"
"Faculty Issues: No comp-sci faculty","0","1"
"Facilities Issues: Access to computer labs","73","54"
"Facilities Issues: Inadaquate computers","11"," 9"
"Facilities Issues: Access to servers","7","4"
"Facilities Issues: Access to internet","10"," 3"
"Resource Issues: Access to operating systems","19","22"
"Resource Issues: Apropriate software","19","18"
"Resource Issues: Access to high-performance computing","27","24"
"Resource Issues: Funding"," 4","10"
"Institutional Issues: Access to IT support","53","52"
"Institutional Issues: Subscriptions/licenses","1","1"
"Institutional Issues: No support from comp-sci faculty","1","1"
"Student Issues: Access to software off-campus","6","3"
"Student Issues: Basic computing knowledge","3","2"
"Student Issues: Access to computers Off-campus","7","4"
"Student Issues: No interest in bioinformatics","0","0"
"Curriculum Issues: New program development required","0","2"
"Curriculum Issues: Class size","0","2"
"Curriculum Issues: Access to bioinformatics lesson plans","1","0"
