Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Yes,Faculty Issues: Expertise/training,94.0,219.0,42.922374429223744,354.0,0.2655367231638418,Minority.Serving,94.0,260.0,0.17398179390453186,0.04600380975236211,0.27775242405853684,0.25332102226914677
2_No,Faculty Issues: Expertise/training,125.0,219.0,57.077625570776256,399.0,0.3132832080200501,Non.Minority.Serving,125.0,274.0,0.17398179390453186,0.04551127845315204,0.32754112733494734,0.2990252887051529
1_Yes,Faculty Issues: Time,35.0,70.0,50.0,354.0,0.09887005649717515,Minority.Serving,35.0,319.0,0.6890017550300052,0.03109371128515465,0.10194429348864524,0.09579581950570505
2_No,Faculty Issues: Time,35.0,70.0,50.0,399.0,0.08771929824561403,Non.Minority.Serving,35.0,364.0,0.6890017550300052,0.02775705982791602,0.09015412805508034,0.08528446843614772
1_Yes,Faculty Issues: Differences of opinion,5.0,13.0,38.46153846153847,354.0,0.014124293785310734,Minority.Serving,5.0,349.0,0.7317425749165162,0.012292519718841792,0.014297916945181382,0.013950670625440087
2_No,Faculty Issues: Differences of opinion,8.0,13.0,61.53846153846154,399.0,0.020050125313283207,Non.Minority.Serving,8.0,391.0,0.7317425749165162,0.013753781470223679,0.020325890355292704,0.01977436027127371
1_Yes,Faculities Issues: Access to computer labs,17.0,32.0,53.125,354.0,0.0480225988700565,Minority.Serving,17.0,337.0,0.5981389732387353,0.022273199606071308,0.049092215800291564,0.046952981939821434
2_No,Faculities Issues: Access to computer labs,15.0,32.0,46.875,399.0,0.03759398496240601,Non.Minority.Serving,15.0,384.0,0.5981389732387353,0.018663796444286528,0.038295631445273925,0.0368923384795381
1_Yes,Resource Issues: Access to software,14.0,31.0,45.16129032258064,354.0,0.03954802259887006,Minority.Serving,14.0,340.0,0.9783907394821403,0.020302367010101324,0.0403509410681961,0.03874510412954402
2_No,Resource Issues: Access to software,17.0,31.0,54.83870967741935,399.0,0.042606516290726815,Non.Minority.Serving,17.0,382.0,0.9783907394821403,0.019817318513919793,0.04345086319482866,0.04176216938662497
1_Yes,Resource Issues: Funding,11.0,20.0,55.00000000000001,354.0,0.031073446327683617,Minority.Serving,11.0,343.0,0.6181962749182421,0.018075345218765224,0.03163510959719327,0.030511783058173963
2_No,Resource Issues: Funding,9.0,20.0,45.0,399.0,0.022556390977443608,Non.Minority.Serving,9.0,390.0,0.6181962749182421,0.014569421429635564,0.022885024543525614,0.022227757411361602
1_Yes,Student Issues: Lack of background skills/knowledge,66.0,143.0,46.15384615384615,354.0,0.1864406779661017,Minority.Serving,66.0,288.0,0.8923345787847498,0.04057059804609785,0.1940046877713064,0.178876668160897
2_No,Student Issues: Lack of background skills/knowledge,77.0,143.0,53.84615384615385,399.0,0.19298245614035087,Non.Minority.Serving,77.0,322.0,0.8923345787847498,0.038722380299084334,0.2004551961980689,0.18550971608263284
1_Yes,Student Issues: Lack of interest,31.0,83.0,37.34939759036144,354.0,0.08757062146892655,Minority.Serving,31.0,323.0,0.07956095387353294,0.029445932083794875,0.09014922004123627,0.08499202289661684
