"","MinorityDServing","NonDMinorityDServing"
"Faculty Issues: Expertise/training"," 94","125"
"Faculty Issues: Time","35","35"
"Faculty Issues: Differences of opinion","5","8"
"Faculty Issues: Content development","4","9"
"Faculty Issues: Too few faculty","2","2"
"Faculities Issues: Access to computer labs","17","15"
"Faculities Issues: Inadaquate computers","3","3"
"Resource Issues: Access to software","14","17"
"Resource Issues: Funding","11"," 9"
"Resource Issues: Software/license fees","2","4"
"Student Issues: Lack of background skills/knowledge","66","77"
"Student Issues: Lack of interest","31","52"
"Student Issues: Intimidated by topic","10","12"
"Student Issues: Varying student backrounds"," 6","11"
"Student Issues: Lack of basic computing skills","4","5"
"Student Issues: Career prospects","2","4"
"Curriculum Issues: Lack of integration","29","35"
"Curriculum Issues: Too much content","20","32"
"Curriculum Issues: Quickly changing technologies","14","27"
"Curriculum Issues: Access to bioinformatics lesson plans/curriculum","17","10"
"Curriculum Issues: Difficulty establishing relevance","4","4"
"Curriculum Issues: Influence from professional schools","4","5"
"Institutional Issues: Lack of inter-departmental cooperation","6","5"
"Institutional Issues: Lack of IT support","6","4"
