Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Yes,Faculty Issues: Expertise/training,68.0,127.0,53.54330708661418,210.0,0.3238095238095238,MinorityDServing,68.0,142.0,0.45463831833177776,0.06328747625690918,0.3443026113593801,0.30331643625966753
2_No,Faculty Issues: Expertise/training,59.0,127.0,46.45669291338583,161.0,0.36645962732919257,NotDMinorityDServing,59.0,102.0,0.45463831833177776,0.07442783200234818,0.39373442290769284,0.3391848317506923
1_Yes,Faculty Issues: Time,46.0,91.0,50.54945054945055,210.0,0.21904761904761905,MinorityDServing,46.0,164.0,0.22260610086666444,0.05593968142975063,0.23130107307508824,0.20679416502014986
2_No,Faculty Issues: Time,45.0,91.0,49.45054945054945,161.0,0.2795031055900621,NotDMinorityDServing,45.0,116.0,0.22260610086666444,0.06931776134226483,0.2988776351577759,0.2601285760223483
1_Yes,Faculty Issues: Curriculum design/integration,16.0,27.0,59.25925925925925,210.0,0.0761904761904762,MinorityDServing,16.0,194.0,0.9302755117249365,0.03588227788560915,0.07892436402937975,0.07345658835157265
2_No,Faculty Issues: Curriculum design/integration,11.0,27.0,40.74074074074074,161.0,0.06832298136645963,NotDMinorityDServing,11.0,150.0,0.9302755117249365,0.03897187034928041,0.07098565573814959,0.06566030699476967
1_Yes,Curriculum Issues: No space,39.0,77.0,50.649350649350644,210.0,0.18571428571428572,MinorityDServing,39.0,171.0,0.29137108258820527,0.05259561136098439,0.19548204210989711,0.17594652931867433
2_No,Curriculum Issues: No space,38.0,77.0,49.35064935064935,161.0,0.2360248447204969,NotDMinorityDServing,38.0,123.0,0.29137108258820527,0.06559241648427891,0.25150628463604097,0.2205434048049528
1_Yes,Curriculum Issues: Incompatible with current curriculum,22.0,37.0,59.45945945945946,210.0,0.10476190476190476,MinorityDServing,22.0,188.0,0.8457175061509462,0.04141993508959092,0.10910113605700476,0.10042267346680477
2_No,Curriculum Issues: Incompatible with current curriculum,15.0,37.0,40.54054054054054,161.0,0.09316770186335403,NotDMinorityDServing,15.0,146.0,0.8457175061509462,0.04489844855226916,0.09735078713219898,0.08898461659450908
1_Yes,Curriculum Issues: Time needed to develop,10.0,25.0,40.0,210.0,0.047619047619047616,MinorityDServing,10.0,200.0,0.12711419980702748,0.02880276272567428,0.04899060774884163,0.0462474874892536
2_No,Curriculum Issues: Time needed to develop,15.0,25.0,60.0,161.0,0.09316770186335403,NotDMinorityDServing,15.0,146.0,0.12711419980702748,0.04489844855226916,0.09735078713219898,0.08898461659450908
1_Yes,Curriculum Issues: No control,10.0,15.0,66.66666666666666,210.0,0.047619047619047616,MinorityDServing,10.0,200.0,0.5913775452668298,0.02880276272567428,0.04899060774884163,0.0462474874892536
2_No,Curriculum Issues: No control,5.0,15.0,33.33333333333333,161.0,0.031055900621118012,NotDMinorityDServing,5.0,156.0,0.5913775452668298,0.026795173799347847,0.03188804887575614,0.03022375236647988
1_Yes,Resource Issues: Access to exercises,13.0,31.0,41.935483870967744,210.0,0.06190476190476191,MinorityDServing,13.0,197.0,0.12551317703119982,0.03259297009446401,0.06392242195822873,0.05988710185129509
2_No,Resource Issues: Access to exercises,18.0,31.0,58.06451612903226,161.0,0.11180124223602485,NotDMinorityDServing,18.0,143.0,0.12551317703119982,0.048675850465019606,0.11724326278490903,0.10635922168714067
1_Yes,Resource Issues: Access to lesson plans,8.0,26.0,30.76923076923077,210.0,0.0380952380952381,MinorityDServing,8.0,202.0,0.010739414521244347,0.0258904636040038,0.03908154147062872,0.037108934719847476
2_No,Resource Issues: Access to lesson plans,18.0,26.0,69.23076923076923,161.0,0.11180124223602485,NotDMinorityDServing,18.0,143.0,0.010739414521244347,0.048675850465019606,0.11724326278490903,0.10635922168714067
1_Yes,Resource Issues: Access to intro content,7.0,12.0,58.333333333333336,210.0,0.03333333333333333,MinorityDServing,7.0,203.0,0.9999999999999988,0.02427818340442042,0.03414260611348068,0.032524060553185984
2_No,Resource Issues: Access to intro content,5.0,12.0,41.66666666666667,161.0,0.031055900621118012,NotDMinorityDServing,5.0,156.0,0.9999999999999988,0.026795173799347847,0.03188804887575614,0.03022375236647988
1_Yes,Resource Issues: Unable to vet content,8.0,16.0,50.0,210.0,0.0380952380952381,MinorityDServing,8.0,202.0,0.774097969194545,0.0258904636040038,0.03908154147062872,0.037108934719847476
2_No,Resource Issues: Unable to vet content,8.0,16.0,50.0,161.0,0.049689440993788817,NotDMinorityDServing,8.0,153.0,0.774097969194545,0.0335660305784561,0.05135731828961272,0.04802156369796491
1_Yes,Student Issues: Background knowledge,24.0,39.0,61.53846153846154,210.0,0.11428571428571428,MinorityDServing,24.0,186.0,0.6265927179768367,0.043030980489520455,0.11920354062737376,0.1093678879440548
2_No,Student Issues: Background knowledge,15.0,39.0,38.46153846153847,161.0,0.09316770186335403,NotDMinorityDServing,15.0,146.0,0.6265927179768367,0.04489844855226916,0.09735078713219898,0.08898461659450908
