"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Yes","Faculty Issues: Expertise/training",68,127,53.5433070866142,210,0.323809523809524,"MinorityDServing"
"2","2_No","Faculty Issues: Expertise/training",59,127,46.4566929133858,161,0.366459627329193,"NonDMinorityDServing"
"3","1_Yes","Faculty Issues: Time",46,91,50.5494505494505,210,0.219047619047619,"MinorityDServing"
"4","2_No","Faculty Issues: Time",45,91,49.4505494505495,161,0.279503105590062,"NonDMinorityDServing"
"5","1_Yes","Faculty Issues: Curriculum design/integration",16,27,59.2592592592593,210,0.0761904761904762,"MinorityDServing"
"6","2_No","Faculty Issues: Curriculum design/integration",11,27,40.7407407407407,161,0.0683229813664596,"NonDMinorityDServing"
"7","1_Yes","Faculty Issues: Lack of interest",3,5,60,210,0.0142857142857143,"MinorityDServing"
"8","2_No","Faculty Issues: Lack of interest",2,5,40,161,0.0124223602484472,"NonDMinorityDServing"
"9","1_Yes","Faculty Issues: New Faculty",3,4,75,210,0.0142857142857143,"MinorityDServing"
"10","2_No","Faculty Issues: New Faculty",1,4,25,161,0.0062111801242236,"NonDMinorityDServing"
"11","1_Yes","Curriculum Issues: No space",39,77,50.6493506493506,210,0.185714285714286,"MinorityDServing"
"12","2_No","Curriculum Issues: No space",38,77,49.3506493506493,161,0.236024844720497,"NonDMinorityDServing"
"13","1_Yes","Curriculum Issues: Incompatible with current curriculum",22,37,59.4594594594595,210,0.104761904761905,"MinorityDServing"
"14","2_No","Curriculum Issues: Incompatible with current curriculum",15,37,40.5405405405405,161,0.093167701863354,"NonDMinorityDServing"
"15","1_Yes","Curriculum Issues: Time needed to develop",10,25,40,210,0.0476190476190476,"MinorityDServing"
"16","2_No","Curriculum Issues: Time needed to develop",15,25,60,161,0.093167701863354,"NonDMinorityDServing"
"17","1_Yes","Curriculum Issues: No control",10,15,66.6666666666667,210,0.0476190476190476,"MinorityDServing"
"18","2_No","Curriculum Issues: No control",5,15,33.3333333333333,161,0.031055900621118,"NonDMinorityDServing"
"19","1_Yes","Curriculum Issues: Covered elsewhere",2,10,20,210,0.00952380952380952,"MinorityDServing"
"20","2_No","Curriculum Issues: Covered elsewhere",8,10,80,161,0.0496894409937888,"NonDMinorityDServing"
"21","1_Yes","Curriculum Issues: Class size",3,5,60,210,0.0142857142857143,"MinorityDServing"
"22","2_No","Curriculum Issues: Class size",2,5,40,161,0.0124223602484472,"NonDMinorityDServing"
"23","1_Yes","Curriculum Issues: Plan for future coverage",5,9,55.5555555555556,210,0.0238095238095238,"MinorityDServing"
"24","2_No","Curriculum Issues: Plan for future coverage",4,9,44.4444444444444,161,0.0248447204968944,"NonDMinorityDServing"
"25","1_Yes","Curriculum Issues: Too much content",1,3,33.3333333333333,210,0.00476190476190476,"MinorityDServing"
"26","2_No","Curriculum Issues: Too much content",2,3,66.6666666666667,161,0.0124223602484472,"NonDMinorityDServing"
"27","1_Yes","Curriculum Issues: Content requires several courses",1,1,100,210,0.00476190476190476,"MinorityDServing"
"28","2_No","Curriculum Issues: Content requires several courses",0,1,0,161,0,"NonDMinorityDServing"
"29","1_Yes","Resource Issues: Access to exercises",13,31,41.9354838709677,210,0.0619047619047619,"MinorityDServing"
"30","2_No","Resource Issues: Access to exercises",18,31,58.0645161290323,161,0.111801242236025,"NonDMinorityDServing"
"31","1_Yes","Resource Issues: Access to lesson plans",8,26,30.7692307692308,210,0.0380952380952381,"MinorityDServing"
"32","2_No","Resource Issues: Access to lesson plans",18,26,69.2307692307692,161,0.111801242236025,"NonDMinorityDServing"
"33","1_Yes","Resource Issues: Access to intro content",7,12,58.3333333333333,210,0.0333333333333333,"MinorityDServing"
"34","2_No","Resource Issues: Access to intro content",5,12,41.6666666666667,161,0.031055900621118,"NonDMinorityDServing"
"35","1_Yes","Resource Issues: Unable to vet content",8,16,50,210,0.0380952380952381,"MinorityDServing"
"36","2_No","Resource Issues: Unable to vet content",8,16,50,161,0.0496894409937888,"NonDMinorityDServing"
"37","1_Yes","Resource Issues: Funding",7,8,87.5,210,0.0333333333333333,"MinorityDServing"
"38","2_No","Resource Issues: Funding",1,8,12.5,161,0.0062111801242236,"NonDMinorityDServing"
"39","1_Yes","Resource Issues: No appropriate textbook",6,9,66.6666666666667,210,0.0285714285714286,"MinorityDServing"
"40","2_No","Resource Issues: No appropriate textbook",3,9,33.3333333333333,161,0.0186335403726708,"NonDMinorityDServing"
"41","1_Yes","Resource Issues: No access to online exercises",1,3,33.3333333333333,210,0.00476190476190476,"MinorityDServing"
"42","2_No","Resource Issues: No access to online exercises",2,3,66.6666666666667,161,0.0124223602484472,"NonDMinorityDServing"
"43","1_Yes","Resource Issues: No qualified TAs",0,0,NA,210,0,"MinorityDServing"
"44","2_No","Resource Issues: No qualified TAs",0,0,NA,161,0,"NonDMinorityDServing"
"45","1_Yes","Student Issues: Background knowledge",24,39,61.5384615384615,210,0.114285714285714,"MinorityDServing"
"46","2_No","Student Issues: Background knowledge",15,39,38.4615384615385,161,0.093167701863354,"NonDMinorityDServing"
"47","1_Yes","Student Issues: Interest in topic",7,11,63.6363636363636,210,0.0333333333333333,"MinorityDServing"
"48","2_No","Student Issues: Interest in topic",4,11,36.3636363636364,161,0.0248447204968944,"NonDMinorityDServing"
"49","1_Yes","Facilities: Access to equipment",11,13,84.6153846153846,210,0.0523809523809524,"MinorityDServing"
"50","2_No","Facilities: Access to equipment",2,13,15.3846153846154,161,0.0124223602484472,"NonDMinorityDServing"
"51","1_Yes","Institutional: Inertia",1,3,33.3333333333333,210,0.00476190476190476,"MinorityDServing"
"52","2_No","Institutional: Inertia",2,3,66.6666666666667,161,0.0124223602484472,"NonDMinorityDServing"
"53","1_Yes","State Restrictions",1,1,100,210,0.00476190476190476,"MinorityDServing"
"54","2_No","State Restrictions",0,1,0,161,0,"NonDMinorityDServing"
"55","1_Yes","Accreditation",0,0,NA,210,0,"MinorityDServing"
