"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Female","Faculty Issues: Expertise/training",82,140,58.5714285714286,497,0.164989939637827,"Female"
"2","2_Male","Faculty Issues: Expertise/training",58,140,41.4285714285714,516,0.112403100775194,"Male"
"3","1_Female","Faculty Issues: Time",38,70,54.2857142857143,497,0.0764587525150905,"Female"
"4","2_Male","Faculty Issues: Time",32,70,45.7142857142857,516,0.062015503875969,"Male"
"5","1_Female","Faculty Issues: Too few faculty",21,43,48.8372093023256,497,0.0422535211267606,"Female"
"6","2_Male","Faculty Issues: Too few faculty",22,43,51.1627906976744,516,0.0426356589147287,"Male"
"7","1_Female","Faculty Issues: Lack of interest",20,29,68.9655172413793,497,0.0402414486921529,"Female"
"8","2_Male","Faculty Issues: Lack of interest",9,29,31.0344827586207,516,0.0174418604651163,"Male"
"9","1_Female","Curriculum Issues: No space",23,47,48.936170212766,497,0.0462776659959759,"Female"
"10","2_Male","Curriculum Issues: No space",24,47,51.063829787234,516,0.0465116279069767,"Male"
"11","1_Female","Curriculum Issues: Incompatible with current curriculum",12,25,48,497,0.0241448692152917,"Female"
"12","2_Male","Curriculum Issues: Incompatible with current curriculum",13,25,52,516,0.0251937984496124,"Male"
"13","1_Female","Curriculum Issues: Integration needed at every level",12,20,60,497,0.0241448692152917,"Female"
"14","2_Male","Curriculum Issues: Integration needed at every level",8,20,40,516,0.0155038759689922,"Male"
"15","1_Female","Curriculum Issues: Bioinformatics curriculum is under development",13,18,72.2222222222222,497,0.0261569416498994,"Female"
"16","2_Male","Curriculum Issues: Bioinformatics curriculum is under development",5,18,27.7777777777778,516,0.00968992248062015,"Male"
"17","1_Female","Curriculum Issues: Not required for life sci/pre-med majors",5,11,45.4545454545455,497,0.0100603621730382,"Female"
"18","2_Male","Curriculum Issues: Not required for life sci/pre-med majors",6,11,54.5454545454545,516,0.0116279069767442,"Male"
"19","1_Female","Curriculum Issues: Class size",2,4,50,497,0.00402414486921529,"Female"
"20","2_Male","Curriculum Issues: Class size",2,4,50,516,0.00387596899224806,"Male"
"21","1_Female","Curriculum Issues: Too few seats",2,3,66.6666666666667,497,0.00402414486921529,"Female"
"22","2_Male","Curriculum Issues: Too few seats",1,3,33.3333333333333,516,0.00193798449612403,"Male"
"23","1_Female","Student Issues: Lack of interest",23,37,62.1621621621622,497,0.0462776659959759,"Female"
"24","2_Male","Student Issues: Lack of interest",14,37,37.8378378378378,516,0.0271317829457364,"Male"
"25","1_Female","Student Issues: Background knowledge",15,28,53.5714285714286,497,0.0301810865191147,"Female"
"26","2_Male","Student Issues: Background knowledge",13,28,46.4285714285714,516,0.0251937984496124,"Male"
"27","1_Female","Institutional: Institutional inertia",8,24,33.3333333333333,497,0.0160965794768612,"Female"
"28","2_Male","Institutional: Institutional inertia",16,24,66.6666666666667,516,0.0310077519379845,"Male"
"29","1_Female","Institutional: Inter-departmental cooperation",8,13,61.5384615384615,497,0.0160965794768612,"Female"
"30","2_Male","Institutional: Inter-departmental cooperation",5,13,38.4615384615385,516,0.00968992248062015,"Male"
"31","1_Female","Institutional: IT support",3,7,42.8571428571429,497,0.00603621730382294,"Female"
"32","2_Male","Institutional: IT support",4,7,57.1428571428571,516,0.00775193798449612,"Male"
"33","1_Female","Institutional: State regulation",2,2,100,497,0.00402414486921529,"Female"
"34","2_Male","Institutional: State regulation",0,2,0,516,0,"Male"
"35","1_Female","Resource Issues: Funding",15,24,62.5,497,0.0301810865191147,"Female"
"36","2_Male","Resource Issues: Funding",9,24,37.5,516,0.0174418604651163,"Male"
"37","1_Female","Resource Issues: Access to software",3,9,33.3333333333333,497,0.00603621730382294,"Female"
"38","2_Male","Resource Issues: Access to software",6,9,66.6666666666667,516,0.0116279069767442,"Male"
"39","1_Female","Resource Issues: Access to bioinformatics lesson plans/curricula",2,4,50,497,0.00402414486921529,"Female"
"40","2_Male","Resource Issues: Access to bioinformatics lesson plans/curricula",2,4,50,516,0.00387596899224806,"Male"
"41","1_Female","Facilities: Access to computer(s)/labs",11,18,61.1111111111111,497,0.0221327967806841,"Female"
"42","2_Male","Facilities: Access to computer(s)/labs",7,18,38.8888888888889,516,0.0135658914728682,"Male"
"43","1_Female","Facilities: Servers",1,3,33.3333333333333,497,0.00201207243460765,"Female"
"44","2_Male","Facilities: Servers",2,3,66.6666666666667,516,0.00387596899224806,"Male"
