Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
"1_'< 5,000' students",Faculty Issues: Expertise/training,74.0,144.0,51.388888888888886,382.0,0.193717277486911,Less.than.5000,74.0,308.0,2.2298647392202388e-4,0.039631842631670314,0.20139465014330787,0.18603990483051414
"2_'5,000 - 15,000' students",Faculty Issues: Expertise/training,47.0,144.0,32.63888888888889,333.0,0.14114114114114115,X5000.15000,47.0,286.0,2.2298647392202388e-4,0.03739501280673249,0.14641911592167095,0.13586316636061135
"3_'> 15,000' students",Faculty Issues: Expertise/training,23.0,144.0,15.972222222222221,284.0,0.08098591549295775,More.than.15000,23.0,261.0,2.2298647392202388e-4,0.03172888076334809,0.08355550794914439,0.07841632303677111
"1_'< 5,000' students",Faculty Issues: Time,34.0,72.0,47.22222222222222,382.0,0.08900523560209424,Less.than.5000,34.0,348.0,0.2382725043425018,0.028554997543975946,0.09154677988611304,0.08646369131807544
"2_'5,000 - 15,000' students",Faculty Issues: Time,22.0,72.0,30.555555555555557,333.0,0.06606606606606606,X5000.15000,22.0,311.0,0.2382725043425018,0.02667922905443329,0.06782865777536796,0.06430347435676416
"3_'> 15,000' students",Faculty Issues: Time,16.0,72.0,22.22222222222222,284.0,0.056338028169014086,More.than.15000,16.0,268.0,0.2382725043425018,0.02681624527781972,0.05784880255086308,0.05482725378716509
"1_'< 5,000' students",Faculty Issues: Too few faculty,27.0,43.0,62.7906976744186,382.0,0.07068062827225131,Less.than.5000,27.0,355.0,0.0020753332568868676,0.02570094577097453,0.07249718726653485,0.06886406927796777
"2_'5,000 - 15,000' students",Faculty Issues: Too few faculty,11.0,43.0,25.581395348837212,333.0,0.03303303303303303,X5000.15000,11.0,322.0,0.0020753332568868676,0.019195791283521835,0.03366712824059682,0.032398937825469244
"3_'> 15,000' students",Faculty Issues: Too few faculty,5.0,43.0,11.627906976744185,284.0,0.017605633802816902,More.than.15000,5.0,279.0,0.0020753332568868676,0.015295288911576254,0.017874917058302398,0.017336350547331406
"1_'< 5,000' students",Faculty Issues: Lack of interest,13.0,31.0,41.935483870967744,382.0,0.034031413612565446,Less.than.5000,13.0,369.0,0.9035562655083874,0.018181843107518407,0.03465016743559618,0.03341265978953471
"2_'5,000 - 15,000' students",Faculty Issues: Lack of interest,10.0,31.0,32.25806451612903,333.0,0.03003003003003003,X5000.15000,10.0,323.0,0.9035562655083874,0.01833086681149868,0.030580506510855816,0.029479553549204243
"3_'> 15,000' students",Faculty Issues: Lack of interest,8.0,31.0,25.806451612903224,284.0,0.028169014084507043,More.than.15000,8.0,276.0,0.9035562655083874,0.01924288194531399,0.0287110670970511,0.027626961071962986
"1_'< 5,000' students",Curriculum Issues: No space,17.0,48.0,35.41666666666667,382.0,0.04450261780104712,Less.than.5000,17.0,365.0,0.9137932122774673,0.02067873365948186,0.045422875581704686,0.04358236002038955
"2_'5,000 - 15,000' students",Curriculum Issues: No space,17.0,48.0,35.41666666666667,333.0,0.05105105105105105,X5000.15000,17.0,316.0,0.9137932122774673,0.023640123593412513,0.05225790420747151,0.04984419789463059
"3_'> 15,000' students",Curriculum Issues: No space,14.0,48.0,29.166666666666668,284.0,0.04929577464788732,More.than.15000,14.0,270.0,0.9137932122774673,0.02517772471889961,0.05053693009177674,0.0480546192039979
"1_'< 5,000' students",Curriculum Issues: Incompatible with current curriculum,5.0,26.0,19.230769230769234,382.0,0.013089005235602094,Less.than.5000,5.0,377.0,0.12793792881771357,0.011397476985584925,0.013238186871539069,0.01293982359966512
"2_'5,000 - 15,000' students",Curriculum Issues: Incompatible with current curriculum,11.0,26.0,42.30769230769231,333.0,0.03303303303303303,X5000.15000,11.0,322.0,0.12793792881771357,0.019195791283521835,0.03366712824059682,0.032398937825469244
"3_'> 15,000' students",Curriculum Issues: Incompatible with current curriculum,10.0,26.0,38.46153846153847,284.0,0.035211267605633804,More.than.15000,10.0,274.0,0.12793792881771357,0.021436104342936007,0.03596606001207521,0.0344564751991924
"1_'< 5,000' students",Curriculum Issues: Integration needed at every level,8.0,22.0,36.36363636363637,382.0,0.020942408376963352,Less.than.5000,8.0,374.0,0.9384319556888405,0.01435931891903019,0.02124312709778074,0.020641689656145965
