"","Less.than.5000","X5000.15000","More.than.15000"
"Faculty Issues: Expertise/training","74","47","23"
"Faculty Issues: Time","34","22","16"
"Faculty Issues: Too few faculty","27","11"," 5"
"Faculty Issues: Lack of interest","13","10"," 8"
"Curriculum Issues: No space","17","17","14"
"Curriculum Issues: Incompatible with current curriculum"," 5","11","10"
"Curriculum Issues: Integration needed at every level","8","7","7"
"Curriculum Issues: Bioinformatics curriculum is under development"," 6","11"," 1"
"Curriculum Issues: Not required for life sci/pre-med majors","4","4","4"
"Curriculum Issues: Class size","0","2","2"
"Curriculum Issues: Too few seats","1","0","2"
"Student Issues: Lack of interest","20","10"," 8"
"Student Issues: Background knowledge","12","11"," 7"
"Institutional: Institutional inertia"," 7"," 7","10"
"Institutional: Inter-departmental cooperation","6","7","2"
"Institutional: IT support","6","1","0"
"Institutional: State regulation","0","0","2"
"Resource Issues: Funding","14"," 9"," 2"
"Resource Issues: Access to software","7","0","3"
"Resource Issues: Access to bioinformatics lesson plans/curricula","3","1","0"
"Facilities: Access to computer(s)/labs","9","5","5"
"Facilities: Servers","2","1","0"
