Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
"1_'< 5,000' students",Facilities Issues: Access to computer labs,63.0,161.0,39.130434782608695,382.0,0.1649214659685864,Less_than_5X000,63.0,319.0,0.6442494117424258,0.03721505480610648,0.17105902736331077,0.15878390457386202
"2_'5,000 - 15,000' students",Facilities Issues: Access to computer labs,57.0,161.0,35.40372670807454,333.0,0.17117117117117117,K5X000D15X000,57.0,276.0,0.6442494117424258,0.040455140110732396,0.17809592488381906,0.16424641745852328
"3_'> 15,000' students",Facilities Issues: Access to computer labs,41.0,161.0,25.465838509316768,284.0,0.1443661971830986,More_than_15X000,41.0,243.0,0.6442494117424258,0.04087574169931128,0.15026727256926678,0.1384651217969304
"1_'< 5,000' students",Facilities Issues: Inadaquate computers,10.0,26.0,38.46153846153847,382.0,0.02617801047120419,Less_than_5X000,10.0,372.0,0.9827553759997089,0.016011223379423182,0.02659715244448752,0.025758868497920858
"2_'5,000 - 15,000' students",Facilities Issues: Inadaquate computers,9.0,26.0,34.61538461538461,333.0,0.02702702702702703,K5X000D15X000,9.0,324.0,0.9827553759997089,0.017417086173695015,0.027497759085775543,0.026556294968278514
"3_'> 15,000' students",Facilities Issues: Inadaquate computers,7.0,26.0,26.923076923076923,284.0,0.02464788732394366,More_than_15X000,7.0,277.0,0.9827553759997089,0.018032647178347405,0.025092353979748,0.02420342066813932
"1_'< 5,000' students",Resource Issues: Access to operating systems,24.0,52.0,46.15384615384615,382.0,0.06282722513089005,Less_than_5X000,24.0,358.0,0.27827632696067195,0.024333253515391957,0.0643560159276686,0.061298434334111494
"2_'5,000 - 15,000' students",Resource Issues: Access to operating systems,18.0,52.0,34.61538461538461,333.0,0.05405405405405406,K5X000D15X000,18.0,315.0,0.27827632696067195,0.024286966300383253,0.055366863043263964,0.05274124506484415
"3_'> 15,000' students",Resource Issues: Access to operating systems,10.0,52.0,19.230769230769234,284.0,0.035211267605633804,More_than_15X000,10.0,274.0,0.27827632696067195,0.021436104342936007,0.03596606001207521,0.0344564751991924
"1_'< 5,000' students",Resource Issues: Apropriate software,19.0,44.0,43.18181818181818,382.0,0.049738219895287955,Less_than_5X000,19.0,363.0,0.16330596554643304,0.02180133857922796,0.05082257966755322,0.04865386012302269
"2_'5,000 - 15,000' students",Resource Issues: Apropriate software,18.0,44.0,40.909090909090914,333.0,0.05405405405405406,K5X000D15X000,18.0,315.0,0.16330596554643304,0.024286966300383253,0.055366863043263964,0.05274124506484415
"3_'> 15,000' students",Resource Issues: Apropriate software,7.0,44.0,15.909090909090908,284.0,0.02464788732394366,More_than_15X000,7.0,277.0,0.16330596554643304,0.018032647178347405,0.025092353979748,0.02420342066813932
"1_'< 5,000' students",Resource Issues: Access to high-performance computing,32.0,65.0,49.23076923076923,382.0,0.08376963350785341,Less_than_5X000,32.0,350.0,0.13058809269834495,0.02778190730766758,0.08609691370116587,0.08144235331454094
"2_'5,000 - 15,000' students",Resource Issues: Access to high-performance computing,20.0,65.0,30.76923076923077,333.0,0.06006006006006006,K5X000D15X000,20.0,313.0,0.13058809269834495,0.025519308810901357,0.061592751279934015,0.058527368840186104
"3_'> 15,000' students",Resource Issues: Access to high-performance computing,13.0,65.0,20.0,284.0,0.045774647887323945,More_than_15X000,13.0,271.0,0.13058809269834495,0.024306750466658075,0.04688728083122026,0.04466201494342763
"1_'< 5,000' students",Institutional Issues: Access to IT support,67.0,124.0,54.03225806451613,382.0,0.17539267015706805,Less_than_5X000,67.0,315.0,2.4398165248203026e-5,0.03813692958079049,0.18208160806783497,0.16870373224630114
"2_'5,000 - 15,000' students",Institutional Issues: Access to IT support,41.0,124.0,33.064516129032256,333.0,0.12312312312312312,K5X000D15X000,41.0,292.0,2.4398165248203026e-5,0.03529109184183153,0.1274682725691144,0.11877797367713186
"3_'> 15,000' students",Institutional Issues: Access to IT support,16.0,124.0,12.903225806451612,284.0,0.056338028169014086,More_than_15X000,16.0,268.0,2.4398165248203026e-5,0.02681624527781972,0.05784880255086308,0.05482725378716509
