Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
"1_'< 5,000' students",Faculty Issues: Expertise/training,123.0,284.0,43.309859154929576,382.0,0.3219895287958115,Less_than_5X000,123.0,259.0,0.051271109844799434,0.04685495060883037,0.33707633226409983,0.30690272532752316
"2_'5,000 - 15,000' students",Faculty Issues: Expertise/training,94.0,284.0,33.098591549295776,333.0,0.2822822822822823,K5X000D15X000,94.0,239.0,0.051271109844799434,0.04834422672866586,0.2959290009384222,0.2686355636261424
"3_'> 15,000' students",Faculty Issues: Expertise/training,67.0,284.0,23.591549295774648,284.0,0.23591549295774647,More_than_15X000,67.0,217.0,0.051271109844799434,0.049378495025612,0.24756464495322536,0.22426634096226758
"1_'< 5,000' students",Faculty Issues: Time,41.0,88.0,46.590909090909086,382.0,0.10732984293193717,Less_than_5X000,41.0,341.0,0.23910894604757837,0.031040032299933545,0.1106613647232913,0.10399832114058305
"2_'5,000 - 15,000' students",Faculty Issues: Time,25.0,88.0,28.40909090909091,333.0,0.07507507507507508,K5X000D15X000,25.0,308.0,0.23910894604757837,0.028302650167835827,0.07719989866124893,0.07295025148890122
"3_'> 15,000' students",Faculty Issues: Time,22.0,88.0,25.0,284.0,0.07746478873239436,More_than_15X000,22.0,262.0,0.23910894604757837,0.031090847962347228,0.07987323470130858,0.07505634276348014
"1_'< 5,000' students",Faculities Issues: Access to computer labs,14.0,43.0,32.55813953488372,382.0,0.03664921465968586,Less_than_5X000,14.0,368.0,0.42158944888829064,0.01884260629212008,0.03733978138243372,0.035958647936938
"2_'5,000 - 15,000' students",Faculities Issues: Access to computer labs,13.0,43.0,30.23255813953488,333.0,0.03903903903903904,K5X000D15X000,13.0,320.0,0.42158944888829064,0.02080311673431943,0.03985117272536382,0.03822690535271426
"3_'> 15,000' students",Faculities Issues: Access to computer labs,16.0,43.0,37.2093023255814,284.0,0.056338028169014086,More_than_15X000,16.0,268.0,0.42158944888829064,0.02681624527781972,0.05784880255086308,0.05482725378716509
"1_'< 5,000' students",Resource Issues: Access to software,22.0,49.0,44.89795918367347,382.0,0.05759162303664921,Less_than_5X000,22.0,360.0,0.5344967766480974,0.023362302203019825,0.05893709593839381,0.05624615013490462
"2_'5,000 - 15,000' students",Resource Issues: Access to software,16.0,49.0,32.6530612244898,333.0,0.04804804804804805,K5X000D15X000,16.0,317.0,0.5344967766480974,0.022970548374131806,0.049151738060018345,0.04694435803607775
"3_'> 15,000' students",Resource Issues: Access to software,11.0,49.0,22.448979591836736,284.0,0.03873239436619718,More_than_15X000,11.0,273.0,0.5344967766480974,0.02244131217060754,0.03960160011928409,0.03786318861311027
"1_'< 5,000' students",Student Issues: Lack of background skills/knowledge,66.0,196.0,33.6734693877551,382.0,0.17277486910994763,Less_than_5X000,66.0,316.0,0.11803820999340886,0.037911289424036904,0.17932498717797496,0.1662247510419203
"2_'5,000 - 15,000' students",Student Issues: Lack of background skills/knowledge,63.0,196.0,32.142857142857146,333.0,0.1891891891891892,K5X000D15X000,63.0,270.0,0.11803820999340886,0.04206625959397692,0.19714767073399564,0.18123070764438276
"3_'> 15,000' students",Student Issues: Lack of background skills/knowledge,67.0,196.0,34.183673469387756,284.0,0.23591549295774647,More_than_15X000,67.0,217.0,0.11803820999340886,0.049378495025612,0.24756464495322536,0.22426634096226758
"1_'< 5,000' students",Student Issues: Lack of interest,41.0,101.0,40.5940594059406,382.0,0.10732984293193717,Less_than_5X000,41.0,341.0,0.8644089409822325,0.031040032299933545,0.1106613647232913,0.10399832114058305
"2_'5,000 - 15,000' students",Student Issues: Lack of interest,33.0,101.0,32.67326732673268,333.0,0.0990990990990991,K5X000D15X000,33.0,300.0,0.8644089409822325,0.032092188766351754,0.10227940609396279,0.09591879210423541
"3_'> 15,000' students",Student Issues: Lack of interest,27.0,101.0,26.732673267326735,284.0,0.09507042253521127,More_than_15X000,27.0,257.0,0.8644089409822325,0.03411293012703928,0.09831355321630303,0.0918272918541195
"1_'< 5,000' students",Student Issues: Intimidated by topic,10.0,32.0,31.25,382.0,0.02617801047120419,Less_than_5X000,10.0,372.0,0.4415269761803548,0.016011223379423182,0.02659715244448752,0.025758868497920858
"2_'5,000 - 15,000' students",Student Issues: Intimidated by topic,14.0,32.0,43.75,333.0,0.042042042042042045,K5X000D15X000,14.0,319.0,0.4415269761803548,0.021554656197287875,0.04294824380409019,0.0411358402799939
"3_'> 15,000' students",Student Issues: Intimidated by topic,8.0,32.0,25.0,284.0,0.028169014084507043,More_than_15X000,8.0,276.0,0.4415269761803548,0.01924288194531399,0.0287110670970511,0.027626961071962986
"1_'< 5,000' students",Curriculum Issues: Lack of integration,31.0,85.0,36.470588235294116,382.0,0.08115183246073299,Less_than_5X000,31.0,351.0,0.45787663355634656,0.027383405134486623,0.08337404596641122,0.07892961895505475
"2_'5,000 - 15,000' students",Curriculum Issues: Lack of integration,25.0,85.0,29.411764705882355,333.0,0.07507507507507508,K5X000D15X000,25.0,308.0,0.45787663355634656,0.028302650167835827,0.07719989866124893,0.07295025148890122
"3_'> 15,000' students",Curriculum Issues: Lack of integration,29.0,85.0,34.11764705882353,284.0,0.10211267605633803,More_than_15X000,29.0,255.0,0.45787663355634656,0.03521597120626935,0.10570867311613313,0.09851667899654293
"1_'< 5,000' students",Curriculum Issues: Too much content,30.0,73.0,41.0958904109589,382.0,0.078534031413612565,Less_than_5X000,30.0,352.0,0.8135279312496558,0.026976462931605764,0.08065260180091145,0.07641546102631368
"2_'5,000 - 15,000' students",Curriculum Issues: Too much content,22.0,73.0,30.136986301369863,333.0,0.06606606606606606,K5X000D15X000,22.0,311.0,0.8135279312496558,0.02667922905443329,0.06782865777536796,0.06430347435676416
"3_'> 15,000' students",Curriculum Issues: Too much content,21.0,73.0,28.767123287671232,284.0,0.07394366197183098,More_than_15X000,21.0,263.0,0.8135279312496558,0.030433934567942144,0.07619405854199572,0.07169326540166625
"1_'< 5,000' students",Curriculum Issues: Quickly changing technologies,26.0,52.0,50.0,382.0,0.06806282722513089,Less_than_5X000,26.0,356.0,0.07084053022021934,0.02525600876616396,0.0697818225861787,0.06634383186408309
"2_'5,000 - 15,000' students",Curriculum Issues: Quickly changing technologies,18.0,52.0,34.61538461538461,333.0,0.05405405405405406,K5X000D15X000,18.0,315.0,0.07084053022021934,0.024286966300383253,0.055366863043263964,0.05274124506484415
"3_'> 15,000' students",Curriculum Issues: Quickly changing technologies,8.0,52.0,15.384615384615385,284.0,0.028169014084507043,More_than_15X000,8.0,276.0,0.07084053022021934,0.01924288194531399,0.0287110670970511,0.027626961071962986
"1_'< 5,000' students",Curriculum Issues: Access to bioinformatics lesson plans/curriculum,9.0,35.0,25.71428571428571,382.0,0.02356020942408377,Less_than_5X000,9.0,373.0,0.20638631092191245,0.015209982601747598,0.023918559799517614,0.023201859048649926
"2_'5,000 - 15,000' students",Curriculum Issues: Access to bioinformatics lesson plans/curriculum,16.0,35.0,45.714285714285715,333.0,0.04804804804804805,K5X000D15X000,16.0,317.0,0.20638631092191245,0.022970548374131806,0.049151738060018345,0.04694435803607775
"3_'> 15,000' students",Curriculum Issues: Access to bioinformatics lesson plans/curriculum,10.0,35.0,28.57142857142857,284.0,0.035211267605633804,More_than_15X000,10.0,274.0,0.20638631092191245,0.021436104342936007,0.03596606001207521,0.0344564751991924
