Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
"1_'< 5,000' students",Faculty Issues: Expertise/training,81.0,170.0,47.647058823529406,382.0,0.21204188481675393,Less.than.5000,81.0,301.0,0.0033574263168131943,0.0409900835830245,0.22073349939849474,0.20335027023501312
"2_'5,000 - 15,000' students",Faculty Issues: Expertise/training,57.0,170.0,33.52941176470588,333.0,0.17117117117117117,X5000.15000,57.0,276.0,0.0033574263168131943,0.040455140110732396,0.17809592488381906,0.16424641745852328
"3_'> 15,000' students",Faculty Issues: Expertise/training,32.0,170.0,18.823529411764707,284.0,0.11267605633802817,More.than.15000,32.0,252.0,0.0033574263168131943,0.03677442073385796,0.1168196530404347,0.10853245963562164
"1_'< 5,000' students",Faculty Issues: Time,58.0,132.0,43.93939393939394,382.0,0.1518324607329843,Less.than.5000,58.0,324.0,0.34003678117125086,0.035986494924268426,0.15729637881049102,0.14636854265547755
"2_'5,000 - 15,000' students",Faculty Issues: Time,41.0,132.0,31.060606060606062,333.0,0.12312312312312312,X5000.15000,41.0,292.0,0.34003678117125086,0.03529109184183153,0.1274682725691144,0.11877797367713186
"3_'> 15,000' students",Faculty Issues: Time,33.0,132.0,25.0,284.0,0.11619718309859155,More.than.15000,33.0,251.0,0.34003678117125086,0.03727043070904062,0.1205279021598533,0.11186646403732979
"1_'< 5,000' students",Faculty Issues: Curriculum design/integration,8.0,29.0,27.586206896551722,382.0,0.020942408376963352,Less.than.5000,8.0,374.0,0.2597936502345413,0.01435931891903019,0.02124312709778074,0.020641689656145965
"2_'5,000 - 15,000' students",Faculty Issues: Curriculum design/integration,9.0,29.0,31.03448275862069,333.0,0.02702702702702703,X5000.15000,9.0,324.0,0.2597936502345413,0.017417086173695015,0.027497759085775543,0.026556294968278514
"3_'> 15,000' students",Faculty Issues: Curriculum design/integration,12.0,29.0,41.37931034482759,284.0,0.04225352112676056,More.than.15000,12.0,272.0,0.2597936502345413,0.023396217818721025,0.04324209371065019,0.04126494854287094
"1_'< 5,000' students",Curriculum Issues: No space,38.0,97.0,39.175257731958766,382.0,0.09947643979057591,Less.than.5000,38.0,344.0,0.8243801318861895,0.03001401299568367,0.1024621269472146,0.09649075263393722
"2_'5,000 - 15,000' students",Curriculum Issues: No space,34.0,97.0,35.051546391752574,333.0,0.1021021021021021,X5000.15000,34.0,299.0,0.8243801318861895,0.03252046849216015,0.10542251029649684,0.09878169390770737
"3_'> 15,000' students",Curriculum Issues: No space,25.0,97.0,25.773195876288657,284.0,0.0880281690140845,More.than.15000,25.0,259.0,0.8243801318861895,0.032952659235387774,0.09092893127072074,0.08512740675744826
"1_'< 5,000' students",Curriculum Issues: Incompatible with current curriculum,16.0,47.0,34.04255319148936,382.0,0.041884816753926704,Less.than.5000,16.0,366.0,0.6691019870457976,0.020088780833254417,0.04272623165793736,0.04104340184991605
"2_'5,000 - 15,000' students",Curriculum Issues: Incompatible with current curriculum,15.0,47.0,31.914893617021278,333.0,0.04504504504504504,X5000.15000,15.0,318.0,0.6691019870457976,0.022276190863015227,0.04604847706590159,0.0440416130241885
"3_'> 15,000' students",Curriculum Issues: Incompatible with current curriculum,16.0,47.0,34.04255319148936,284.0,0.056338028169014086,More.than.15000,16.0,268.0,0.6691019870457976,0.02681624527781972,0.05784880255086308,0.05482725378716509
"1_'< 5,000' students",Curriculum Issues: Time needed to develop,13.0,32.0,40.625,382.0,0.034031413612565446,Less.than.5000,13.0,369.0,0.9543896538205352,0.018181843107518407,0.03465016743559618,0.03341265978953471
"2_'5,000 - 15,000' students",Curriculum Issues: Time needed to develop,10.0,32.0,31.25,333.0,0.03003003003003003,X5000.15000,10.0,323.0,0.9543896538205352,0.01833086681149868,0.030580506510855816,0.029479553549204243
"3_'> 15,000' students",Curriculum Issues: Time needed to develop,9.0,32.0,28.125,284.0,0.03169014084507042,More.than.15000,9.0,275.0,0.9543896538205352,0.020373149992300752,0.032335768837784176,0.031044512852356664
"1_'< 5,000' students",Curriculum Issues: No control,6.0,20.0,30.0,382.0,0.015706806282722512,Less.than.5000,6.0,376.0,0.7217782902595082,0.012468740724874946,0.015902650377877615,0.01551096218756741
"2_'5,000 - 15,000' students",Curriculum Issues: No control,8.0,20.0,40.0,333.0,0.024024024024024024,X5000.15000,8.0,325.0,0.7217782902595082,0.016446307827703326,0.024419130518383264,0.023628917529664784
"3_'> 15,000' students",Curriculum Issues: No control,6.0,20.0,30.0,284.0,0.02112676056338028,More.than.15000,6.0,278.0,0.7217782902595082,0.016725095416803837,0.021480107649650786,0.020773413477109776
"1_'< 5,000' students",Resource Issues: Access to exercises,14.0,38.0,36.84210526315789,382.0,0.03664921465968586,Less.than.5000,14.0,368.0,0.6771548618684581,0.01884260629212008,0.03733978138243372,0.035958647936938
"2_'5,000 - 15,000' students",Resource Issues: Access to exercises,15.0,38.0,39.473684210526315,333.0,0.04504504504504504,X5000.15000,15.0,318.0,0.6771548618684581,0.022276190863015227,0.04604847706590159,0.0440416130241885
"3_'> 15,000' students",Resource Issues: Access to exercises,9.0,38.0,23.684210526315788,284.0,0.03169014084507042,More.than.15000,9.0,275.0,0.6771548618684581,0.020373149992300752,0.032335768837784176,0.031044512852356664
"1_'< 5,000' students",Resource Issues: Access to lesson plans,14.0,31.0,45.16129032258064,382.0,0.03664921465968586,Less.than.5000,14.0,368.0,0.6713455462142932,0.01884260629212008,0.03733978138243372,0.035958647936938
"2_'5,000 - 15,000' students",Resource Issues: Access to lesson plans,10.0,31.0,32.25806451612903,333.0,0.03003003003003003,X5000.15000,10.0,323.0,0.6713455462142932,0.01833086681149868,0.030580506510855816,0.029479553549204243
"3_'> 15,000' students",Resource Issues: Access to lesson plans,7.0,31.0,22.58064516129032,284.0,0.02464788732394366,More.than.15000,7.0,277.0,0.6713455462142932,0.018032647178347405,0.025092353979748,0.02420342066813932
"1_'< 5,000' students",Student Issues: Background knowledge,13.0,49.0,26.53061224489796,382.0,0.034031413612565446,Less.than.5000,13.0,369.0,0.22130791990912824,0.018181843107518407,0.03465016743559618,0.03341265978953471
"2_'5,000 - 15,000' students",Student Issues: Background knowledge,19.0,49.0,38.775510204081634,333.0,0.057057057057057055,X5000.15000,19.0,314.0,0.22130791990912824,0.024912847253991826,0.05847851080428181,0.0556356033098323
"3_'> 15,000' students",Student Issues: Background knowledge,17.0,49.0,34.69387755102041,284.0,0.05985915492957746,More.than.15000,17.0,267.0,0.22130791990912824,0.027589934682912574,0.06151066510425885,0.05820764475489607
