"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_'< 5,000' students","Faculty Issues: Expertise/training",81,170,47.6470588235294,197,0.411167512690355,"Less_than_5X000"
"2","2_'5,000 - 15,000' students","Faculty Issues: Expertise/training",57,170,33.5294117647059,158,0.360759493670886,"K5X000D15X000"
"3","3_'> 15,000' students","Faculty Issues: Expertise/training",32,170,18.8235294117647,124,0.258064516129032,"More_than_15X000"
"4","1_'< 5,000' students","Faculty Issues: Time",58,132,43.9393939393939,197,0.294416243654822,"Less_than_5X000"
"5","2_'5,000 - 15,000' students","Faculty Issues: Time",41,132,31.0606060606061,158,0.259493670886076,"K5X000D15X000"
"6","3_'> 15,000' students","Faculty Issues: Time",33,132,25,124,0.266129032258065,"More_than_15X000"
"7","1_'< 5,000' students","Faculty Issues: Curriculum design/integration",8,29,27.5862068965517,197,0.0406091370558376,"Less_than_5X000"
"8","2_'5,000 - 15,000' students","Faculty Issues: Curriculum design/integration",9,29,31.0344827586207,158,0.0569620253164557,"K5X000D15X000"
"9","3_'> 15,000' students","Faculty Issues: Curriculum design/integration",12,29,41.3793103448276,124,0.0967741935483871,"More_than_15X000"
"10","1_'< 5,000' students","Faculty Issues: Lack of interest",6,9,66.6666666666667,197,0.0304568527918782,"Less_than_5X000"
"11","2_'5,000 - 15,000' students","Faculty Issues: Lack of interest",3,9,33.3333333333333,158,0.0189873417721519,"K5X000D15X000"
"12","3_'> 15,000' students","Faculty Issues: Lack of interest",0,9,0,124,0,"More_than_15X000"
"13","1_'< 5,000' students","Faculty Issues: New Faculty",3,4,75,197,0.0152284263959391,"Less_than_5X000"
"14","2_'5,000 - 15,000' students","Faculty Issues: New Faculty",1,4,25,158,0.00632911392405063,"K5X000D15X000"
"15","3_'> 15,000' students","Faculty Issues: New Faculty",0,4,0,124,0,"More_than_15X000"
"16","1_'< 5,000' students","Curriculum Issues: No space",38,97,39.1752577319588,197,0.192893401015228,"Less_than_5X000"
"17","2_'5,000 - 15,000' students","Curriculum Issues: No space",34,97,35.0515463917526,158,0.215189873417722,"K5X000D15X000"
"18","3_'> 15,000' students","Curriculum Issues: No space",25,97,25.7731958762887,124,0.201612903225806,"More_than_15X000"
"19","1_'< 5,000' students","Curriculum Issues: Incompatible with current curriculum",16,47,34.0425531914894,197,0.0812182741116751,"Less_than_5X000"
"20","2_'5,000 - 15,000' students","Curriculum Issues: Incompatible with current curriculum",15,47,31.9148936170213,158,0.0949367088607595,"K5X000D15X000"
"21","3_'> 15,000' students","Curriculum Issues: Incompatible with current curriculum",16,47,34.0425531914894,124,0.129032258064516,"More_than_15X000"
"22","1_'< 5,000' students","Curriculum Issues: Time needed to develop",13,32,40.625,197,0.065989847715736,"Less_than_5X000"
"23","2_'5,000 - 15,000' students","Curriculum Issues: Time needed to develop",10,32,31.25,158,0.0632911392405063,"K5X000D15X000"
"24","3_'> 15,000' students","Curriculum Issues: Time needed to develop",9,32,28.125,124,0.0725806451612903,"More_than_15X000"
"25","1_'< 5,000' students","Curriculum Issues: No control",6,20,30,197,0.0304568527918782,"Less_than_5X000"
"26","2_'5,000 - 15,000' students","Curriculum Issues: No control",8,20,40,158,0.0506329113924051,"K5X000D15X000"
"27","3_'> 15,000' students","Curriculum Issues: No control",6,20,30,124,0.0483870967741935,"More_than_15X000"
"28","1_'< 5,000' students","Curriculum Issues: Covered elsewhere",6,15,40,197,0.0304568527918782,"Less_than_5X000"
"29","2_'5,000 - 15,000' students","Curriculum Issues: Covered elsewhere",2,15,13.3333333333333,158,0.0126582278481013,"K5X000D15X000"
"30","3_'> 15,000' students","Curriculum Issues: Covered elsewhere",7,15,46.6666666666667,124,0.0564516129032258,"More_than_15X000"
"31","1_'< 5,000' students","Curriculum Issues: Class size",2,8,25,197,0.0101522842639594,"Less_than_5X000"
"32","2_'5,000 - 15,000' students","Curriculum Issues: Class size",2,8,25,158,0.0126582278481013,"K5X000D15X000"
"33","3_'> 15,000' students","Curriculum Issues: Class size",4,8,50,124,0.032258064516129,"More_than_15X000"
"34","1_'< 5,000' students","Curriculum Issues: Plan for future coverage",3,9,33.3333333333333,197,0.0152284263959391,"Less_than_5X000"
"35","2_'5,000 - 15,000' students","Curriculum Issues: Plan for future coverage",4,9,44.4444444444444,158,0.0253164556962025,"K5X000D15X000"
