percentage,question,barrier
0.2908204711616572,q1.Q33,Faculty Issues (reduced)
0.2502030869212023,q3.Q38,Faculty Issues (reduced)
0.239642567018684,q1.Q33,Student Issues (reduced)
0.1844029244516653,q1.Q33,Curriculum Issues (reduced)
0.18359057676685622,q3.Q38,Curriculum Issues (reduced)
0.1803411860276198,q2.Q6,Faculty Issues (reduced)
0.1510966693744923,q4.Q29,Facilities Issues (reduced)
0.11291632818846466,q4.Q29,Resource Issues (reduced)
0.10804224207961008,q4.Q29,Institutional Issues (reduced)
0.0958570268074736,q2.Q6,Curriculum Issues (reduced)
0.06823720552396426,q3.Q38,Resource Issues (reduced)
0.06255077173030058,q1.Q33,Resource Issues (reduced)
0.056051990251827784,q3.Q38,Student Issues (reduced)
0.050365556458164096,q2.Q6,Student Issues (reduced)
0.04305442729488221,q1.Q33,Facilities Issues (reduced)
0.034930950446791224,q2.Q6,Institutional Issues (reduced)
0.02924451665312754,q2.Q6,Resource Issues (reduced)
0.02924451665312754,q4.Q29,Faculty Issues (reduced)
0.021933387489845652,q1.Q33,Institutional Issues (reduced)
0.017871649065800164,q2.Q6,Facilities Issues (reduced)
0.015434606011372868,q4.Q29,Student Issues (reduced)
0.01462225832656377,q3.Q38,Facilities Issues (reduced)
0.006498781478472786,q4.Q29,Curriculum Issues (reduced)
0.002437043054427295,q3.Q38,Institutional Issues (reduced)
0.0016246953696181965,q3.Q38,State Issues (reduced)
8.123476848090983e-4,q3.Q38,Accredidation Issues (reduced)
