"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.000499750124937531
"2",Faculty Issues: Time,0.00149925037481259
"3",Faculty Issues: Too few faculty,0.000499750124937531
"4",Faculty Issues: Lack of interest,0.625687156421789
"5",Curriculum Issues: No space,0.998500749625187
"6",Curriculum Issues: Incompatible with current curriculum,0.898050974512744
"7",Curriculum Issues: Integration needed at every level,0.839580209895052
"8",Curriculum Issues: Bioinformatics curriculum is under development,0.0549725137431284
"9",Curriculum Issues: Not required for life sci/pre-med majors,0.275862068965517
"10",Curriculum Issues: Class size,0.906546726636682
"11",Curriculum Issues: Too few seats,0.610194902548726
"12",Student Issues: Lack of interest,0.937031484257871
"13",Student Issues: Background knowledge,0.795102448775612
"14",Institutional: Institutional inertia,0.863068465767116
"15",Institutional: Inter-departmental cooperation,0.186406796601699
"16",Institutional: IT support,0.183408295852074
"17",Institutional: State regulation,0.247876061969015
"18",Resource Issues: Funding,0.326836581709145
"19",Resource Issues: Access to software,1
"20",Resource Issues: Access to bioinformatics lesson plans/curricula,1
"21",Facilities: Access to computer(s)/labs,0.133433283358321
"22",Facilities: Servers,1
