Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Associate's College,Faculty Issues: Expertise/training,14.0,138.0,10.144927536231885,176.0,0.07954545454545454,Associates,14.0,162.0,6.297528740307368e-7,0.03997611763537996,0.0827253729937234,0.07636553609718569
2_Baccalaureate College,Faculty Issues: Expertise/training,50.0,138.0,36.231884057971016,228.0,0.21929824561403508,Baccalaureate,50.0,178.0,6.297528740307368e-7,0.05370822799304188,0.23107636578794777,0.20752012544012238
"3_Master's (Small, Medium, Large)",Faculty Issues: Expertise/training,42.0,138.0,30.434782608695656,204.0,0.20588235294117646,Masters,42.0,162.0,6.297528740307368e-7,0.055486201200004595,0.21730598260000095,0.19445872328235198
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Expertise/training,32.0,138.0,23.18840579710145,358.0,0.0893854748603352,Doctoral,32.0,326.0,6.297528740307368e-7,0.0295533924002932,0.09202711887376923,0.08674383084690117
1_Associate's College,Faculty Issues: Time,5.0,68.0,7.352941176470589,176.0,0.028409090909090908,Associates,5.0,171.0,4.0461284878047987e-4,0.02454494971280057,0.029106390616840925,0.02771179120134089
2_Baccalaureate College,Faculty Issues: Time,28.0,68.0,41.17647058823529,228.0,0.12280701754385964,Baccalaureate,28.0,200.0,4.0461284878047987e-4,0.042602965850302786,0.12803896071845822,0.11757507436926105
"3_Master's (Small, Medium, Large)",Faculty Issues: Time,18.0,68.0,26.47058823529412,204.0,0.08823529411764706,Masters,18.0,186.0,4.0461284878047987e-4,0.03892203730288037,0.09166959152672474,0.08480099670856939
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Time,17.0,68.0,25.0,358.0,0.04748603351955307,Doctoral,17.0,341.0,4.0461284878047987e-4,0.022030542981767647,0.04853217662203924,0.0464398904170669
1_Associate's College,Curriculum Issues: No space,11.0,48.0,22.916666666666664,176.0,0.0625,Associates,11.0,165.0,0.3224679547209503,0.035761638106852574,0.06473510238167829,0.06026489761832171
2_Baccalaureate College,Curriculum Issues: No space,12.0,48.0,25.0,228.0,0.05263157894736842,Baccalaureate,12.0,216.0,0.3224679547209503,0.028984333565231633,0.05415707018764377,0.051106087707093066
"3_Master's (Small, Medium, Large)",Curriculum Issues: No space,13.0,48.0,27.083333333333332,204.0,0.06372549019607843,Masters,13.0,191.0,0.3224679547209503,0.03351901128167668,0.06586150562089116,0.061589474771265695
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: No space,12.0,48.0,25.0,358.0,0.0335195530726257,Doctoral,12.0,346.0,0.3224679547209503,0.018644563637751882,0.03414451051299727,0.03289459563225412
1_Associate's College,Curriculum Issues: Incompatible with current curriculum,6.0,25.0,24.0,176.0,0.03409090909090909,Associates,6.0,170.0,0.3572106088103092,0.02680891113812123,0.035004849243345036,0.03317696893847314
2_Baccalaureate College,Curriculum Issues: Incompatible with current curriculum,5.0,25.0,20.0,228.0,0.021929824561403508,Baccalaureate,5.0,223.0,0.3572106088103092,0.019010049784140975,0.022346711618073264,0.02151293750473375
"3_Master's (Small, Medium, Large)",Curriculum Issues: Incompatible with current curriculum,8.0,25.0,32.0,204.0,0.0392156862745098,Masters,8.0,196.0,0.3572106088103092,0.02663642091236421,0.04026025180048487,0.03817112074853474
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: Incompatible with current curriculum,6.0,25.0,24.0,358.0,0.01675977653631285,Doctoral,6.0,352.0,0.3572106088103092,0.013297515584662639,0.016982639925999934,0.016536913146625764
1_Associate's College,Student Issues: Lack of interest,7.0,35.0,20.0,176.0,0.03977272727272727,Associates,7.0,169.0,0.5584564439468509,0.02887164051444108,0.04092103115682436,0.03862442338863018
2_Baccalaureate College,Student Issues: Lack of interest,10.0,35.0,28.57142857142857,228.0,0.043859649122807015,Baccalaureate,10.0,218.0,0.5584564439468509,0.026581168429211113,0.04502548984338645,0.04269380840222758
"3_Master's (Small, Medium, Large)",Student Issues: Lack of interest,9.0,35.0,25.71428571428571,204.0,0.04411764705882353,Masters,9.0,195.0,0.5584564439468509,0.02818002670152624,0.04536088353094969,0.04287441058669737
"4_Doctoral University (High, Higher, Highest Research Activity)",Student Issues: Lack of interest,9.0,35.0,25.71428571428571,358.0,0.025139664804469275,Doctoral,9.0,349.0,0.5584564439468509,0.01621651466897486,0.025547342547544063,0.024731987061394487
1_Associate's College,Student Issues: Background knowledge,5.0,28.0,17.857142857142858,176.0,0.028409090909090908,Associates,5.0,171.0,0.5259394731127406,0.02454494971280057,0.029106390616840925,0.02771179120134089
2_Baccalaureate College,Student Issues: Background knowledge,9.0,28.0,32.142857142857146,228.0,0.039473684210526314,Baccalaureate,9.0,219.0,0.5259394731127406,0.02527488176532367,0.04047137691178909,0.038475991509263535
"3_Master's (Small, Medium, Large)",Student Issues: Background knowledge,7.0,28.0,25.0,204.0,0.03431372549019608,Masters,7.0,197.0,0.5259394731127406,0.024979570853630357,0.03517086762733046,0.0334565833530617
"4_Doctoral University (High, Higher, Highest Research Activity)",Student Issues: Background knowledge,7.0,28.0,25.0,358.0,0.019553072625698324,Doctoral,7.0,351.0,0.5259394731127406,0.014342541966025923,0.019833513390397156,0.019272631860999492
