Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Associate's College,Facilities Issues: Access to computer labs,37.0,154.0,24.025974025974026,176.0,0.21022727272727273,Associates,37.0,139.0,0.030455627657478355,0.06019873309448995,0.22288268820736437,0.1975718572471811
2_Baccalaureate College,Facilities Issues: Access to computer labs,41.0,154.0,26.623376623376622,228.0,0.17982456140350878,Baccalaureate,41.0,187.0,0.030455627657478355,0.04984924122701102,0.18878867934345375,0.1708604434635638
"3_Master's (Small, Medium, Large)",Facilities Issues: Access to computer labs,34.0,154.0,22.07792207792208,204.0,0.16666666666666666,Masters,34.0,170.0,0.030455627657478355,0.051140710698792495,0.17519011844979873,0.15814321488353458
"4_Doctoral University (High, Higher, Highest Research Activity)",Facilities Issues: Access to computer labs,42.0,154.0,27.27272727272727,358.0,0.11731843575418995,Doctoral,42.0,316.0,0.030455627657478355,0.033334330542755364,0.12122916727037912,0.11340770423800077
1_Associate's College,Resource Issues: Access to operating systems,6.0,50.0,12.0,176.0,0.03409090909090909,Associates,6.0,170.0,0.04745340730531283,0.02680891113812123,0.035004849243345036,0.03317696893847314
2_Baccalaureate College,Resource Issues: Access to operating systems,17.0,50.0,34.0,228.0,0.07456140350877193,Baccalaureate,17.0,211.0,0.04745340730531283,0.03409663408236447,0.07710369640087805,0.0720191106166658
"3_Master's (Small, Medium, Large)",Resource Issues: Access to operating systems,15.0,50.0,30.0,204.0,0.07352941176470588,Masters,15.0,189.0,0.04745340730531283,0.03581618886532196,0.07616295506362662,0.07089586846578515
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: Access to operating systems,12.0,50.0,24.0,358.0,0.0335195530726257,Doctoral,12.0,346.0,0.04745340730531283,0.018644563637751882,0.03414451051299727,0.03289459563225412
1_Associate's College,Resource Issues: Apropriate software,13.0,41.0,31.70731707317073,176.0,0.07386363636363637,Associates,13.0,163.0,0.006106218127991458,0.03864066283831914,0.07671777623237586,0.07100949649489688
2_Baccalaureate College,Resource Issues: Apropriate software,9.0,41.0,21.951219512195124,228.0,0.039473684210526314,Baccalaureate,9.0,219.0,0.006106218127991458,0.02527488176532367,0.04047137691178909,0.038475991509263535
"3_Master's (Small, Medium, Large)",Resource Issues: Apropriate software,13.0,41.0,31.70731707317073,204.0,0.06372549019607843,Masters,13.0,191.0,0.006106218127991458,0.03351901128167668,0.06586150562089116,0.061589474771265695
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: Apropriate software,6.0,41.0,14.634146341463413,358.0,0.01675977653631285,Doctoral,6.0,352.0,0.006106218127991458,0.013297515584662639,0.016982639925999934,0.016536913146625764
1_Associate's College,Resource Issues: Access to high-performance computing,13.0,63.0,20.634920634920633,176.0,0.07386363636363637,Associates,13.0,163.0,1.4744677071630754e-5,0.03864066283831914,0.07671777623237586,0.07100949649489688
2_Baccalaureate College,Resource Issues: Access to high-performance computing,28.0,63.0,44.44444444444444,228.0,0.12280701754385964,Baccalaureate,28.0,200.0,1.4744677071630754e-5,0.042602965850302786,0.12803896071845822,0.11757507436926105
"3_Master's (Small, Medium, Large)",Resource Issues: Access to high-performance computing,15.0,63.0,23.809523809523807,204.0,0.07352941176470588,Masters,15.0,189.0,1.4744677071630754e-5,0.03581618886532196,0.07616295506362662,0.07089586846578515
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: Access to high-performance computing,7.0,63.0,11.11111111111111,358.0,0.019553072625698324,Doctoral,7.0,351.0,1.4744677071630754e-5,0.014342541966025923,0.019833513390397156,0.019272631860999492
1_Associate's College,Institutional Issues: Access to IT support,26.0,116.0,22.413793103448278,176.0,0.14772727272727273,Associates,26.0,150.0,8.149032618314056e-9,0.05242173525796743,0.1554713927085634,0.13998315274598208
2_Baccalaureate College,Institutional Issues: Access to IT support,45.0,116.0,38.793103448275865,228.0,0.19736842105263158,Baccalaureate,45.0,183.0,8.149032618314056e-9,0.05166276218048715,0.20756501885141193,0.18717182325385123
"3_Master's (Small, Medium, Large)",Institutional Issues: Access to IT support,32.0,116.0,27.586206896551722,204.0,0.1568627450980392,Masters,32.0,172.0,8.149032618314056e-9,0.04990476932578871,0.16469094420796684,0.14903454598811158
"4_Doctoral University (High, Higher, Highest Research Activity)",Institutional Issues: Access to IT support,13.0,116.0,11.206896551724139,358.0,0.036312849162011177,Doctoral,13.0,345.0,8.149032618314056e-9,0.01937781363305202,0.03701651278555776,0.035609185538464594
