"","Associates","Baccalaureate","Masters","Doctoral"
"Faculty Issues: Expertise/training"," 7","10"," 7"," 3"
"Faculty Issues: Time","1","1","2","2"
"Faculty Issues: No interest in topic","0","0","0","0"
"Faculty Issues: No comp-sci faculty","0","1","0","0"
"Facilities Issues: Access to computer labs","37","41","34","42"
"Facilities Issues: Inadaquate computers","4","6","7","7"
"Facilities Issues: Access to servers","1","4","2","2"
"Facilities Issues: Access to internet","6","1","3","4"
"Resource Issues: Access to operating systems"," 6","17","15","12"
"Resource Issues: Apropriate software","13"," 9","13"," 6"
"Resource Issues: Access to high-performance computing","13","28","15"," 7"
"Resource Issues: Funding","4","8","4","4"
"Institutional Issues: Access to IT support","26","45","32","13"
"Institutional Issues: Subscriptions/licenses","0","0","1","1"
"Institutional Issues: No support from comp-sci faculty","0","3","0","0"
"Student Issues: Access to software off-campus","4","2","3","1"
"Student Issues: Basic computing knowledge","3","0","1","1"
"Student Issues: Access to computers Off-campus","7","1","1","2"
"Student Issues: No interest in bioinformatics","0","0","0","0"
"Curriculum Issues: New program development required","1","1","0","2"
"Curriculum Issues: Class size","1","0","1","1"
"Curriculum Issues: Access to bioinformatics lesson plans","0","1","0","1"
