"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.132433783108446
"2",Faculty Issues: Time,0.612693653173413
"3",Faculty Issues: Curriculum design/integration,0.651674162918541
"4",Faculty Issues: Lack of interest,0.0974512743628186
"5",Faculty Issues: New Faculty,1
"6",Curriculum Issues: No space,0.326336831584208
"7",Curriculum Issues: Incompatible with current curriculum,0.0229885057471264
"8",Curriculum Issues: Time needed to develop,0.457271364317841
"9",Curriculum Issues: No control,0.015992003998001
"10",Curriculum Issues: Covered elsewhere,0.4047976011994
"11",Curriculum Issues: Class size,0.102448775612194
"12",Curriculum Issues: Plan for future coverage,0.96351824087956
"13",Curriculum Issues: Too much content,0.896551724137931
"14",Curriculum Issues: Content requires several courses,1
"15",Resource Issues: Access to exercises,1
"16",Resource Issues: Access to lesson plans,0.792603698150925
"17",Resource Issues: Access to intro content,0.024487756121939
"18",Resource Issues: Unable to vet content,0.800599700149925
"19",Resource Issues: Funding,0.654172913543228
"20",Resource Issues: No appropriate textbook,0.479260369815092
"21",Resource Issues: No access to online exercises,0.39880059970015
"22",Resource Issues: No qualified TAs,1
"23",Student Issues: Background knowledge,0.0294852573713143
"24",Student Issues: Interest in topic,0.418790604697651
"25",Facilities: Access to equipment,0.920539730134933
"26",Institutional: Inertia,1
"27",State Restrictions,1
"28",Accreditation,1
