"","Associates","Baccalaureate","Masters","Doctoral"
"Faculty Issues: Expertise/training","34","52","41","33"
"Faculty Issues: Time","32","32","26","37"
"Faculty Issues: Curriculum design/integration"," 6"," 5"," 7","10"
"Faculty Issues: Lack of interest","2","5","1","0"
"Faculty Issues: New Faculty","0","0","1","1"
"Curriculum Issues: No space","26","31","18","25"
"Curriculum Issues: Incompatible with current curriculum","19"," 5"," 9","16"
"Curriculum Issues: Time needed to develop"," 9","10"," 4"," 7"
"Curriculum Issues: No control","10"," 1"," 2"," 6"
"Curriculum Issues: Covered elsewhere","2","5","2","6"
"Curriculum Issues: Class size","0","1","2","5"
"Curriculum Issues: Plan for future coverage","2","1","2","3"
"Curriculum Issues: Too much content","0","1","2","1"
"Curriculum Issues: Content requires several courses","0","0","1","0"
"Resource Issues: Access to exercises"," 9","10"," 9","10"
"Resource Issues: Access to lesson plans"," 7"," 9"," 6","10"
"Resource Issues: Access to intro content","8","1","2","2"
"Resource Issues: Unable to vet content","5","5","4","2"
"Resource Issues: Funding","3","1","1","3"
"Resource Issues: No appropriate textbook","4","1","1","3"
"Resource Issues: No access to online exercises","1","3","0","1"
"Resource Issues: No qualified TAs","0","0","0","1"
"Student Issues: Background knowledge","18"," 4","10","13"
"Student Issues: Interest in topic","2","5","1","2"
"Facilities: Access to equipment","4","4","4","6"
"Institutional: Inertia","0","1","1","1"
"State Restrictions","1","0","0","0"
"Accreditation","1","0","0","0"
