Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Associate's College,Faculty Issues: Expertise/training,34.0,160.0,21.25,176.0,0.19318181818181818,Associates,34.0,142.0,3.6343223067452904e-5,0.058326070708977315,0.20444935456877972,0.18191428179485664
2_Baccalaureate College,Faculty Issues: Expertise/training,52.0,160.0,32.5,228.0,0.22807017543859648,Baccalaureate,52.0,176.0,3.6343223067452904e-5,0.054463284197874634,0.24049162622056788,0.21564872465662507
"3_Master's (Small, Medium, Large)",Faculty Issues: Expertise/training,41.0,160.0,25.624999999999996,204.0,0.20098039215686275,Masters,41.0,163.0,3.6343223067452904e-5,0.05499061420271782,0.21203242736427172,0.18992835694945379
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Expertise/training,33.0,160.0,20.625,358.0,0.09217877094972067,Doctoral,33.0,325.0,3.6343223067452904e-5,0.029965546422989157,0.0949409581898286,0.08941658370961274
1_Associate's College,Faculty Issues: Time,32.0,127.0,25.196850393700785,176.0,0.18181818181818182,Associates,32.0,144.0,0.08685162745385575,0.056981689845700366,0.19217848906285462,0.17145787457350903
2_Baccalaureate College,Faculty Issues: Time,32.0,127.0,25.196850393700785,228.0,0.14035087719298245,Baccalaureate,32.0,196.0,0.08685162745385575,0.04508674110147143,0.14667884085634686,0.13402291352961804
"3_Master's (Small, Medium, Large)",Faculty Issues: Time,26.0,127.0,20.47244094488189,204.0,0.12745098039215685,Masters,26.0,178.0,0.08685162745385575,0.045761422386591775,0.13328331853946757,0.12161864224484614
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Time,37.0,127.0,29.133858267716533,358.0,0.10335195530726257,Doctoral,37.0,321.0,0.08685162745385575,0.031533845051507865,0.10661103985169215,0.10009287076283299
1_Associate's College,Faculty Issues: Curriculum design/integration,6.0,28.0,21.428571428571427,176.0,0.03409090909090909,Associates,6.0,170.0,0.8527802420764669,0.02680891113812123,0.035004849243345036,0.03317696893847314
2_Baccalaureate College,Faculty Issues: Curriculum design/integration,5.0,28.0,17.857142857142858,228.0,0.021929824561403508,Baccalaureate,5.0,223.0,0.8527802420764669,0.019010049784140975,0.022346711618073264,0.02151293750473375
"3_Master's (Small, Medium, Large)",Faculty Issues: Curriculum design/integration,7.0,28.0,25.0,204.0,0.03431372549019608,Masters,7.0,197.0,0.8527802420764669,0.024979570853630357,0.03517086762733046,0.0334565833530617
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Curriculum design/integration,10.0,28.0,35.714285714285715,358.0,0.027932960893854747,Doctoral,10.0,348.0,0.8527802420764669,0.017069200234576594,0.02840975419649655,0.027456167591212943
1_Associate's College,Curriculum Issues: No space,26.0,100.0,26.0,176.0,0.14772727272727273,Associates,26.0,150.0,0.010772095883090964,0.05242173525796743,0.1554713927085634,0.13998315274598208
2_Baccalaureate College,Curriculum Issues: No space,31.0,100.0,31.0,228.0,0.13596491228070176,Baccalaureate,31.0,197.0,0.010772095883090964,0.04448973106690564,0.1420139546626056,0.12991586989879791
"3_Master's (Small, Medium, Large)",Curriculum Issues: No space,18.0,100.0,18.0,204.0,0.08823529411764706,Masters,18.0,186.0,0.010772095883090964,0.03892203730288037,0.09166959152672474,0.08480099670856939
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: No space,25.0,100.0,25.0,358.0,0.06983240223463687,Doctoral,25.0,333.0,0.010772095883090964,0.026400713984245303,0.0716760275128663,0.06798877695640744
1_Associate's College,Curriculum Issues: Incompatible with current curriculum,19.0,49.0,38.775510204081634,176.0,0.10795454545454546,Associates,19.0,157.0,9.598578241417184e-4,0.045846450330402695,0.11290387816066848,0.10300521274842243
2_Baccalaureate College,Curriculum Issues: Incompatible with current curriculum,5.0,49.0,10.204081632653061,228.0,0.021929824561403508,Baccalaureate,5.0,223.0,9.598578241417184e-4,0.019010049784140975,0.022346711618073264,0.02151293750473375
"3_Master's (Small, Medium, Large)",Curriculum Issues: Incompatible with current curriculum,9.0,49.0,18.367346938775512,204.0,0.04411764705882353,Masters,9.0,195.0,9.598578241417184e-4,0.02818002670152624,0.04536088353094969,0.04287441058669737
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: Incompatible with current curriculum,16.0,49.0,32.6530612244898,358.0,0.0446927374301676,Doctoral,16.0,342.0,9.598578241417184e-4,0.021404081472814848,0.04564934442336603,0.04373613043696917
1_Associate's College,Resource Issues: Access to exercises,9.0,38.0,23.684210526315788,176.0,0.05113636363636364,Associates,9.0,167.0,0.5464232025395126,0.0325430744381808,0.052800498124679705,0.049472229148047574
2_Baccalaureate College,Resource Issues: Access to exercises,10.0,38.0,26.31578947368421,228.0,0.043859649122807015,Baccalaureate,10.0,218.0,0.5464232025395126,0.026581168429211113,0.04502548984338645,0.04269380840222758
"3_Master's (Small, Medium, Large)",Resource Issues: Access to exercises,9.0,38.0,23.684210526315788,204.0,0.04411764705882353,Masters,9.0,195.0,0.5464232025395126,0.02818002670152624,0.04536088353094969,0.04287441058669737
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: Access to exercises,10.0,38.0,26.31578947368421,358.0,0.027932960893854747,Doctoral,10.0,348.0,0.5464232025395126,0.017069200234576594,0.02840975419649655,0.027456167591212943
1_Associate's College,Resource Issues: Access to lesson plans,7.0,32.0,21.875,176.0,0.03977272727272727,Associates,7.0,169.0,0.8208672685523539,0.02887164051444108,0.04092103115682436,0.03862442338863018
2_Baccalaureate College,Resource Issues: Access to lesson plans,9.0,32.0,28.125,228.0,0.039473684210526314,Baccalaureate,9.0,219.0,0.8208672685523539,0.02527488176532367,0.04047137691178909,0.038475991509263535
"3_Master's (Small, Medium, Large)",Resource Issues: Access to lesson plans,6.0,32.0,18.75,204.0,0.029411764705882353,Masters,6.0,198.0,0.8208672685523539,0.02318521140579592,0.030093682688405763,0.028729846723358942
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: Access to lesson plans,10.0,32.0,31.25,358.0,0.027932960893854747,Doctoral,10.0,348.0,0.8208672685523539,0.017069200234576594,0.02840975419649655,0.027456167591212943
