"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.000499750124937531
"2",Faculty Issues: Time,0.000499750124937531
"3",Faculty Issues: Too few faculty,0.276861569215392
"4",Faculty Issues: Lack of interest,0.0729635182408796
"5",Curriculum Issues: No space,0.000499750124937531
"6",Curriculum Issues: Incompatible with current curriculum,0.165417291354323
"7",Curriculum Issues: Integration needed at every level,0.133433283358321
"8",Curriculum Issues: Bioinformatics curriculum is under development,0.0164917541229385
"9",Curriculum Issues: Not required for life sci/pre-med majors,0.470764617691154
"10",Curriculum Issues: Class size,0.0344827586206897
"11",Curriculum Issues: Too few seats,0.04047976011994
"12",Student Issues: Lack of interest,0.131434282858571
"13",Student Issues: Background knowledge,0.730634682658671
"14",Institutional: Institutional inertia,0.00149925037481259
"15",Institutional: Inter-departmental cooperation,0.943528235882059
"16",Institutional: IT support,1
"17",Institutional: State regulation,1
"18",Resource Issues: Funding,0.00749625187406297
"19",Resource Issues: Access to software,0.180909545227386
"20",Resource Issues: Access to bioinformatics lesson plans/curricula,0.348325837081459
"21",Facilities: Access to computer(s)/labs,0.0644677661169415
"22",Facilities: Servers,0.771614192903548
