"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.000499750124937531
"2",Faculty Issues: Time,1
"3",Faculty Issues: No interest in topic,1
"4",Faculty Issues: No comp-sci faculty,1
"5",Facilities Issues: Access to computer labs,0.000499750124937531
"6",Facilities Issues: Inadaquate computers,0.00399800099950025
"7",Facilities Issues: Access to servers,0.258870564717641
"8",Facilities Issues: Access to internet,0.0114942528735632
"9",Resource Issues: Access to operating systems,0.00599700149925037
"10",Resource Issues: Apropriate software,0.31784107946027
"11",Resource Issues: Access to high-performance computing,0.000499750124937531
"12",Resource Issues: Funding,0.180409795102449
"13",Institutional Issues: Access to IT support,0.000499750124937531
"14",Institutional Issues: Subscriptions/licenses,1
"15",Institutional Issues: No support from comp-sci faculty,0.039480259870065
"16",Student Issues: Access to software off-campus,0.0254872563718141
"17",Student Issues: Basic computing knowledge,1
"18",Student Issues: Access to computers Off-campus,0.0839580209895052
"19",Curriculum Issues: New program development required,0.32383808095952
"20",Curriculum Issues: Class size,0.778610694652674
"21",Curriculum Issues: Access to bioinformatics lesson plans,0.330834582708646
