"","Dedicated.Course","Integrating.Bioinformatics","Not.Integrating.Bioinformatics"
"Faculty Issues: Expertise/training"," 2"," 6","20"
"Faculty Issues: Time","2","3","3"
"Faculty Issues: No interest in topic","0","0","1"
"Faculty Issues: No comp-sci faculty","0","0","1"
"Facilities Issues: Access to computer labs","19","44","99"
"Facilities Issues: Inadaquate computers"," 1","11","14"
"Facilities Issues: Access to servers","5","5","1"
"Facilities Issues: Access to internet"," 1"," 4","10"
"Resource Issues: Access to operating systems"," 9","16","28"
"Resource Issues: Apropriate software","10","16","18"
"Resource Issues: Access to high-performance computing"," 5","18","43"
"Resource Issues: Funding"," 3","10"," 8"
"Institutional Issues: Access to IT support","21","41","65"
"Institutional Issues: Subscriptions/licenses","1","1","1"
"Institutional Issues: No support from comp-sci faculty","0","0","4"
"Student Issues: Access to software off-campus","3","0","7"
"Student Issues: Basic computing knowledge","2","2","2"
"Student Issues: Access to computers Off-campus","2","2","8"
"Student Issues: No interest in bioinformatics","0","0","0"
"Curriculum Issues: New program development required","0","1","3"
"Curriculum Issues: Class size","0","1","2"
"Curriculum Issues: Access to bioinformatics lesson plans","0","0","2"
