"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Dedicated course for life-science majors","Faculty Issues: Expertise/training",2,28,7.14285714285714,132,0.0151515151515152,"Dedicated.Course"
"2","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Expertise/training",6,28,21.4285714285714,263,0.0228136882129278,"Integrating.Bioinformatics"
"3","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Expertise/training",20,28,71.4285714285714,591,0.0338409475465313,"Not.Integrating.Bioinformatics"
"4","1_Dedicated course for life-science majors","Faculty Issues: Time",2,8,25,132,0.0151515151515152,"Dedicated.Course"
"5","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Time",3,8,37.5,263,0.0114068441064639,"Integrating.Bioinformatics"
"6","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Time",3,8,37.5,591,0.0050761421319797,"Not.Integrating.Bioinformatics"
"7","1_Dedicated course for life-science majors","Faculty Issues: No interest in topic",0,1,0,132,0,"Dedicated.Course"
"8","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: No interest in topic",0,1,0,263,0,"Integrating.Bioinformatics"
"9","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: No interest in topic",1,1,100,591,0.00169204737732657,"Not.Integrating.Bioinformatics"
"10","1_Dedicated course for life-science majors","Faculty Issues: No comp-sci faculty",0,1,0,132,0,"Dedicated.Course"
"11","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: No comp-sci faculty",0,1,0,263,0,"Integrating.Bioinformatics"
"12","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: No comp-sci faculty",1,1,100,591,0.00169204737732657,"Not.Integrating.Bioinformatics"
"13","1_Dedicated course for life-science majors","Facilities Issues: Access to computer labs",19,162,11.7283950617284,132,0.143939393939394,"Dedicated.Course"
"14","2_Include 'substantial' bioinformatics in courses for life-science majors","Facilities Issues: Access to computer labs",44,162,27.1604938271605,263,0.167300380228137,"Integrating.Bioinformatics"
"15","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Facilities Issues: Access to computer labs",99,162,61.1111111111111,591,0.16751269035533,"Not.Integrating.Bioinformatics"
"16","1_Dedicated course for life-science majors","Facilities Issues: Inadaquate computers",1,26,3.84615384615385,132,0.00757575757575758,"Dedicated.Course"
"17","2_Include 'substantial' bioinformatics in courses for life-science majors","Facilities Issues: Inadaquate computers",11,26,42.3076923076923,263,0.0418250950570342,"Integrating.Bioinformatics"
"18","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Facilities Issues: Inadaquate computers",14,26,53.8461538461538,591,0.0236886632825719,"Not.Integrating.Bioinformatics"
"19","1_Dedicated course for life-science majors","Facilities Issues: Access to servers",5,11,45.4545454545455,132,0.0378787878787879,"Dedicated.Course"
"20","2_Include 'substantial' bioinformatics in courses for life-science majors","Facilities Issues: Access to servers",5,11,45.4545454545455,263,0.0190114068441065,"Integrating.Bioinformatics"
"21","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Facilities Issues: Access to servers",1,11,9.09090909090909,591,0.00169204737732657,"Not.Integrating.Bioinformatics"
"22","1_Dedicated course for life-science majors","Facilities Issues: Access to internet",1,15,6.66666666666667,132,0.00757575757575758,"Dedicated.Course"
"23","2_Include 'substantial' bioinformatics in courses for life-science majors","Facilities Issues: Access to internet",4,15,26.6666666666667,263,0.0152091254752852,"Integrating.Bioinformatics"
"24","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Facilities Issues: Access to internet",10,15,66.6666666666667,591,0.0169204737732657,"Not.Integrating.Bioinformatics"
"25","1_Dedicated course for life-science majors","Resource Issues: Access to operating systems",9,53,16.9811320754717,132,0.0681818181818182,"Dedicated.Course"
"26","2_Include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Access to operating systems",16,53,30.188679245283,263,0.0608365019011407,"Integrating.Bioinformatics"
"27","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Access to operating systems",28,53,52.8301886792453,591,0.0473773265651438,"Not.Integrating.Bioinformatics"
"28","1_Dedicated course for life-science majors","Resource Issues: Apropriate software",10,44,22.7272727272727,132,0.0757575757575758,"Dedicated.Course"
"29","2_Include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Apropriate software",16,44,36.3636363636364,263,0.0608365019011407,"Integrating.Bioinformatics"
"30","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Apropriate software",18,44,40.9090909090909,591,0.0304568527918782,"Not.Integrating.Bioinformatics"
"31","1_Dedicated course for life-science majors","Resource Issues: Access to high-performance computing",5,66,7.57575757575758,132,0.0378787878787879,"Dedicated.Course"
"32","2_Include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Access to high-performance computing",18,66,27.2727272727273,263,0.0684410646387833,"Integrating.Bioinformatics"
"33","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Access to high-performance computing",43,66,65.1515151515152,591,0.0727580372250423,"Not.Integrating.Bioinformatics"
"34","1_Dedicated course for life-science majors","Resource Issues: Funding",3,21,14.2857142857143,132,0.0227272727272727,"Dedicated.Course"
"35","2_Include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Funding",10,21,47.6190476190476,263,0.0380228136882129,"Integrating.Bioinformatics"
"36","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Funding",8,21,38.0952380952381,591,0.0135363790186125,"Not.Integrating.Bioinformatics"
"37","1_Dedicated course for life-science majors","Institutional Issues: Access to IT support",21,127,16.5354330708661,132,0.159090909090909,"Dedicated.Course"
"38","2_Include 'substantial' bioinformatics in courses for life-science majors","Institutional Issues: Access to IT support",41,127,32.2834645669291,263,0.155893536121673,"Integrating.Bioinformatics"
"39","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Institutional Issues: Access to IT support",65,127,51.1811023622047,591,0.109983079526227,"Not.Integrating.Bioinformatics"
"40","1_Dedicated course for life-science majors","Institutional Issues: Subscriptions/licenses",1,3,33.3333333333333,132,0.00757575757575758,"Dedicated.Course"
"41","2_Include 'substantial' bioinformatics in courses for life-science majors","Institutional Issues: Subscriptions/licenses",1,3,33.3333333333333,263,0.00380228136882129,"Integrating.Bioinformatics"
"42","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Institutional Issues: Subscriptions/licenses",1,3,33.3333333333333,591,0.00169204737732657,"Not.Integrating.Bioinformatics"
"43","1_Dedicated course for life-science majors","Institutional Issues: No support from comp-sci faculty",0,4,0,132,0,"Dedicated.Course"
"44","2_Include 'substantial' bioinformatics in courses for life-science majors","Institutional Issues: No support from comp-sci faculty",0,4,0,263,0,"Integrating.Bioinformatics"
"45","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Institutional Issues: No support from comp-sci faculty",4,4,100,591,0.00676818950930626,"Not.Integrating.Bioinformatics"
"46","1_Dedicated course for life-science majors","Student Issues: Access to software off-campus",3,10,30,132,0.0227272727272727,"Dedicated.Course"
