"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.000499750124937531
"2",Faculty Issues: Time,0.000499750124937531
"3",Faculty Issues: Differences of opinion,0.226886556721639
"4",Faculty Issues: Content development,0.260869565217391
"5",Faculty Issues: Too few faculty,0.313343328335832
"6",Faculities Issues: Access to computer labs,0.000499750124937531
"7",Faculities Issues: Inadaquate computers,0.632183908045977
"8",Resource Issues: Access to software,0.0224887556221889
"9",Resource Issues: Funding,0.134932533733133
"10",Resource Issues: Software/license fees,1
"11",Student Issues: Lack of background skills/knowledge,0.000499750124937531
"12",Student Issues: Lack of interest,0.00349825087456272
"13",Student Issues: Intimidated by topic,0.83208395802099
"14",Student Issues: Varying student backrounds,0.260869565217391
"15",Student Issues: Lack of basic computing skills,0.0664667666166917
"16",Student Issues: Career prospects,0.187906046976512
"17",Curriculum Issues: Lack of integration,0.000499750124937531
"18",Curriculum Issues: Too much content,0.000499750124937531
"19",Curriculum Issues: Quickly changing technologies,0.0144927536231884
"20",Curriculum Issues: Access to bioinformatics lesson plans/curriculum,0.023488255872064
"21",Curriculum Issues: Difficulty establishing relevance,1
"22",Curriculum Issues: Influence from professional schools,0.56471764117941
"23",Institutional Issues: Lack of inter-departmental cooperation,1
"24",Institutional Issues: Lack of IT support,0.64567716141929
