"","Dedicated.Course","Integrating.Bioinformatics","Not.Integrating.Bioinformatics"
"Faculty Issues: Expertise/training","  0","  0","187"
"Faculty Issues: Time","  0","  0","147"
"Faculty Issues: Curriculum design/integration"," 0"," 0","36"
"Faculty Issues: Lack of interest","0","0","9"
"Faculty Issues: New Faculty","0","0","4"
"Curriculum Issues: No space","  0","  0","112"
"Curriculum Issues: Incompatible with current curriculum"," 0"," 0","60"
"Curriculum Issues: Time needed to develop"," 0"," 0","36"
"Curriculum Issues: No control"," 0"," 0","27"
"Curriculum Issues: Covered elsewhere"," 0"," 0","16"
"Curriculum Issues: Class size","0","0","8"
"Curriculum Issues: Plan for future coverage","0","0","9"
"Curriculum Issues: Too much content","0","0","6"
"Curriculum Issues: Content requires several courses","0","0","1"
"Resource Issues: Access to exercises"," 0"," 0","39"
"Resource Issues: Access to lesson plans"," 0"," 0","37"
"Resource Issues: Access to intro content"," 0"," 0","18"
"Resource Issues: Unable to vet content"," 0"," 0","17"
"Resource Issues: Funding"," 0"," 0","10"
"Resource Issues: No appropriate textbook","0","0","9"
"Resource Issues: No access to online exercises","0","0","5"
"Resource Issues: No qualified TAs","0","0","1"
"Student Issues: Background knowledge"," 0"," 0","58"
"Student Issues: Interest in topic"," 0"," 0","13"
"Facilities: Access to equipment"," 0"," 0","18"
"Institutional: Inertia","0","0","3"
"State Restrictions","0","0","2"
"Accreditation","0","0","1"
