"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.000499750124937531
"2",Faculty Issues: Time,0.000499750124937531
"3",Faculty Issues: Too few faculty,0.000499750124937531
"4",Faculty Issues: Lack of interest,0.000499750124937531
"5",Curriculum Issues: No space,0.000499750124937531
"6",Curriculum Issues: Incompatible with current curriculum,0.000499750124937531
"7",Curriculum Issues: Integration needed at every level,0.00149925037481259
"8",Curriculum Issues: Bioinformatics curriculum is under development,0.00599700149925037
"9",Curriculum Issues: Not required for life sci/pre-med majors,0.00149925037481259
"10",Curriculum Issues: Class size,0.116941529235382
"11",Curriculum Issues: Too few seats,0.251374312843578
"12",Student Issues: Lack of interest,0.000499750124937531
"13",Student Issues: Background knowledge,0.000499750124937531
"14",Institutional: Institutional inertia,0.000499750124937531
"15",Institutional: Inter-departmental cooperation,0.00949525237381309
"16",Institutional: IT support,0.146426786606697
"17",Institutional: State regulation,0.490254872563718
"18",Resource Issues: Funding,0.000999500249875062
"19",Resource Issues: Access to software,0.0679660169915042
"20",Resource Issues: Access to bioinformatics lesson plans/curricula,0.11744127936032
"21",Facilities: Access to computer(s)/labs,0.00149925037481259
"22",Facilities: Servers,0.239380309845077
