"","Not.underrepresented.in.STEM","Underrepresented.in.STEM"
"Faculty Issues: Expertise/training","122"," 17"
"Faculty Issues: Time","63"," 6"
"Faculty Issues: Too few faculty","40"," 1"
"Faculty Issues: Lack of interest","25"," 2"
"Curriculum Issues: No space","41"," 3"
"Curriculum Issues: Incompatible with current curriculum","21"," 2"
"Curriculum Issues: Integration needed at every level","16"," 2"
"Curriculum Issues: Bioinformatics curriculum is under development","14"," 2"
"Curriculum Issues: Not required for life sci/pre-med majors","11"," 0"
"Curriculum Issues: Class size","4","0"
"Curriculum Issues: Too few seats","3","0"
"Student Issues: Lack of interest","29"," 4"
"Student Issues: Background knowledge","24"," 2"
"Institutional: Institutional inertia","21"," 2"
"Institutional: Inter-departmental cooperation","11"," 1"
"Institutional: IT support","6","1"
"Institutional: State regulation","2","0"
"Resource Issues: Funding","20"," 3"
"Resource Issues: Access to software","7","1"
"Resource Issues: Access to bioinformatics lesson plans/curricula","4","0"
"Facilities: Access to computer(s)/labs","15"," 2"
"Facilities: Servers","3","0"
