"","American.Indian.or.Alaskan.Native","Asian","Black.or.African.American","Hispanic","Native.Hawaiian.or.Pacific.Islander","White"
"Faculty Issues: Expertise/training","  1","  6","  6"," 10","  0","116"
"Faculty Issues: Time"," 0"," 4"," 1"," 5"," 0","59"
"Faculty Issues: Too few faculty"," 0"," 1"," 0"," 1"," 0","39"
"Faculty Issues: Lack of interest"," 0"," 0"," 1"," 1"," 0","25"
"Curriculum Issues: No space"," 0"," 1"," 0"," 2"," 1","40"
"Curriculum Issues: Incompatible with current curriculum"," 0"," 0"," 2"," 0"," 0","21"
"Curriculum Issues: Integration needed at every level"," 0"," 0"," 2"," 0"," 0","16"
"Curriculum Issues: Bioinformatics curriculum is under development"," 0"," 0"," 0"," 1"," 1","14"
"Curriculum Issues: Not required for life sci/pre-med majors"," 0"," 0"," 0"," 0"," 0","11"
"Curriculum Issues: Class size","0","0","0","0","0","4"
"Curriculum Issues: Too few seats","0","0","0","0","0","3"
"Student Issues: Lack of interest"," 0"," 1"," 0"," 4"," 0","28"
"Student Issues: Background knowledge"," 1"," 1"," 1"," 0"," 0","23"
"Institutional: Institutional inertia"," 1"," 1"," 1"," 0"," 0","20"
"Institutional: Inter-departmental cooperation"," 0"," 0"," 1"," 0"," 0","11"
"Institutional: IT support","0","2","0","1","0","4"
"Institutional: State regulation","0","0","0","0","0","2"
"Resource Issues: Funding"," 0"," 0"," 0"," 2"," 1","20"
"Resource Issues: Access to software","0","0","0","1","0","7"
"Resource Issues: Access to bioinformatics lesson plans/curricula","0","0","0","0","0","4"
"Facilities: Access to computer(s)/labs"," 0"," 0"," 0"," 2"," 0","15"
"Facilities: Servers","0","1","0","0","0","2"
