"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.000499750124937531
"2",Faculty Issues: Time,0.00749625187406297
"3",Faculty Issues: No interest in topic,1
"4",Faculty Issues: No comp-sci faculty,1
"5",Facilities Issues: Access to computer labs,0.000499750124937531
"6",Facilities Issues: Inadaquate computers,0.000499750124937531
"7",Facilities Issues: Access to servers,0.00149925037481259
"8",Facilities Issues: Access to internet,0.00899550224887556
"9",Resource Issues: Access to operating systems,0.000499750124937531
"10",Resource Issues: Apropriate software,0.000499750124937531
"11",Resource Issues: Access to high-performance computing,0.000499750124937531
"12",Resource Issues: Funding,0.000499750124937531
"13",Institutional Issues: Access to IT support,0.000499750124937531
"14",Institutional Issues: Subscriptions/licenses,0.490754622688656
"15",Institutional Issues: No support from comp-sci faculty,0.112443778110945
"16",Student Issues: Access to software off-campus,0.00399800099950025
"17",Student Issues: Basic computing knowledge,0.0594702648675662
"18",Student Issues: Access to computers Off-campus,0.00149925037481259
"19",Curriculum Issues: New program development required,0.130934532733633
"20",Curriculum Issues: Class size,0.259870064967516
"21",Curriculum Issues: Access to bioinformatics lesson plans,0.499750124937531
