"","category_key","variable","value"
"1","American.Indian.or.Alaskan.Native","Yes","1.0000000"
"2","Asian","Yes","0.4210526"
"3","Black.or.African.American","Yes","0.5862069"
"4","Hispanic","Yes","0.6000000"
"5","Native.Hawaiian.or.Pacific.Islander","Yes","0.5000000"
"6","White","Yes","0.5373134"
"7","American.Indian.or.Alaskan.Native","No","0.0000000"
"8","Asian","No","0.5789474"
"9","Black.or.African.American","No","0.4137931"
"10","Hispanic","No","0.4000000"
"11","Native.Hawaiian.or.Pacific.Islander","No","0.5000000"
"12","White","No","0.4626866"
