"","American.Indian.or.Alaskan.Native","Asian","Black.or.African.American","Hispanic","Native.Hawaiian.or.Pacific.Islander","White"
"Faculty Issues: Expertise/training"," 0"," 1"," 2"," 1"," 0","22"
"Faculty Issues: Time","0","0","0","0","0","8"
"Faculty Issues: No interest in topic","0","0","0","0","0","1"
"Faculty Issues: No comp-sci faculty","0","0","0","0","0","1"
"Facilities Issues: Access to computer labs","  0","  5","  6","  8","  1","125"
"Facilities Issues: Inadaquate computers"," 0"," 1"," 0"," 2"," 0","22"
"Facilities Issues: Access to servers","0","2","0","0","0","9"
"Facilities Issues: Access to internet"," 0"," 0"," 2"," 0"," 0","13"
"Resource Issues: Access to operating systems"," 0"," 1"," 1"," 3"," 0","41"
"Resource Issues: Apropriate software"," 1"," 2"," 1"," 3"," 0","35"
"Resource Issues: Access to high-performance computing"," 1"," 0"," 3"," 4"," 0","52"
"Resource Issues: Funding"," 0"," 1"," 0"," 0"," 0","19"
"Institutional Issues: Access to IT support","  1","  2","  3","  6","  0","106"
"Institutional Issues: Subscriptions/licenses","0","2","0","0","0","0"
"Institutional Issues: No support from comp-sci faculty","0","0","0","0","0","4"
"Student Issues: Access to software off-campus","0","2","0","0","0","8"
"Student Issues: Basic computing knowledge","0","3","0","0","0","2"
"Student Issues: Access to computers Off-campus"," 0"," 2"," 0"," 0"," 0","10"
"Student Issues: No interest in bioinformatics","0","0","0","0","0","0"
"Curriculum Issues: New program development required","0","0","0","0","0","4"
"Curriculum Issues: Class size","0","0","0","0","0","3"
"Curriculum Issues: Access to bioinformatics lesson plans","0","0","0","0","0","2"
