"","American.Indian.or.Alaskan.Native","Asian","Black.or.African.American","Hispanic","Native.Hawaiian.or.Pacific.Islander","White"
"Faculty Issues: Expertise/Training","  2"," 14"," 11"," 21","  0","232"
"Faculty Issues: Time"," 0"," 2"," 2"," 2"," 1","74"
"Faculty Issues: Differences of opinion"," 0"," 1"," 1"," 0"," 0","15"
"Faculty Issues: Content development"," 0"," 0"," 0"," 2"," 0","11"
"Faculty Issues: Too few faculty","0","0","0","0","0","9"
"Faculities Issues: Access to computer labs"," 0"," 3"," 3"," 3"," 0","36"
"Faculities Issues: Inadaquate computers","0","0","0","0","0","5"
"Resource Issues: Access to software"," 0"," 2"," 1"," 2"," 1","39"
"Resource Issues: Funding"," 0"," 2"," 1"," 1"," 0","21"
"Resource Issues: Software/license fees","0","0","1","0","0","6"
"Student Issues: Lack of background skills/knowledge","  0"," 12","  3","  6","  1","159"
"Student Issues: Lack of interest"," 0"," 4"," 3"," 2"," 1","87"
"Student Issues: Intimidated by topic"," 0"," 0"," 0"," 0"," 1","30"
"Student Issues: Varying student backrounds"," 0"," 2"," 0"," 0"," 0","18"
"Student Issues: Lack of basic computing skills"," 0"," 0"," 0"," 2"," 0","15"
"Student Issues: Career prospects","0","0","0","0","0","7"
"Curriculum Issues: Lack of integration"," 0"," 7"," 2"," 5"," 0","68"
"Curriculum Issues: Too much content"," 0"," 2"," 0"," 1"," 0","64"
"Curriculum Issues: Quickly changing technologies"," 0"," 3"," 1"," 1"," 1","44"
"Curriculum Issues: Access to bioinformatics lesson plans/curriculum"," 1"," 4"," 3"," 3"," 0","24"
"Curriculum Issues: Difficulty establishing relevance","0","0","0","1","0","9"
"Curriculum Issues: Influence from professional schools"," 0"," 0"," 0"," 0"," 0","11"
"Institutional Issues: Lack of inter-departmental cooperation","1","1","2","2","0","9"
"Institutional Issues: Lack of IT support","0","1","0","0","0","9"
