"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.000499750124937531
"2",Faculty Issues: Time,0.000499750124937531
"3",Faculty Issues: Curriculum design/integration,0.000499750124937531
"4",Faculty Issues: Lack of interest,0.0744627686156921
"5",Faculty Issues: New Faculty,1
"6",Curriculum Issues: No space,0.000499750124937531
"7",Curriculum Issues: Incompatible with current curriculum,0.000499750124937531
"8",Curriculum Issues: Time needed to develop,0.000499750124937531
"9",Curriculum Issues: No control,0.000499750124937531
"10",Curriculum Issues: Covered elsewhere,0.00649675162418791
"11",Curriculum Issues: Class size,0.307346326836582
"12",Curriculum Issues: Plan for future coverage,0.719140429785107
"13",Curriculum Issues: Too much content,0.380309845077461
"14",Curriculum Issues: Content requires several courses,1
"15",Resource Issues: Access to exercises,0.000499750124937531
"16",Resource Issues: Access to lesson plans,0.000499750124937531
"17",Resource Issues: Access to intro content,0.00549725137431284
"18",Resource Issues: Unable to vet content,0.00149925037481259
"19",Resource Issues: Funding,0.134932533733133
"20",Resource Issues: No appropriate textbook,0.00749625187406297
"21",Resource Issues: No access to online exercises,0.0574712643678161
"22",Resource Issues: No qualified TAs,1
"23",Student Issues: Background knowledge,0.000499750124937531
"24",Student Issues: Interest in topic,0.00649675162418791
"25",Facilities: Access to equipment,0.0114942528735632
"26",Institutional: Inertia,1
"27",State Restrictions,0.506746626686657
"28",Accreditation,1
