"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","Non-underrepresented","Faculty Issues: Expertise/training",154,162,95.0617283950617,880,0.175,"Not.underrepresented.in.STEM"
"2","underrepresented","Faculty Issues: Expertise/training",8,162,4.93827160493827,81,0.0987654320987654,"Underrepresented.in.STEM"
"3","Non-underrepresented","Faculty Issues: Time",113,121,93.3884297520661,880,0.128409090909091,"Not.underrepresented.in.STEM"
"4","underrepresented","Faculty Issues: Time",8,121,6.61157024793388,81,0.0987654320987654,"Underrepresented.in.STEM"
"5","Non-underrepresented","Faculty Issues: Curriculum design/integration",29,32,90.625,880,0.0329545454545455,"Not.underrepresented.in.STEM"
"6","underrepresented","Faculty Issues: Curriculum design/integration",3,32,9.375,81,0.037037037037037,"Underrepresented.in.STEM"
"7","Non-underrepresented","Faculty Issues: Lack of interest",7,8,87.5,880,0.00795454545454545,"Not.underrepresented.in.STEM"
"8","underrepresented","Faculty Issues: Lack of interest",1,8,12.5,81,0.0123456790123457,"Underrepresented.in.STEM"
"9","Non-underrepresented","Faculty Issues: New Faculty",2,4,50,880,0.00227272727272727,"Not.underrepresented.in.STEM"
"10","underrepresented","Faculty Issues: New Faculty",2,4,50,81,0.0246913580246914,"Underrepresented.in.STEM"
"11","Non-underrepresented","Curriculum Issues: No space",89,95,93.6842105263158,880,0.101136363636364,"Not.underrepresented.in.STEM"
"12","underrepresented","Curriculum Issues: No space",6,95,6.31578947368421,81,0.0740740740740741,"Underrepresented.in.STEM"
"13","Non-underrepresented","Curriculum Issues: Incompatible with current curriculum",40,47,85.1063829787234,880,0.0454545454545455,"Not.underrepresented.in.STEM"
"14","underrepresented","Curriculum Issues: Incompatible with current curriculum",7,47,14.8936170212766,81,0.0864197530864197,"Underrepresented.in.STEM"
"15","Non-underrepresented","Curriculum Issues: Time needed to develop",29,31,93.5483870967742,880,0.0329545454545455,"Not.underrepresented.in.STEM"
"16","underrepresented","Curriculum Issues: Time needed to develop",2,31,6.45161290322581,81,0.0246913580246914,"Underrepresented.in.STEM"
"17","Non-underrepresented","Curriculum Issues: No control",21,24,87.5,880,0.0238636363636364,"Not.underrepresented.in.STEM"
"18","underrepresented","Curriculum Issues: No control",3,24,12.5,81,0.037037037037037,"Underrepresented.in.STEM"
"19","Non-underrepresented","Curriculum Issues: Covered elsewhere",13,15,86.6666666666667,880,0.0147727272727273,"Not.underrepresented.in.STEM"
"20","underrepresented","Curriculum Issues: Covered elsewhere",2,15,13.3333333333333,81,0.0246913580246914,"Underrepresented.in.STEM"
"21","Non-underrepresented","Curriculum Issues: Class size",6,8,75,880,0.00681818181818182,"Not.underrepresented.in.STEM"
"22","underrepresented","Curriculum Issues: Class size",2,8,25,81,0.0246913580246914,"Underrepresented.in.STEM"
"23","Non-underrepresented","Curriculum Issues: Plan for future coverage",3,8,37.5,880,0.00340909090909091,"Not.underrepresented.in.STEM"
"24","underrepresented","Curriculum Issues: Plan for future coverage",5,8,62.5,81,0.0617283950617284,"Underrepresented.in.STEM"
"25","Non-underrepresented","Curriculum Issues: Too much content",4,5,80,880,0.00454545454545455,"Not.underrepresented.in.STEM"
"26","underrepresented","Curriculum Issues: Too much content",1,5,20,81,0.0123456790123457,"Underrepresented.in.STEM"
"27","Non-underrepresented","Curriculum Issues: Content requires several courses",1,1,100,880,0.00113636363636364,"Not.underrepresented.in.STEM"
"28","underrepresented","Curriculum Issues: Content requires several courses",0,1,0,81,0,"Underrepresented.in.STEM"
"29","Non-underrepresented","Resource Issues: Access to exercises",34,37,91.8918918918919,880,0.0386363636363636,"Not.underrepresented.in.STEM"
"30","underrepresented","Resource Issues: Access to exercises",3,37,8.10810810810811,81,0.037037037037037,"Underrepresented.in.STEM"
"31","Non-underrepresented","Resource Issues: Access to lesson plans",28,32,87.5,880,0.0318181818181818,"Not.underrepresented.in.STEM"
"32","underrepresented","Resource Issues: Access to lesson plans",4,32,12.5,81,0.0493827160493827,"Underrepresented.in.STEM"
