"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.000499750124937531
"2",Faculty Issues: Time,0.000499750124937531
"3",Faculty Issues: Curriculum design/integration,0.000499750124937531
"4",Faculty Issues: Lack of interest,0.000499750124937531
"5",Faculty Issues: New Faculty,0.724137931034483
"6",Curriculum Issues: No space,0.000499750124937531
"7",Curriculum Issues: Incompatible with current curriculum,0.000499750124937531
"8",Curriculum Issues: Time needed to develop,0.000499750124937531
"9",Curriculum Issues: No control,0.000499750124937531
"10",Curriculum Issues: Covered elsewhere,0.000499750124937531
"11",Curriculum Issues: Class size,0.00149925037481259
"12",Curriculum Issues: Plan for future coverage,0.453773113443278
"13",Curriculum Issues: Too much content,0.0199900049975013
"14",Curriculum Issues: Content requires several courses,1
"15",Resource Issues: Access to exercises,0.000499750124937531
"16",Resource Issues: Access to lesson plans,0.000499750124937531
"17",Resource Issues: Access to intro content,0.000499750124937531
"18",Resource Issues: Unable to vet content,0.000499750124937531
"19",Resource Issues: Funding,0.00899550224887556
"20",Resource Issues: No appropriate textbook,0.000499750124937531
"21",Resource Issues: No access to online exercises,0.000499750124937531
"22",Resource Issues: No qualified TAs,1
"23",Student Issues: Background knowledge,0.000499750124937531
"24",Student Issues: Interest in topic,0.000499750124937531
"25",Facilities: Access to equipment,0.000499750124937531
"26",Institutional: Inertia,0.43328335832084
"27",State Restrictions,0.174912543728136
"28",Accreditation,1
