"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.0514742628685657
"2",Faculty Issues: Time,0.540729635182409
"3",Faculty Issues: Too few faculty,1
"4",Faculty Issues: Lack of interest,0.0669665167416292
"5",Curriculum Issues: No space,1
"6",Curriculum Issues: Incompatible with current curriculum,1
"7",Curriculum Issues: Integration needed at every level,0.484257871064468
"8",Curriculum Issues: Bioinformatics curriculum is under development,0.0954522738630685
"9",Curriculum Issues: Not required for life sci/pre-med majors,1
"10",Curriculum Issues: Class size,1
"11",Curriculum Issues: Too few seats,1
"12",Student Issues: Lack of interest,0.187906046976512
"13",Student Issues: Background knowledge,0.844577711144428
"14",Institutional: Institutional inertia,0.166916541729135
"15",Institutional: Inter-departmental cooperation,0.5992003998001
"16",Institutional: IT support,1
"17",Institutional: State regulation,0.506246876561719
"18",Resource Issues: Funding,0.307846076961519
"19",Resource Issues: Access to software,0.511744127936032
"20",Resource Issues: Access to bioinformatics lesson plans/curricula,1
"21",Facilities: Access to computer(s)/labs,0.462268865567216
"22",Facilities: Servers,1
