"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.560219890054973
"2",Faculty Issues: Time,0.0604697651174413
"3",Faculty Issues: No interest in topic,1
"4",Faculty Issues: No comp-sci faculty,1
"5",Facilities Issues: Access to computer labs,0.000999500249875062
"6",Facilities Issues: Inadaquate computers,0.0289855072463768
"7",Facilities Issues: Access to servers,0.226886556721639
"8",Facilities Issues: Access to internet,0.603698150924538
"9",Resource Issues: Access to operating systems,0.658670664667666
"10",Resource Issues: Apropriate software,0.442278860569715
"11",Resource Issues: Access to high-performance computing,0.259370314842579
"12",Resource Issues: Funding,1
"13",Institutional Issues: Access to IT support,0.0764617691154423
"14",Institutional Issues: Subscriptions/licenses,1
"15",Institutional Issues: No support from comp-sci faculty,0.632683658170915
"16",Student Issues: Access to software off-campus,0.767616191904048
"17",Student Issues: Basic computing knowledge,0.375812093953024
"18",Student Issues: Access to computers Off-campus,1
"19",Curriculum Issues: New program development required,1
"20",Curriculum Issues: Class size,0.247376311844078
"21",Curriculum Issues: Access to bioinformatics lesson plans,0.48175912043978
