"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.259870064967516
"2",Faculty Issues: Time,0.229885057471264
"3",Faculty Issues: Differences of opinion,1
"4",Faculty Issues: Content development,0.0194902548725637
"5",Faculty Issues: Too few faculty,0.521239380309845
"6",Faculities Issues: Access to computer labs,0.657171414292854
"7",Faculities Issues: Inadaquate computers,0.221389305347326
"8",Resource Issues: Access to software,0.474762618690655
"9",Resource Issues: Funding,0.703648175912044
"10",Resource Issues: Software/license fees,0.458270864567716
"11",Student Issues: Lack of background skills/knowledge,0.627686156921539
"12",Student Issues: Lack of interest,0.770614692653673
"13",Student Issues: Intimidated by topic,0.736631684157921
"14",Student Issues: Varying student backrounds,0.125937031484258
"15",Student Issues: Lack of basic computing skills,0.638180909545227
"16",Student Issues: Career prospects,0.450774612693653
"17",Curriculum Issues: Lack of integration,0.497751124437781
"18",Curriculum Issues: Too much content,0.907546226886557
"19",Curriculum Issues: Quickly changing technologies,0.574712643678161
"20",Curriculum Issues: Access to bioinformatics lesson plans/curriculum,0.423788105947026
"21",Curriculum Issues: Difficulty establishing relevance,0.138430784607696
"22",Curriculum Issues: Influence from professional schools,0.544227886056971
"23",Institutional Issues: Lack of inter-departmental cooperation,0.783608195902049
"24",Institutional Issues: Lack of IT support,0.0674662668665667
