"","Female","Male"
"Faculty Issues: Expertise/training","153","133"
"Faculty Issues: Time","49","37"
"Faculty Issues: Differences of opinion","9","8"
"Faculty Issues: Content development","11"," 2"
"Faculty Issues: Too few faculty","6","3"
"Faculities Issues: Access to computer labs","26","22"
"Faculities Issues: Inadaquate computers","1","5"
"Resource Issues: Access to software","20","26"
"Resource Issues: Funding","15","12"
"Resource Issues: Software/license fees","2","5"
"Student Issues: Lack of background skills/knowledge"," 94","102"
"Student Issues: Lack of interest","52","48"
"Student Issues: Intimidated by topic","18","15"
"Student Issues: Varying student backrounds","15"," 7"
"Student Issues: Lack of basic computing skills"," 7","10"
"Student Issues: Career prospects","2","5"
"Curriculum Issues: Lack of integration","39","46"
"Curriculum Issues: Too much content","36","34"
"Curriculum Issues: Quickly changing technologies","28","23"
"Curriculum Issues: Access to bioinformatics lesson plans/curriculum","21","15"
"Curriculum Issues: Difficulty establishing relevance","3","9"
"Curriculum Issues: Influence from professional schools","4","7"
"Institutional Issues: Lack of inter-departmental cooperation","8","6"
"Institutional Issues: Lack of IT support","9","2"
