"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.031984007996002
"2",Faculty Issues: Time,0.063968015992004
"3",Faculty Issues: Curriculum design/integration,1
"4",Faculty Issues: Lack of interest,0.723638180909545
"5",Faculty Issues: New Faculty,0.630684657671164
"6",Curriculum Issues: No space,0.0229885057471264
"7",Curriculum Issues: Incompatible with current curriculum,0.313343328335832
"8",Curriculum Issues: Time needed to develop,0.0489755122438781
"9",Curriculum Issues: No control,0.44327836081959
"10",Curriculum Issues: Covered elsewhere,0.312843578210895
"11",Curriculum Issues: Class size,1
"12",Curriculum Issues: Plan for future coverage,0.183908045977011
"13",Curriculum Issues: Too much content,1
"14",Curriculum Issues: Content requires several courses,1
"15",Resource Issues: Access to exercises,0.751624187906047
"16",Resource Issues: Access to lesson plans,0.0284857571214393
"17",Resource Issues: Access to intro content,0.478260869565217
"18",Resource Issues: Unable to vet content,0.0264867566216892
"19",Resource Issues: Funding,0.0379810094952524
"20",Resource Issues: No appropriate textbook,1
"21",Resource Issues: No access to online exercises,1
"22",Resource Issues: No qualified TAs,1
"23",Student Issues: Background knowledge,0.787106446776612
"24",Student Issues: Interest in topic,0.268865567216392
"25",Facilities: Access to equipment,1
"26",Institutional: Inertia,1
"27",State Restrictions,0.493753123438281
"28",Accreditation,1
