"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Female","Faculty Issues: Expertise/training",98,168,58.3333333333333,497,0.197183098591549,"Female"
"2","2_Male","Faculty Issues: Expertise/training",70,168,41.6666666666667,516,0.135658914728682,"Male"
"3","1_Female","Faculty Issues: Time",75,128,58.59375,497,0.150905432595573,"Female"
"4","2_Male","Faculty Issues: Time",53,128,41.40625,516,0.102713178294574,"Male"
"5","1_Female","Faculty Issues: Curriculum design/integration",16,32,50,497,0.0321931589537223,"Female"
"6","2_Male","Faculty Issues: Curriculum design/integration",16,32,50,516,0.0310077519379845,"Male"
"7","1_Female","Faculty Issues: Lack of interest",5,8,62.5,497,0.0100603621730382,"Female"
"8","2_Male","Faculty Issues: Lack of interest",3,8,37.5,516,0.00581395348837209,"Male"
"9","1_Female","Faculty Issues: New Faculty",1,4,25,497,0.00201207243460765,"Female"
"10","2_Male","Faculty Issues: New Faculty",3,4,75,516,0.00581395348837209,"Male"
"11","1_Female","Curriculum Issues: No space",61,98,62.2448979591837,497,0.122736418511066,"Female"
"12","2_Male","Curriculum Issues: No space",37,98,37.7551020408163,516,0.0717054263565891,"Male"
"13","1_Female","Curriculum Issues: Incompatible with current curriculum",29,50,58,497,0.0583501006036217,"Female"
"14","2_Male","Curriculum Issues: Incompatible with current curriculum",21,50,42,516,0.0406976744186047,"Male"
"15","1_Female","Curriculum Issues: Time needed to develop",22,32,68.75,497,0.0442655935613682,"Female"
"16","2_Male","Curriculum Issues: Time needed to develop",10,32,31.25,516,0.0193798449612403,"Male"
"17","1_Female","Curriculum Issues: No control",15,25,60,497,0.0301810865191147,"Female"
"18","2_Male","Curriculum Issues: No control",10,25,40,516,0.0193798449612403,"Male"
"19","1_Female","Curriculum Issues: Covered elsewhere",10,15,66.6666666666667,497,0.0201207243460765,"Female"
"20","2_Male","Curriculum Issues: Covered elsewhere",5,15,33.3333333333333,516,0.00968992248062015,"Male"
"21","1_Female","Curriculum Issues: Class size",4,8,50,497,0.00804828973843058,"Female"
"22","2_Male","Curriculum Issues: Class size",4,8,50,516,0.00775193798449612,"Male"
"23","1_Female","Curriculum Issues: Plan for future coverage",2,9,22.2222222222222,497,0.00402414486921529,"Female"
"24","2_Male","Curriculum Issues: Plan for future coverage",7,9,77.7777777777778,516,0.0135658914728682,"Male"
"25","1_Female","Curriculum Issues: Too much content",2,5,40,497,0.00402414486921529,"Female"
"26","2_Male","Curriculum Issues: Too much content",3,5,60,516,0.00581395348837209,"Male"
"27","1_Female","Curriculum Issues: Content requires several courses",0,1,0,497,0,"Female"
"28","2_Male","Curriculum Issues: Content requires several courses",1,1,100,516,0.00193798449612403,"Male"
"29","1_Female","Resource Issues: Access to exercises",20,37,54.0540540540541,497,0.0402414486921529,"Female"
"30","2_Male","Resource Issues: Access to exercises",17,37,45.945945945946,516,0.0329457364341085,"Male"
"31","1_Female","Resource Issues: Access to lesson plans",24,34,70.5882352941177,497,0.0482897384305835,"Female"
"32","2_Male","Resource Issues: Access to lesson plans",10,34,29.4117647058824,516,0.0193798449612403,"Male"
"33","1_Female","Resource Issues: Access to intro content",10,16,62.5,497,0.0201207243460765,"Female"
"34","2_Male","Resource Issues: Access to intro content",6,16,37.5,516,0.0116279069767442,"Male"
"35","1_Female","Resource Issues: Unable to vet content",13,16,81.25,497,0.0261569416498994,"Female"
"36","2_Male","Resource Issues: Unable to vet content",3,16,18.75,516,0.00581395348837209,"Male"
"37","1_Female","Resource Issues: Funding",8,9,88.8888888888889,497,0.0160965794768612,"Female"
"38","2_Male","Resource Issues: Funding",1,9,11.1111111111111,516,0.00193798449612403,"Male"
"39","1_Female","Resource Issues: No appropriate textbook",5,9,55.5555555555556,497,0.0100603621730382,"Female"
"40","2_Male","Resource Issues: No appropriate textbook",4,9,44.4444444444444,516,0.00775193798449612,"Male"
"41","1_Female","Resource Issues: No access to online exercises",3,5,60,497,0.00603621730382294,"Female"
"42","2_Male","Resource Issues: No access to online exercises",2,5,40,516,0.00387596899224806,"Male"
"43","1_Female","Resource Issues: No qualified TAs",0,1,0,497,0,"Female"
"44","2_Male","Resource Issues: No qualified TAs",1,1,100,516,0.00193798449612403,"Male"
"45","1_Female","Student Issues: Background knowledge",27,51,52.9411764705882,497,0.0543259557344064,"Female"
"46","2_Male","Student Issues: Background knowledge",24,51,47.0588235294118,516,0.0465116279069767,"Male"
"47","1_Female","Student Issues: Interest in topic",9,13,69.2307692307692,497,0.0181086519114688,"Female"
"48","2_Male","Student Issues: Interest in topic",4,13,30.7692307692308,516,0.00775193798449612,"Male"
"49","1_Female","Facilities: Access to equipment",8,17,47.0588235294118,497,0.0160965794768612,"Female"
"50","2_Male","Facilities: Access to equipment",9,17,52.9411764705882,516,0.0174418604651163,"Male"
"51","1_Female","Institutional: Inertia",2,3,66.6666666666667,497,0.00402414486921529,"Female"
"52","2_Male","Institutional: Inertia",1,3,33.3333333333333,516,0.00193798449612403,"Male"
"53","1_Female","State Restrictions",2,2,100,497,0.00402414486921529,"Female"
"54","2_Male","State Restrictions",0,2,0,516,0,"Male"
"55","1_Female","Accreditation",1,1,100,497,0.00201207243460765,"Female"
"56","2_Male","Accreditation",0,1,0,516,0,"Male"
