"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.000499750124937531
"2",Faculty Issues: Time,0.000499750124937531
"3",Faculty Issues: Too few faculty,0.000499750124937531
"4",Faculty Issues: Lack of interest,0.000499750124937531
"5",Curriculum Issues: No space,0.000499750124937531
"6",Curriculum Issues: Incompatible with current curriculum,0.000499750124937531
"7",Curriculum Issues: Integration needed at every level,0.000499750124937531
"8",Curriculum Issues: Bioinformatics curriculum is under development,0.000499750124937531
"9",Curriculum Issues: Not required for life sci/pre-med majors,0.000499750124937531
"10",Curriculum Issues: Class size,0.0164917541229385
"11",Curriculum Issues: Too few seats,0.617191404297851
"12",Student Issues: Lack of interest,0.000499750124937531
"13",Student Issues: Background knowledge,0.000499750124937531
"14",Institutional: Institutional inertia,0.000499750124937531
"15",Institutional: Inter-departmental cooperation,0.000499750124937531
"16",Institutional: IT support,0.000499750124937531
"17",Institutional: State regulation,1
"18",Resource Issues: Funding,0.000499750124937531
"19",Resource Issues: Access to software,0.000499750124937531
"20",Resource Issues: Access to bioinformatics lesson plans/curricula,0.212393803098451
"21",Facilities: Access to computer(s)/labs,0.000499750124937531
"22",Facilities: Servers,0.0619690154922539
