"","Var2","chi_test"
"1",Faculty Issues: Expertise/Training,0.000499750124937531
"2",Faculty Issues: Time,0.000499750124937531
"3",Faculty Issues: Differences of opinion,0.000499750124937531
"4",Faculty Issues: Content development,0.000499750124937531
"5",Faculty Issues: Too few faculty,0.000499750124937531
"6",Faculities Issues: Access to computer labs,0.000499750124937531
"7",Faculities Issues: Inadaquate computers,0.00199900049975012
"8",Resource Issues: Access to software,0.000499750124937531
"9",Resource Issues: Funding,0.000499750124937531
"10",Resource Issues: Software/license fees,0.000999500249875062
"11",Student Issues: Lack of background skills/knowledge,0.000499750124937531
"12",Student Issues: Lack of interest,0.000499750124937531
"13",Student Issues: Intimidated by topic,0.000499750124937531
"14",Student Issues: Varying student backrounds,0.000499750124937531
"15",Student Issues: Lack of basic computing skills,0.000499750124937531
"16",Student Issues: Career prospects,0.0544727636181909
"17",Curriculum Issues: Lack of integration,0.000499750124937531
"18",Curriculum Issues: Too much content,0.000499750124937531
"19",Curriculum Issues: Quickly changing technologies,0.000499750124937531
"20",Curriculum Issues: Access to bioinformatics lesson plans/curriculum,0.000499750124937531
"21",Curriculum Issues: Difficulty establishing relevance,0.000499750124937531
"22",Curriculum Issues: Influence from professional schools,0.000499750124937531
"23",Institutional Issues: Lack of inter-departmental cooperation,0.000499750124937531
"24",Institutional Issues: Lack of IT support,0.000499750124937531
