"","Bachelors","Masters","Professional.Degree","Doctoral"
"Faculty Issues: Expertise/training"," 0"," 5"," 0","23"
"Faculty Issues: Time","1","0","0","7"
"Faculty Issues: No interest in topic","0","0","0","1"
"Faculty Issues: No comp-sci faculty","0","0","0","1"
"Facilities Issues: Access to computer labs","  0"," 16","  3","141"
"Facilities Issues: Inadaquate computers"," 0"," 3"," 0","23"
"Facilities Issues: Access to servers"," 0"," 1"," 0","10"
"Facilities Issues: Access to internet"," 0"," 4"," 0","11"
"Resource Issues: Access to operating systems"," 1"," 4"," 1","47"
"Resource Issues: Apropriate software"," 0"," 8"," 0","36"
"Resource Issues: Access to high-performance computing"," 0"," 4"," 2","60"
"Resource Issues: Funding"," 0"," 3"," 0","18"
"Institutional Issues: Access to IT support","  1"," 10","  1","114"
"Institutional Issues: Subscriptions/licenses","0","0","0","3"
"Institutional Issues: No support from comp-sci faculty","0","0","0","4"
"Student Issues: Access to software off-campus","0","2","0","8"
"Student Issues: Basic computing knowledge","0","0","0","6"
"Student Issues: Access to computers Off-campus","0","3","0","9"
"Student Issues: No interest in bioinformatics","0","0","0","0"
"Curriculum Issues: New program development required","0","1","0","3"
"Curriculum Issues: Class size","0","0","0","3"
"Curriculum Issues: Access to bioinformatics lesson plans","0","0","0","2"
