"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.000499750124937531
"2",Faculty Issues: Time,0.000499750124937531
"3",Faculty Issues: Too few faculty,0.000499750124937531
"4",Faculty Issues: Lack of interest,0.000499750124937531
"5",Curriculum Issues: No space,0.000499750124937531
"6",Curriculum Issues: Incompatible with current curriculum,0.000499750124937531
"7",Curriculum Issues: Integration needed at every level,0.000499750124937531
"8",Curriculum Issues: Bioinformatics curriculum is under development,0.0899550224887556
"9",Curriculum Issues: Not required for life sci/pre-med majors,0.00449775112443778
"10",Curriculum Issues: Class size,0.600699650174913
"11",Curriculum Issues: Too few seats,0.0174912543728136
"12",Student Issues: Lack of interest,0.000499750124937531
"13",Student Issues: Background knowledge,0.000499750124937531
"14",Institutional: Institutional inertia,0.00349825087456272
"15",Institutional: Inter-departmental cooperation,0.00149925037481259
"16",Institutional: IT support,0.0224887556221889
"17",Institutional: State regulation,1
"18",Resource Issues: Funding,0.000499750124937531
"19",Resource Issues: Access to software,0.0329835082458771
"20",Resource Issues: Access to bioinformatics lesson plans/curricula,0.593703148425787
"21",Facilities: Access to computer(s)/labs,0.000499750124937531
"22",Facilities: Servers,0.345827086456772
