"","category_key","variable","value"
"1","No.Training","Yes","0.5443038"
"2","Self.taught","Yes","0.5951220"
"3","Short.workshops","Yes","0.6086957"
"4","Some.undergraduate.coursework","Yes","0.7500000"
"5","Undergraduate.certificate","Yes","0.6666667"
"6","Undergraduate.degree","Yes","0.5041322"
"7","Post.graduate.certificate","Yes","0.4186047"
"8","Graduate.course.or.degree","Yes","0.5130890"
"9","No.Training","No","0.4556962"
"10","Self.taught","No","0.4048780"
"11","Short.workshops","No","0.3913043"
"12","Some.undergraduate.coursework","No","0.2500000"
"13","Undergraduate.certificate","No","0.3333333"
"14","Undergraduate.degree","No","0.4958678"
"15","Post.graduate.certificate","No","0.5813953"
"16","Graduate.course.or.degree","No","0.4869110"
