"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_no.training.experience","Faculty Issues: Expertise/training",29,297,9.76430976430976,103,0.281553398058252,"No.Training"
"2","3_short.workshop","Faculty Issues: Expertise/training",88,297,29.6296296296296,231,0.380952380952381,"Self.taught"
"3","4_some.undergraduate.courses","Faculty Issues: Expertise/training",8,297,2.69360269360269,31,0.258064516129032,"Short.workshops"
"4","6_undergraduate.certificate","Faculty Issues: Expertise/training",1,297,0.336700336700337,5,0.2,"Some.undergraduate.coursework"
"5","7_undergraduate.degree","Faculty Issues: Expertise/training",0,297,0,10,0,"Undergraduate.certificate"
"6","8_post.graduate.degree","Faculty Issues: Expertise/training",33,297,11.1111111111111,148,0.222972972972973,"Undergraduate.degree"
"7","9_graduate.course.or.degree","Faculty Issues: Expertise/training",13,297,4.37710437710438,55,0.236363636363636,"Post.graduate.certificate"
"8","self.taught","Faculty Issues: Expertise/training",125,297,42.0875420875421,469,0.266524520255864,"Graduate.course.or.degree"
"9","1_no.training.experience","Faculty Issues: Time",10,90,11.1111111111111,103,0.0970873786407767,"No.Training"
"10","3_short.workshop","Faculty Issues: Time",20,90,22.2222222222222,231,0.0865800865800866,"Self.taught"
"11","4_some.undergraduate.courses","Faculty Issues: Time",4,90,4.44444444444444,31,0.129032258064516,"Short.workshops"
"12","6_undergraduate.certificate","Faculty Issues: Time",0,90,0,5,0,"Some.undergraduate.coursework"
"13","7_undergraduate.degree","Faculty Issues: Time",2,90,2.22222222222222,10,0.2,"Undergraduate.certificate"
"14","8_post.graduate.degree","Faculty Issues: Time",12,90,13.3333333333333,148,0.0810810810810811,"Undergraduate.degree"
"15","9_graduate.course.or.degree","Faculty Issues: Time",2,90,2.22222222222222,55,0.0363636363636364,"Post.graduate.certificate"
"16","self.taught","Faculty Issues: Time",40,90,44.4444444444444,469,0.0852878464818763,"Graduate.course.or.degree"
"17","1_no.training.experience","Faculty Issues: Differences of opinion",1,17,5.88235294117647,103,0.00970873786407767,"No.Training"
"18","3_short.workshop","Faculty Issues: Differences of opinion",1,17,5.88235294117647,231,0.00432900432900433,"Self.taught"
"19","4_some.undergraduate.courses","Faculty Issues: Differences of opinion",0,17,0,31,0,"Short.workshops"
"20","6_undergraduate.certificate","Faculty Issues: Differences of opinion",0,17,0,5,0,"Some.undergraduate.coursework"
"21","7_undergraduate.degree","Faculty Issues: Differences of opinion",0,17,0,10,0,"Undergraduate.certificate"
"22","8_post.graduate.degree","Faculty Issues: Differences of opinion",3,17,17.6470588235294,148,0.0202702702702703,"Undergraduate.degree"
"23","9_graduate.course.or.degree","Faculty Issues: Differences of opinion",2,17,11.7647058823529,55,0.0363636363636364,"Post.graduate.certificate"
"24","self.taught","Faculty Issues: Differences of opinion",10,17,58.8235294117647,469,0.0213219616204691,"Graduate.course.or.degree"
"25","1_no.training.experience","Faculty Issues: Content development",1,13,7.69230769230769,103,0.00970873786407767,"No.Training"
"26","3_short.workshop","Faculty Issues: Content development",5,13,38.4615384615385,231,0.0216450216450216,"Self.taught"
"27","4_some.undergraduate.courses","Faculty Issues: Content development",0,13,0,31,0,"Short.workshops"
"28","6_undergraduate.certificate","Faculty Issues: Content development",0,13,0,5,0,"Some.undergraduate.coursework"
"29","7_undergraduate.degree","Faculty Issues: Content development",0,13,0,10,0,"Undergraduate.certificate"
"30","8_post.graduate.degree","Faculty Issues: Content development",2,13,15.3846153846154,148,0.0135135135135135,"Undergraduate.degree"
"31","9_graduate.course.or.degree","Faculty Issues: Content development",1,13,7.69230769230769,55,0.0181818181818182,"Post.graduate.certificate"
"32","self.taught","Faculty Issues: Content development",4,13,30.7692307692308,469,0.00852878464818763,"Graduate.course.or.degree"
"33","1_no.training.experience","Faculty Issues: Too few faculty",1,9,11.1111111111111,103,0.00970873786407767,"No.Training"
"34","3_short.workshop","Faculty Issues: Too few faculty",0,9,0,231,0,"Self.taught"
"35","4_some.undergraduate.courses","Faculty Issues: Too few faculty",0,9,0,31,0,"Short.workshops"
"36","6_undergraduate.certificate","Faculty Issues: Too few faculty",0,9,0,5,0,"Some.undergraduate.coursework"
"37","7_undergraduate.degree","Faculty Issues: Too few faculty",0,9,0,10,0,"Undergraduate.certificate"
"38","8_post.graduate.degree","Faculty Issues: Too few faculty",0,9,0,148,0,"Undergraduate.degree"
"39","9_graduate.course.or.degree","Faculty Issues: Too few faculty",1,9,11.1111111111111,55,0.0181818181818182,"Post.graduate.certificate"
"40","self.taught","Faculty Issues: Too few faculty",7,9,77.7777777777778,469,0.0149253731343284,"Graduate.course.or.degree"
"41","1_no.training.experience","Faculities Issues: Access to computer labs",2,48,4.16666666666667,103,0.0194174757281553,"No.Training"
"42","3_short.workshop","Faculities Issues: Access to computer labs",12,48,25,231,0.051948051948052,"Self.taught"
"43","4_some.undergraduate.courses","Faculities Issues: Access to computer labs",1,48,2.08333333333333,31,0.032258064516129,"Short.workshops"
"44","6_undergraduate.certificate","Faculities Issues: Access to computer labs",0,48,0,5,0,"Some.undergraduate.coursework"
"45","7_undergraduate.degree","Faculities Issues: Access to computer labs",0,48,0,10,0,"Undergraduate.certificate"
"46","8_post.graduate.degree","Faculities Issues: Access to computer labs",4,48,8.33333333333333,148,0.027027027027027,"Undergraduate.degree"
"47","9_graduate.course.or.degree","Faculities Issues: Access to computer labs",0,48,0,55,0,"Post.graduate.certificate"
"48","self.taught","Faculities Issues: Access to computer labs",29,48,60.4166666666667,469,0.0618336886993603,"Graduate.course.or.degree"
"49","1_no.training.experience","Faculities Issues: Inadaquate computers",0,6,0,103,0,"No.Training"
"50","3_short.workshop","Faculities Issues: Inadaquate computers",1,6,16.6666666666667,231,0.00432900432900433,"Self.taught"
"51","4_some.undergraduate.courses","Faculities Issues: Inadaquate computers",0,6,0,31,0,"Short.workshops"
"52","6_undergraduate.certificate","Faculities Issues: Inadaquate computers",0,6,0,5,0,"Some.undergraduate.coursework"
"53","7_undergraduate.degree","Faculities Issues: Inadaquate computers",0,6,0,10,0,"Undergraduate.certificate"
"54","8_post.graduate.degree","Faculities Issues: Inadaquate computers",0,6,0,148,0,"Undergraduate.degree"
"55","9_graduate.course.or.degree","Faculities Issues: Inadaquate computers",0,6,0,55,0,"Post.graduate.certificate"
"56","self.taught","Faculities Issues: Inadaquate computers",5,6,83.3333333333333,469,0.0106609808102345,"Graduate.course.or.degree"
"57","1_no.training.experience","Resource Issues: Access to software",1,49,2.04081632653061,103,0.00970873786407767,"No.Training"
"58","3_short.workshop","Resource Issues: Access to software",10,49,20.4081632653061,231,0.0432900432900433,"Self.taught"
"59","4_some.undergraduate.courses","Resource Issues: Access to software",2,49,4.08163265306122,31,0.0645161290322581,"Short.workshops"
