"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.000499750124937531
"2",Faculty Issues: Time,0.000499750124937531
"3",Faculty Issues: Curriculum design/integration,0.000499750124937531
"4",Faculty Issues: Lack of interest,0.00499750124937531
"5",Faculty Issues: New Faculty,0.580209895052474
"6",Curriculum Issues: No space,0.000499750124937531
"7",Curriculum Issues: Incompatible with current curriculum,0.000499750124937531
"8",Curriculum Issues: Time needed to develop,0.000499750124937531
"9",Curriculum Issues: No control,0.000999500249875062
"10",Curriculum Issues: Covered elsewhere,0.000499750124937531
"11",Curriculum Issues: Class size,0.116441779110445
"12",Curriculum Issues: Plan for future coverage,0.039480259870065
"13",Curriculum Issues: Too much content,0.280859570214893
"14",Curriculum Issues: Content requires several courses,1
"15",Resource Issues: Access to exercises,0.000499750124937531
"16",Resource Issues: Access to lesson plans,0.000499750124937531
"17",Resource Issues: Access to intro content,0.000499750124937531
"18",Resource Issues: Unable to vet content,0.000499750124937531
"19",Resource Issues: Funding,0.00149925037481259
"20",Resource Issues: No appropriate textbook,0.0124937531234383
"21",Resource Issues: No access to online exercises,0.126936531734133
"22",Resource Issues: No qualified TAs,1
"23",Student Issues: Background knowledge,0.000499750124937531
"24",Student Issues: Interest in topic,0.0279860069965017
"25",Facilities: Access to equipment,0.000999500249875062
"26",Institutional: Inertia,0.336831584207896
"27",State Restrictions,1
"28",Accreditation,1
