"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.0514742628685657
"2",Faculty Issues: Time,0.292853573213393
"3",Faculty Issues: Too few faculty,0.000999500249875062
"4",Faculty Issues: Lack of interest,0.84207896051974
"5",Curriculum Issues: No space,0.622188905547226
"6",Curriculum Issues: Incompatible with current curriculum,0.839080459770115
"7",Curriculum Issues: Integration needed at every level,0.486756621689155
"8",Curriculum Issues: Bioinformatics curriculum is under development,0.814592703648176
"9",Curriculum Issues: Not required for life sci/pre-med majors,0.790104947526237
"10",Curriculum Issues: Class size,1
"11",Curriculum Issues: Too few seats,1
"12",Student Issues: Lack of interest,0.580709645177411
"13",Student Issues: Background knowledge,1
"14",Institutional: Institutional inertia,0.263368315842079
"15",Institutional: Inter-departmental cooperation,0.79960019990005
"16",Institutional: IT support,0.220889555222389
"17",Institutional: State regulation,0.509245377311344
"18",Resource Issues: Funding,1
"19",Resource Issues: Access to software,1
"20",Resource Issues: Access to bioinformatics lesson plans/curricula,1
"21",Facilities: Access to computer(s)/labs,0.507246376811594
"22",Facilities: Servers,0.252373813093453
