"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.0784607696151924
"2",Faculty Issues: Time,1
"3",Faculty Issues: No comp-sci faculty,1
"4",Facilities Issues: Access to computer labs,0.101449275362319
"5",Facilities Issues: Inadaquate computers,0.828085957021489
"6",Facilities Issues: Access to servers,0.543228385807096
"7",Facilities Issues: Access to internet,0.0974512743628186
"8",Resource Issues: Access to operating systems,0.750624687656172
"9",Resource Issues: Apropriate software,1
"10",Resource Issues: Access to high-performance computing,0.761619190404798
"11",Resource Issues: Funding,0.190904547726137
"12",Institutional Issues: Access to IT support,1
"13",Institutional Issues: Subscriptions/licenses,1
"14",Institutional Issues: No support from comp-sci faculty,1
"15",Student Issues: Access to software off-campus,0.510244877561219
"16",Student Issues: Basic computing knowledge,1
"17",Student Issues: Access to computers Off-campus,0.550724637681159
"18",Curriculum Issues: New program development required,0.497751124437781
"19",Curriculum Issues: Class size,0.509245377311344
"20",Curriculum Issues: Access to bioinformatics lesson plans,1
