"","Var2","chi_test"
"1",Faculty Issues: Expertise/Training,0.0424787606196902
"2",Faculty Issues: Time,1
"3",Faculty Issues: Differences of opinion,0.570714642678661
"4",Faculty Issues: Content development,0.271364317841079
"5",Faculty Issues: Too few faculty,1
"6",Faculities Issues: Access to computer labs,0.862568715642179
"7",Faculities Issues: Inadaquate computers,1
"8",Resource Issues: Access to software,0.736631684157921
"9",Resource Issues: Funding,0.830584707646177
"10",Resource Issues: Software/license fees,0.675662168915542
"11",Student Issues: Lack of background skills/knowledge,0.405797101449275
"12",Student Issues: Lack of interest,0.0249875062468766
"13",Student Issues: Intimidated by topic,0.828085957021489
"14",Student Issues: Varying student backrounds,0.341329335332334
"15",Student Issues: Lack of basic computing skills,1
"16",Student Issues: Career prospects,0.691154422788606
"17",Curriculum Issues: Lack of integration,0.545727136431784
"18",Curriculum Issues: Too much content,0.126936531734133
"19",Curriculum Issues: Quickly changing technologies,0.0629685157421289
"20",Curriculum Issues: Access to bioinformatics lesson plans/curriculum,0.251374312843578
"21",Curriculum Issues: Difficulty establishing relevance,1
"22",Curriculum Issues: Influence from professional schools,1
"23",Institutional Issues: Lack of inter-departmental cooperation,1
"24",Institutional Issues: Lack of IT support,0.75512243878061
