"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.484257871064468
"2",Faculty Issues: Time,1
"3",Faculty Issues: Curriculum design/integration,0.436781609195402
"4",Faculty Issues: Lack of interest,1
"5",Faculty Issues: New Faculty,0.624687656171914
"6",Curriculum Issues: No space,1
"7",Curriculum Issues: Incompatible with current curriculum,0.318840579710145
"8",Curriculum Issues: Time needed to develop,0.398300849575212
"9",Curriculum Issues: No control,0.304847576211894
"10",Curriculum Issues: Covered elsewhere,0.114942528735632
"11",Curriculum Issues: Class size,1
"12",Curriculum Issues: Plan for future coverage,1
"13",Curriculum Issues: Too much content,1
"14",Curriculum Issues: Content requires several courses,1
"15",Resource Issues: Access to exercises,0.478260869565217
"16",Resource Issues: Access to lesson plans,0.079960019990005
"17",Resource Issues: Access to intro content,0.76311844077961
"18",Resource Issues: Unable to vet content,1
"19",Resource Issues: Funding,0.0644677661169415
"20",Resource Issues: No appropriate textbook,0.496251874062969
"21",Resource Issues: No access to online exercises,1
"22",Student Issues: Background knowledge,0.1944027986007
"23",Student Issues: Interest in topic,0.547226386806597
"24",Facilities: Access to equipment,0.0239880059970015
"25",Institutional: Inertia,1
"26",State Restrictions,1
